,open,high,low,close,volume,Ticker
2023-01-03 11:35:00,1.6329,1.6329,1.6329,1.6329,700,AGMH
2023-01-03 11:37:00,1.6399,1.6399,1.6399,1.6399,1000,AGMH
2023-01-03 11:50:00,1.6315,1.6315,1.6315,1.6315,700,AGMH
2023-01-03 11:59:00,1.595,1.64,1.595,1.64,700,AGMH
2023-01-03 13:01:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-03 13:05:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-03 13:15:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-03 13:32:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-03 14:44:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-03 15:08:00,1.595,1.64,1.595,1.64,600,AGMH
2023-01-03 15:32:00,1.64,1.64,1.64,1.64,700,AGMH
2023-01-04 09:44:00,1.56,1.56,1.5501,1.5501,300,AGMH
2023-01-04 09:49:00,1.61,1.61,1.552,1.552,1200,AGMH
2023-01-04 10:45:00,1.61,1.61,1.61,1.61,707,AGMH
2023-01-04 11:11:00,1.58,1.61,1.58,1.61,804,AGMH
2023-01-04 11:50:00,1.61,1.61,1.61,1.61,700,AGMH
2023-01-04 11:57:00,1.61,1.61,1.61,1.61,700,AGMH
2023-01-04 12:12:00,1.61,1.61,1.61,1.61,700,AGMH
2023-01-04 12:29:00,1.61,1.61,1.61,1.61,700,AGMH
2023-01-04 12:53:00,1.58,1.58,1.58,1.58,100,AGMH
2023-01-04 13:18:00,1.6,1.61,1.6,1.61,700,AGMH
2023-01-04 13:35:00,1.61,1.61,1.61,1.61,200,AGMH
2023-01-04 13:36:00,1.55,1.55,1.55,1.55,100,AGMH
2023-01-04 14:24:00,1.5501,1.5501,1.5501,1.5501,960,AGMH
2023-01-04 14:42:00,1.6395,1.6395,1.63,1.63,1000,AGMH
2023-01-04 14:51:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-04 15:23:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-04 15:48:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-04 15:51:00,1.55,1.55,1.55,1.55,701,AGMH
2023-01-04 15:57:00,1.63,1.63,1.63,1.63,702,AGMH
2023-01-04 17:27:00,1.63,1.63,1.63,1.63,100,AGMH
2023-01-05 09:54:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 10:05:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 10:15:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 10:30:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 10:37:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 11:38:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 11:43:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 14:02:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-05 14:23:00,1.63,1.63,1.63,1.63,700,AGMH
2023-01-06 09:31:00,1.55,1.55,1.55,1.55,102,AGMH
2023-01-06 10:10:00,1.59,1.6,1.59,1.598,1000,AGMH
2023-01-06 10:20:00,1.52,1.52,1.52,1.52,1000,AGMH
2023-01-06 10:21:00,1.52,1.52,1.52,1.52,1200,AGMH
2023-01-06 10:55:00,1.59,1.6,1.59,1.6,700,AGMH
2023-01-06 12:10:00,1.6,1.6,1.6,1.6,700,AGMH
