,open,high,low,close,volume,Ticker
2023-01-03 09:31:00,3.47,3.47,3.47,3.47,381,ALLT
2023-01-03 09:33:00,3.45,3.45,3.45,3.45,501,ALLT
2023-01-03 09:36:00,3.45,3.45,3.43,3.445,300,ALLT
2023-01-03 09:41:00,3.45,3.47,3.45,3.47,1351,ALLT
2023-01-03 09:42:00,3.47,3.47,3.47,3.47,600,ALLT
2023-01-03 09:43:00,3.48,3.48,3.48,3.48,200,ALLT
2023-01-03 09:44:00,3.47,3.47,3.47,3.47,519,ALLT
2023-01-03 09:45:00,3.47,3.48,3.47,3.48,300,ALLT
2023-01-03 09:47:00,3.485,3.485,3.485,3.485,180,ALLT
2023-01-03 09:48:00,3.485,3.485,3.485,3.485,288,ALLT
2023-01-03 09:49:00,3.49,3.49,3.49,3.49,300,ALLT
2023-01-03 09:50:00,3.48,3.48,3.46,3.475,362,ALLT
2023-01-03 09:51:00,3.46,3.46,3.46,3.46,142,ALLT
2023-01-03 09:53:00,3.475,3.475,3.475,3.475,100,ALLT
2023-01-03 09:59:00,3.46,3.46,3.44,3.45,4897,ALLT
2023-01-03 10:01:00,3.44,3.44,3.44,3.44,403,ALLT
2023-01-03 10:02:00,3.44,3.44,3.44,3.44,212,ALLT
2023-01-03 10:03:00,3.45,3.45,3.45,3.45,100,ALLT
2023-01-03 10:04:00,3.44,3.44,3.44,3.44,402,ALLT
2023-01-03 10:06:00,3.44,3.44,3.44,3.44,201,ALLT
2023-01-03 10:25:00,3.435,3.435,3.435,3.435,192,ALLT
2023-01-03 10:42:00,3.44,3.44,3.44,3.44,398,ALLT
2023-01-03 10:47:00,3.455,3.465,3.455,3.465,511,ALLT
2023-01-03 10:52:00,3.4533,3.4533,3.4533,3.4533,555,ALLT
2023-01-03 10:56:00,3.465,3.465,3.465,3.465,400,ALLT
2023-01-03 10:57:00,3.465,3.465,3.465,3.465,357,ALLT
2023-01-03 11:00:00,3.465,3.465,3.465,3.465,655,ALLT
2023-01-03 11:03:00,3.45,3.465,3.45,3.465,1094,ALLT
2023-01-03 11:04:00,3.465,3.47,3.465,3.47,1154,ALLT
2023-01-03 11:05:00,3.47,3.48,3.46,3.48,1773,ALLT
2023-01-03 11:06:00,3.48,3.485,3.48,3.485,1845,ALLT
2023-01-03 11:07:00,3.485,3.485,3.485,3.485,300,ALLT
2023-01-03 11:08:00,3.485,3.485,3.485,3.485,200,ALLT
2023-01-03 11:11:00,3.4805,3.485,3.4805,3.485,578,ALLT
2023-01-03 11:12:00,3.485,3.485,3.485,3.485,300,ALLT
2023-01-03 11:13:00,3.485,3.485,3.485,3.485,200,ALLT
2023-01-03 11:14:00,3.485,3.485,3.485,3.485,567,ALLT
2023-01-03 11:15:00,3.485,3.485,3.47,3.47,4853,ALLT
2023-01-03 11:22:00,3.47,3.47,3.47,3.47,358,ALLT
2023-01-03 11:26:00,3.48,3.485,3.47,3.485,300,ALLT
2023-01-03 11:28:00,3.4733,3.4733,3.47,3.47,1703,ALLT
2023-01-03 11:33:00,3.47,3.47,3.47,3.47,100,ALLT
2023-01-03 11:43:00,3.47,3.48,3.46,3.48,3980,ALLT
2023-01-03 11:44:00,3.47,3.47,3.47,3.47,4197,ALLT
2023-01-03 11:46:00,3.46,3.46,3.44,3.44,601,ALLT
2023-01-03 11:57:00,3.44,3.44,3.44,3.44,101,ALLT
2023-01-03 12:16:00,3.43,3.43,3.4121,3.4121,569,ALLT
2023-01-03 12:48:00,3.41,3.41,3.41,3.41,340,ALLT
2023-01-03 13:02:00,3.41,3.42,3.4,3.42,751,ALLT
2023-01-03 13:04:00,3.415,3.415,3.415,3.415,100,ALLT
2023-01-03 13:24:00,3.41,3.41,3.41,3.41,260,ALLT
2023-01-03 13:27:00,3.42,3.42,3.42,3.42,483,ALLT
2023-01-03 13:29:00,3.415,3.415,3.415,3.415,300,ALLT
2023-01-03 13:32:00,3.415,3.42,3.4105,3.4105,713,ALLT
2023-01-03 13:33:00,3.415,3.415,3.415,3.415,282,ALLT
2023-01-03 13:35:00,3.41,3.41,3.41,3.41,100,ALLT
2023-01-03 13:36:00,3.402,3.402,3.402,3.402,100,ALLT
2023-01-03 13:42:00,3.4,3.4,3.4,3.4,200,ALLT
2023-01-03 13:43:00,3.4,3.4,3.4,3.4,200,ALLT
2023-01-03 13:45:00,3.4,3.4,3.4,3.4,312,ALLT
2023-01-03 13:49:00,3.4,3.4,3.4,3.4,100,ALLT
2023-01-03 13:51:00,3.41,3.41,3.41,3.41,100,ALLT
2023-01-03 14:02:00,3.41,3.41,3.41,3.41,100,ALLT
2023-01-03 14:14:00,3.41,3.41,3.41,3.41,100,ALLT
2023-01-03 14:17:00,3.4,3.4,3.4,3.4,200,ALLT
2023-01-03 14:23:00,3.405,3.405,3.405,3.405,103,ALLT
2023-01-03 14:31:00,3.41,3.41,3.41,3.41,101,ALLT
2023-01-03 14:32:00,3.4,3.4,3.4,3.4,700,ALLT
2023-01-03 14:34:00,3.42,3.42,3.4,3.4,457,ALLT
2023-01-03 14:37:00,3.395,3.4,3.395,3.395,1101,ALLT
2023-01-03 14:47:00,3.41,3.41,3.4,3.4,200,ALLT
2023-01-03 15:26:00,3.435,3.435,3.435,3.435,100,ALLT
2023-01-03 15:27:00,3.45,3.45,3.45,3.45,100,ALLT
2023-01-03 15:29:00,3.4399,3.45,3.4399,3.45,288,ALLT
2023-01-03 15:30:00,3.44,3.44,3.44,3.44,888,ALLT
2023-01-03 15:31:00,3.44,3.45,3.44,3.45,600,ALLT
2023-01-03 15:32:00,3.4453,3.4453,3.4453,3.4453,180,ALLT
2023-01-03 15:33:00,3.445,3.45,3.44,3.445,629,ALLT
2023-01-03 15:34:00,3.44,3.44,3.435,3.435,400,ALLT
2023-01-03 15:35:00,3.435,3.435,3.435,3.435,100,ALLT
2023-01-03 15:38:00,3.438,3.44,3.43,3.435,4201,ALLT
2023-01-03 15:39:00,3.435,3.435,3.435,3.435,100,ALLT
2023-01-03 15:40:00,3.435,3.435,3.435,3.435,200,ALLT
2023-01-03 15:42:00,3.44,3.44,3.44,3.44,100,ALLT
2023-01-03 15:45:00,3.45,3.45,3.445,3.445,300,ALLT
2023-01-03 15:49:00,3.44,3.44,3.44,3.44,100,ALLT
2023-01-03 15:50:00,3.44,3.44,3.44,3.44,100,ALLT
2023-01-03 15:51:00,3.435,3.44,3.43,3.43,1235,ALLT
2023-01-03 15:52:00,3.43,3.43,3.43,3.43,310,ALLT
2023-01-03 15:54:00,3.435,3.435,3.43,3.43,492,ALLT
2023-01-03 15:55:00,3.435,3.445,3.435,3.445,1008,ALLT
2023-01-03 15:56:00,3.445,3.445,3.4405,3.4405,258,ALLT
2023-01-03 15:57:00,3.445,3.445,3.445,3.445,135,ALLT
2023-01-03 15:58:00,3.445,3.45,3.445,3.445,416,ALLT
2023-01-03 15:59:00,3.4489,3.45,3.4489,3.45,449,ALLT
2023-01-03 16:00:00,3.46,3.46,3.43,3.4385,3648,ALLT
2023-01-04 09:31:00,3.47,3.47,3.47,3.47,254,ALLT
2023-01-04 09:32:00,3.44,3.44,3.44,3.44,556,ALLT
2023-01-04 09:33:00,3.441,3.441,3.441,3.441,565,ALLT
2023-01-04 09:34:00,3.4522,3.4522,3.4522,3.4522,555,ALLT
2023-01-04 09:35:00,3.4518,3.4518,3.4518,3.4518,333,ALLT
2023-01-04 09:36:00,3.44,3.44,3.44,3.44,510,ALLT
2023-01-04 09:38:00,3.4483,3.4483,3.4483,3.4483,555,ALLT
2023-01-04 09:39:00,3.455,3.455,3.455,3.455,555,ALLT
2023-01-04 09:40:00,3.44,3.44,3.42,3.42,555,ALLT
2023-01-04 09:41:00,3.43,3.43,3.43,3.43,100,ALLT
2023-01-04 10:17:00,3.415,3.43,3.415,3.43,848,ALLT
2023-01-04 10:48:00,3.42,3.42,3.42,3.42,100,ALLT
2023-01-04 10:49:00,3.4348,3.4348,3.4232,3.4232,999,ALLT
2023-01-04 10:50:00,3.44,3.44,3.44,3.44,100,ALLT
2023-01-04 10:59:00,3.4258,3.4258,3.4258,3.4258,151,ALLT
2023-01-04 11:02:00,3.449,3.449,3.447,3.447,453,ALLT
2023-01-04 11:04:00,3.431,3.435,3.43,3.435,702,ALLT
2023-01-04 11:15:00,3.43,3.43,3.43,3.43,100,ALLT
2023-01-04 11:26:00,3.425,3.425,3.425,3.425,102,ALLT
2023-01-04 11:36:00,3.425,3.425,3.425,3.425,117,ALLT
2023-01-04 11:56:00,3.425,3.425,3.41,3.41,208,ALLT
2023-01-04 11:57:00,3.4112,3.4112,3.4112,3.4112,188,ALLT
2023-01-04 12:03:00,3.41,3.4101,3.41,3.4101,444,ALLT
2023-01-04 12:06:00,3.4,3.4,3.4,3.4,312,ALLT
2023-01-04 12:11:00,3.405,3.405,3.405,3.405,100,ALLT
2023-01-04 12:14:00,3.41,3.41,3.405,3.405,478,ALLT
2023-01-04 12:17:00,3.41,3.42,3.41,3.42,1260,ALLT
2023-01-04 12:26:00,3.42,3.42,3.42,3.42,579,ALLT
2023-01-04 12:27:00,3.4307,3.4307,3.4307,3.4307,595,ALLT
2023-01-04 12:31:00,3.44,3.44,3.44,3.44,200,ALLT
2023-01-04 12:34:00,3.4359,3.4359,3.4359,3.4359,948,ALLT
2023-01-04 12:36:00,3.44,3.44,3.44,3.44,200,ALLT
2023-01-04 12:38:00,3.44,3.44,3.4376,3.4376,697,ALLT
2023-01-04 12:39:00,3.4376,3.4376,3.4376,3.4376,405,ALLT
2023-01-04 12:40:00,3.435,3.435,3.435,3.435,283,ALLT
2023-01-04 12:41:00,3.43,3.43,3.43,3.43,240,ALLT
2023-01-04 12:42:00,3.4343,3.44,3.4343,3.44,601,ALLT
2023-01-04 12:43:00,3.43,3.43,3.43,3.43,151,ALLT
2023-01-04 12:44:00,3.4329,3.4329,3.4329,3.4329,444,ALLT
2023-01-04 12:50:00,3.43,3.43,3.42,3.42,1438,ALLT
2023-01-04 12:52:00,3.425,3.425,3.425,3.425,245,ALLT
2023-01-04 12:58:00,3.42,3.42,3.42,3.42,100,ALLT
2023-01-04 13:01:00,3.415,3.415,3.415,3.415,200,ALLT
2023-01-04 13:04:00,3.43,3.43,3.43,3.43,100,ALLT
2023-01-04 13:07:00,3.43,3.43,3.43,3.43,100,ALLT
2023-01-04 13:09:00,3.435,3.435,3.435,3.435,380,ALLT
2023-01-04 13:13:00,3.435,3.435,3.435,3.435,288,ALLT
2023-01-04 13:15:00,3.42,3.42,3.42,3.42,400,ALLT
2023-01-04 13:19:00,3.42,3.435,3.42,3.435,361,ALLT
2023-01-04 13:20:00,3.421,3.421,3.42,3.42,258,ALLT
2023-01-04 13:21:00,3.435,3.435,3.435,3.435,100,ALLT
2023-01-04 13:22:00,3.4312,3.4312,3.4312,3.4312,385,ALLT
2023-01-04 13:23:00,3.42,3.42,3.42,3.42,307,ALLT
2023-01-04 13:24:00,3.42,3.42,3.42,3.42,300,ALLT
2023-01-04 13:27:00,3.422,3.422,3.42,3.42,395,ALLT
