date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-03-10 16:00:00,2.3,2.3,2.25,2.25,513.0,ARTL
2023-03-10 15:58:00,2.3,2.3,2.3,2.3,100.0,ARTL
2023-03-10 15:56:00,2.3064,2.3064,2.3064,2.3064,191.0,ARTL
2023-03-10 15:52:00,2.3388,2.3388,2.3388,2.3388,500.0,ARTL
2023-03-10 15:41:00,2.32,2.32,2.3,2.3,500.0,ARTL
2023-03-10 15:32:00,2.325,2.325,2.325,2.325,100.0,ARTL
2023-03-10 15:31:00,2.325,2.325,2.325,2.325,100.0,ARTL
2023-03-10 15:29:00,2.325,2.325,2.325,2.325,100.0,ARTL
2023-03-10 15:09:00,2.3266,2.3266,2.3266,2.3266,102.0,ARTL
2023-03-10 14:47:00,2.26,2.26,2.26,2.26,176.0,ARTL
2023-03-10 14:26:00,2.2699,2.2699,2.26,2.26,1500.0,ARTL
2023-03-10 14:22:00,2.2277,2.2277,2.2277,2.2277,1583.0,ARTL
2023-03-10 14:02:00,2.19,2.19,2.14,2.14,2170.0,ARTL
2023-03-10 13:59:00,2.2009,2.2009,2.2009,2.2009,301.0,ARTL
2023-03-10 13:58:00,2.26,2.26,2.26,2.26,116.0,ARTL
2023-03-10 13:57:00,2.2301,2.2301,2.2301,2.2301,880.0,ARTL
2023-03-10 13:56:00,2.225,2.225,2.225,2.225,210.0,ARTL
2023-03-10 13:55:00,2.18,2.2,2.18,2.2,1505.0,ARTL
2023-03-10 13:54:00,2.18,2.19,2.1708,2.1708,1000.0,ARTL
2023-03-10 13:53:00,2.1899,2.1899,2.1899,2.1899,1030.0,ARTL
2023-03-10 13:52:00,2.17,2.19,2.17,2.19,2708.0,ARTL
2023-03-10 13:48:00,2.15,2.15,2.15,2.15,1125.0,ARTL
2023-03-10 13:46:00,2.0689,2.0689,2.0689,2.0689,100.0,ARTL
2023-03-10 13:43:00,2.12,2.12,2.01,2.07,3904.0,ARTL
2023-03-10 13:42:00,2.165,2.165,2.165,2.165,240.0,ARTL
2023-03-10 13:40:00,2.1554,2.1554,2.1554,2.1554,111.0,ARTL
2023-03-10 13:39:00,2.2133,2.2133,2.2133,2.2133,260.0,ARTL
2023-03-10 13:38:00,2.3,2.3104,2.19,2.19,7213.0,ARTL
2023-03-10 13:37:00,2.34,2.34,2.34,2.34,700.0,ARTL
2023-03-10 13:36:00,2.4299,2.4299,2.3771,2.3771,1100.0,ARTL
2023-03-10 13:35:00,2.33,2.33,2.33,2.33,100.0,ARTL
2023-03-10 13:34:00,2.56,2.5622,2.38,2.38,13028.0,ARTL
