date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-04-06 16:00:00,8.95,8.97,8.9,8.97,7625.0,ATNM
2023-04-06 15:59:00,8.93,8.95,8.9,8.95,3842.0,ATNM
2023-04-06 15:58:00,8.96,8.96,8.96,8.96,721.0,ATNM
2023-04-06 15:57:00,8.95,8.96,8.95,8.96,576.0,ATNM
2023-04-06 15:56:00,8.94,8.95,8.94,8.95,1597.0,ATNM
2023-04-06 15:55:00,8.95,8.95,8.94,8.95,1399.0,ATNM
2023-04-06 15:52:00,8.96,8.98,8.96,8.98,778.0,ATNM
2023-04-06 15:51:00,8.955,8.97,8.95,8.95,829.0,ATNM
2023-04-06 15:50:00,8.96,8.97,8.94,8.97,4536.0,ATNM
2023-04-06 15:49:00,8.96,8.96,8.96,8.96,105.0,ATNM
2023-04-06 15:48:00,8.96,8.96,8.945,8.96,428.0,ATNM
2023-04-06 15:47:00,8.9301,8.9301,8.9301,8.9301,4712.0,ATNM
2023-04-06 15:46:00,8.945,8.945,8.945,8.945,205.0,ATNM
2023-04-06 15:43:00,8.945,8.945,8.945,8.945,221.0,ATNM
2023-04-06 15:42:00,8.95,8.95,8.95,8.95,262.0,ATNM
2023-04-06 15:41:00,8.92,8.95,8.92,8.95,1411.0,ATNM
2023-04-06 15:38:00,8.95,8.96,8.93,8.93,818.0,ATNM
2023-04-06 15:37:00,8.935,8.95,8.935,8.95,402.0,ATNM
2023-04-06 15:36:00,8.94,8.94,8.93,8.93,1528.0,ATNM
2023-04-06 15:35:00,8.94,8.9497,8.93,8.94,1606.0,ATNM
2023-04-06 15:34:00,8.92,8.92,8.92,8.92,659.0,ATNM
2023-04-06 15:33:00,8.9296,8.96,8.9296,8.96,1100.0,ATNM
2023-04-06 15:32:00,8.96,8.96,8.96,8.96,123.0,ATNM
2023-04-06 15:31:00,8.94,8.94,8.94,8.94,249.0,ATNM
2023-04-06 15:30:00,8.95,8.95,8.95,8.95,1075.0,ATNM
2023-04-06 15:26:00,8.97,8.97,8.96,8.97,720.0,ATNM
2023-04-06 15:25:00,8.95,8.95,8.95,8.95,2176.0,ATNM
2023-04-06 15:23:00,8.93,8.93,8.93,8.93,227.0,ATNM
2023-04-06 15:21:00,8.91,8.92,8.91,8.92,391.0,ATNM
2023-04-06 15:20:00,8.93,8.95,8.93,8.95,934.0,ATNM
2023-04-06 15:16:00,8.93,8.93,8.93,8.93,308.0,ATNM
2023-04-06 15:14:00,8.98,8.98,8.98,8.98,102.0,ATNM
2023-04-06 15:12:00,8.98,8.98,8.955,8.955,328.0,ATNM
2023-04-06 15:11:00,8.9401,8.9757,8.93,8.9757,6759.0,ATNM
2023-04-06 15:10:00,8.98,8.98,8.98,8.98,100.0,ATNM
2023-04-06 15:09:00,8.96,8.96,8.96,8.96,126.0,ATNM
2023-04-06 15:08:00,8.96,8.96,8.96,8.96,120.0,ATNM
2023-04-06 15:07:00,8.96,8.96,8.96,8.96,100.0,ATNM
2023-04-06 15:06:00,8.9617,8.9617,8.9515,8.9515,213.0,ATNM
2023-04-06 15:01:00,8.93,8.95,8.93,8.94,788.0,ATNM
2023-04-06 14:59:00,8.9,8.91,8.9,8.905,899.0,ATNM
2023-04-06 14:58:00,8.89,8.9,8.89,8.9,347.0,ATNM
2023-04-06 14:57:00,8.89,8.89,8.86,8.86,630.0,ATNM
2023-04-06 14:56:00,8.92,8.92,8.89,8.89,4502.0,ATNM
2023-04-06 14:54:00,8.9,8.9,8.9,8.9,100.0,ATNM
2023-04-06 14:51:00,8.95,8.95,8.95,8.95,124.0,ATNM
2023-04-06 14:50:00,8.925,8.925,8.925,8.925,532.0,ATNM
2023-04-06 14:44:00,8.95,8.95,8.95,8.95,200.0,ATNM
2023-04-06 14:42:00,8.95,8.95,8.95,8.95,200.0,ATNM
2023-04-06 14:41:00,8.94,8.9527,8.9,8.95,4577.0,ATNM
2023-04-06 14:40:00,8.98,8.98,8.94,8.94,780.0,ATNM
2023-04-06 14:38:00,8.95,8.95,8.95,8.95,471.0,ATNM
2023-04-06 14:34:00,8.97,8.97,8.95,8.95,451.0,ATNM
2023-04-06 14:30:00,8.93,8.93,8.93,8.93,101.0,ATNM
2023-04-06 14:29:00,8.97,8.97,8.9575,8.97,540.0,ATNM
2023-04-06 14:28:00,8.95,8.95,8.95,8.95,806.0,ATNM
2023-04-06 14:27:00,8.975,8.975,8.975,8.975,1000.0,ATNM
2023-04-06 14:26:00,9.0,9.0,9.0,9.0,100.0,ATNM
2023-04-06 14:25:00,8.99,8.99,8.99,8.99,407.0,ATNM
2023-04-06 14:24:00,8.99,8.99,8.99,8.99,100.0,ATNM
2023-04-06 14:23:00,8.955,8.955,8.955,8.955,105.0,ATNM
2023-04-06 14:22:00,8.9899,8.9899,8.9899,8.9899,602.0,ATNM
2023-04-06 14:21:00,8.955,8.99,8.955,8.955,1700.0,ATNM
2023-04-06 14:18:00,8.9385,8.99,8.9385,8.99,2305.0,ATNM
2023-04-06 14:17:00,8.94,8.94,8.94,8.94,227.0,ATNM
2023-04-06 14:16:00,8.92,8.92,8.92,8.92,800.0,ATNM
2023-04-06 14:13:00,8.89,8.89,8.88,8.89,589.0,ATNM
2023-04-06 14:12:00,8.89,8.89,8.89,8.89,100.0,ATNM
2023-04-06 14:10:00,8.88,8.93,8.88,8.89,1425.0,ATNM
2023-04-06 14:05:00,8.89,8.89,8.88,8.88,462.0,ATNM
2023-04-06 14:04:00,8.92,8.92,8.9,8.9,845.0,ATNM
2023-04-06 14:03:00,8.9,8.9,8.9,8.9,585.0,ATNM
2023-04-06 14:02:00,8.913,8.913,8.89,8.89,393.0,ATNM
2023-04-06 13:59:00,8.895,8.895,8.895,8.895,127.0,ATNM
2023-04-06 13:55:00,8.895,8.9175,8.895,8.9175,250.0,ATNM
2023-04-06 13:39:00,8.93,8.93,8.93,8.93,100.0,ATNM
2023-04-06 13:36:00,8.93,8.93,8.9,8.9,600.0,ATNM
2023-04-06 13:35:00,8.91,8.93,8.91,8.93,1600.0,ATNM
2023-04-06 13:33:00,8.9,8.9,8.9,8.9,1431.0,ATNM
2023-04-06 13:25:00,8.86,8.93,8.86,8.93,225.0,ATNM
2023-04-06 13:24:00,8.89,8.89,8.885,8.885,1279.0,ATNM
2023-04-06 13:20:00,8.9,8.9,8.9,8.9,780.0,ATNM
2023-04-06 13:07:00,8.9,8.9,8.9,8.9,107.0,ATNM
2023-04-06 13:04:00,8.88,8.88,8.82,8.82,1009.0,ATNM
2023-04-06 13:01:00,8.865,8.865,8.865,8.865,200.0,ATNM
2023-04-06 12:59:00,8.9,8.9,8.865,8.865,276.0,ATNM
2023-04-06 12:56:00,8.86,8.86,8.86,8.86,276.0,ATNM
2023-04-06 12:55:00,8.93,8.93,8.82,8.82,2377.0,ATNM
2023-04-06 12:53:00,8.895,8.895,8.895,8.895,500.0,ATNM
2023-04-06 12:52:00,8.8707,8.8707,8.8707,8.8707,100.0,ATNM
2023-04-06 12:51:00,8.9,8.9,8.9,8.9,108.0,ATNM
2023-04-06 12:50:00,8.88,8.88,8.88,8.88,638.0,ATNM
2023-04-06 12:47:00,8.92,8.92,8.92,8.92,100.0,ATNM
2023-04-06 12:46:00,8.89,8.89,8.89,8.89,200.0,ATNM
2023-04-06 12:45:00,8.89,8.89,8.89,8.89,227.0,ATNM
2023-04-06 12:43:00,8.92,8.92,8.92,8.92,100.0,ATNM
2023-04-06 12:39:00,8.94,8.94,8.89,8.89,618.0,ATNM
2023-04-06 12:38:00,8.9,8.9,8.9,8.9,209.0,ATNM
2023-04-06 12:37:00,8.92,8.92,8.92,8.92,200.0,ATNM
2023-04-06 12:35:00,8.94,8.94,8.94,8.94,100.0,ATNM
2023-04-06 12:33:00,8.92,8.92,8.9059,8.9059,200.0,ATNM
2023-04-06 12:32:00,8.9177,8.9177,8.9177,8.9177,750.0,ATNM
2023-04-06 12:31:00,8.9,8.97,8.88,8.92,5451.0,ATNM
2023-04-06 12:29:00,8.8999,8.8999,8.87,8.87,4538.0,ATNM
2023-04-06 12:27:00,8.9,8.9,8.9,8.9,200.0,ATNM
2023-04-06 12:26:00,8.875,8.875,8.84,8.84,928.0,ATNM
2023-04-06 12:17:00,8.88,8.88,8.88,8.88,300.0,ATNM
2023-04-06 12:10:00,8.92,8.92,8.92,8.92,100.0,ATNM
2023-04-06 12:06:00,8.92,8.92,8.92,8.92,100.0,ATNM
2023-04-06 12:02:00,8.93,8.93,8.93,8.93,100.0,ATNM
2023-04-06 11:59:00,8.885,8.885,8.885,8.885,202.0,ATNM
2023-04-06 11:58:00,8.84,8.93,8.84,8.93,720.0,ATNM
2023-04-06 11:55:00,8.89,8.89,8.88,8.88,2089.0,ATNM
2023-04-06 11:54:00,8.94,8.94,8.94,8.94,109.0,ATNM
2023-04-06 11:52:00,8.915,8.915,8.915,8.915,102.0,ATNM
2023-04-06 11:51:00,8.94,8.94,8.94,8.94,108.0,ATNM
2023-04-06 11:50:00,8.8648,8.92,8.835,8.92,5688.0,ATNM
2023-04-06 11:47:00,8.87,8.87,8.87,8.87,100.0,ATNM
2023-04-06 11:46:00,8.85,8.85,8.85,8.85,522.0,ATNM
2023-04-06 11:45:00,8.87,8.87,8.87,8.87,100.0,ATNM
2023-04-06 11:44:00,8.8,8.8,8.8,8.8,205.0,ATNM
2023-04-06 11:43:00,8.87,8.87,8.87,8.87,100.0,ATNM
2023-04-06 11:41:00,8.835,8.87,8.835,8.87,313.0,ATNM
2023-04-06 11:38:00,8.805,8.87,8.8,8.835,2559.0,ATNM
2023-04-06 11:37:00,8.805,8.805,8.805,8.805,100.0,ATNM
2023-04-06 11:35:00,8.81,8.81,8.81,8.81,143.0,ATNM
2023-04-06 11:34:00,8.805,8.805,8.805,8.805,215.0,ATNM
2023-04-06 11:29:00,8.78,8.78,8.78,8.78,738.0,ATNM
2023-04-06 11:25:00,8.78,8.78,8.78,8.78,100.0,ATNM
2023-04-06 11:21:00,8.82,8.82,8.82,8.82,100.0,ATNM
2023-04-06 11:16:00,8.78,8.78,8.78,8.78,100.0,ATNM
2023-04-06 11:01:00,8.79,8.808,8.79,8.808,859.0,ATNM
2023-04-06 11:00:00,8.79,8.79,8.79,8.79,232.0,ATNM
2023-04-06 10:55:00,8.82,8.82,8.82,8.82,200.0,ATNM
2023-04-06 10:54:00,8.79,8.81,8.78,8.78,1693.0,ATNM
2023-04-06 10:53:00,8.8,8.8,8.78,8.78,380.0,ATNM
2023-04-06 10:49:00,8.78,8.78,8.78,8.78,123.0,ATNM
2023-04-06 10:29:00,8.8,8.8,8.775,8.775,1206.0,ATNM
2023-04-06 10:27:00,8.76,8.76,8.76,8.76,137.0,ATNM
2023-04-06 10:23:00,8.79,8.79,8.76,8.76,618.0,ATNM
2023-04-06 10:21:00,8.79,8.815,8.79,8.815,817.0,ATNM
2023-04-06 10:20:00,8.7903,8.7903,8.7903,8.7903,100.0,ATNM
2023-04-06 10:14:00,8.86,8.86,8.79,8.79,473.0,ATNM
2023-04-06 10:12:00,8.86,8.86,8.86,8.86,300.0,ATNM
2023-04-06 10:11:00,8.8677,8.87,8.86,8.87,700.0,ATNM
2023-04-06 10:10:00,8.8629,8.87,8.8629,8.87,200.0,ATNM
2023-04-06 10:08:00,8.85,8.85,8.83,8.83,400.0,ATNM
2023-04-06 10:07:00,8.76,8.82,8.76,8.82,6246.0,ATNM
2023-04-06 10:06:00,8.71,8.75,8.71,8.75,1606.0,ATNM
2023-04-06 10:05:00,8.71,8.75,8.71,8.71,512.0,ATNM
2023-04-06 10:03:00,8.705,8.705,8.705,8.705,100.0,ATNM
2023-04-06 10:02:00,8.6748,8.7,8.6748,8.69,30695.0,ATNM
2023-04-06 10:01:00,8.65,8.65,8.65,8.65,208.0,ATNM
2023-04-06 09:59:00,8.65,8.65,8.65,8.65,100.0,ATNM
2023-04-06 09:58:00,8.65,8.65,8.65,8.65,189.0,ATNM
2023-04-06 09:56:00,8.64,8.64,8.64,8.64,200.0,ATNM
2023-04-06 09:55:00,8.6201,8.6485,8.62,8.62,1301.0,ATNM
2023-04-06 09:43:00,8.62,8.62,8.62,8.62,200.0,ATNM
2023-04-06 09:42:00,8.64,8.64,8.64,8.64,107.0,ATNM
2023-04-06 09:41:00,8.725,8.725,8.65,8.65,1353.0,ATNM
2023-04-06 09:39:00,8.675,8.7,8.675,8.7,1800.0,ATNM
2023-04-06 09:37:00,8.69,8.69,8.69,8.69,100.0,ATNM
2023-04-06 09:36:00,8.76,8.76,8.6584,8.6584,585.0,ATNM
2023-04-06 09:35:00,8.77,8.77,8.77,8.77,138.0,ATNM
2023-04-06 09:34:00,8.7266,8.7266,8.7266,8.7266,195.0,ATNM
2023-04-06 09:31:00,8.78,8.78,8.78,8.78,738.0,ATNM
2023-04-05 18:06:00,8.8,8.8,8.8,8.8,796.0,ATNM
2023-04-05 18:03:00,8.8,8.8,8.8,8.8,341.0,ATNM
2023-04-05 16:00:00,8.73,8.76,8.72,8.76,2745.0,ATNM
2023-04-05 15:59:00,8.73,8.75,8.73,8.74,1682.0,ATNM
2023-04-05 15:58:00,8.74,8.74,8.71,8.71,1743.0,ATNM
2023-04-05 15:57:00,8.7276,8.7276,8.71,8.71,1860.0,ATNM
2023-04-05 15:56:00,8.721,8.721,8.7101,8.72,1537.0,ATNM
2023-04-05 15:55:00,8.7,8.72,8.7,8.72,1455.0,ATNM
2023-04-05 15:54:00,8.7,8.72,8.7,8.72,1131.0,ATNM
2023-04-05 15:53:00,8.72,8.72,8.7,8.71,464.0,ATNM
2023-04-05 15:52:00,8.7,8.72,8.7,8.72,1414.0,ATNM
2023-04-05 15:51:00,8.71,8.725,8.71,8.71,551.0,ATNM
2023-04-05 15:50:00,8.72,8.73,8.72,8.73,870.0,ATNM
2023-04-05 15:48:00,8.72,8.72,8.72,8.72,119.0,ATNM
2023-04-05 15:47:00,8.68,8.68,8.68,8.68,425.0,ATNM
2023-04-05 15:45:00,8.695,8.695,8.68,8.6801,2000.0,ATNM
2023-04-05 15:44:00,8.69,8.7,8.6701,8.6701,1367.0,ATNM
2023-04-05 15:42:00,8.661,8.661,8.6601,8.6601,1000.0,ATNM
2023-04-05 15:41:00,8.66,8.69,8.66,8.69,301.0,ATNM
2023-04-05 15:40:00,8.68,8.68,8.67,8.68,611.0,ATNM
2023-04-05 15:38:00,8.66,8.69,8.65,8.689,2743.0,ATNM
2023-04-05 15:37:00,8.65,8.65,8.65,8.65,512.0,ATNM
2023-04-05 15:35:00,8.625,8.66,8.625,8.66,2050.0,ATNM
2023-04-05 15:34:00,8.62,8.63,8.6,8.62,920.0,ATNM
2023-04-05 15:33:00,8.6,8.62,8.6,8.6,302.0,ATNM
2023-04-05 15:32:00,8.6,8.6336,8.6,8.62,2352.0,ATNM
2023-04-05 15:31:00,8.6,8.6,8.6,8.6,109.0,ATNM
2023-04-05 15:30:00,8.6,8.6,8.6,8.6,202.0,ATNM
2023-04-05 15:29:00,8.62,8.62,8.6,8.6,607.0,ATNM
2023-04-05 15:28:00,8.6,8.64,8.6,8.64,402.0,ATNM
2023-04-05 15:27:00,8.62,8.62,8.6,8.6,402.0,ATNM
2023-04-05 15:26:00,8.6235,8.6235,8.6,8.6,376.0,ATNM
2023-04-05 15:24:00,8.63,8.63,8.62,8.62,577.0,ATNM
2023-04-05 15:22:00,8.635,8.65,8.635,8.65,300.0,ATNM
2023-04-05 15:21:00,8.61,8.63,8.61,8.63,1700.0,ATNM
2023-04-05 15:20:00,8.59,8.59,8.59,8.59,106.0,ATNM
2023-04-05 15:19:00,8.59,8.59,8.59,8.59,328.0,ATNM
2023-04-05 15:18:00,8.6,8.6,8.59,8.59,301.0,ATNM
2023-04-05 15:16:00,8.61,8.61,8.59,8.59,300.0,ATNM
2023-04-05 15:15:00,8.59,8.59,8.59,8.59,111.0,ATNM
2023-04-05 15:14:00,8.6,8.6,8.59,8.59,5769.0,ATNM
2023-04-05 15:13:00,8.61,8.61,8.61,8.61,520.0,ATNM
2023-04-05 15:11:00,8.625,8.64,8.62,8.625,2462.0,ATNM
2023-04-05 15:09:00,8.64,8.64,8.64,8.64,200.0,ATNM
2023-04-05 15:07:00,8.6413,8.6413,8.62,8.62,1003.0,ATNM
2023-04-05 15:06:00,8.63,8.645,8.63,8.645,562.0,ATNM
