date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-05-05 16:01:00,59.01,59.01,59.01,59.01,2986.0,BECN
2023-05-05 16:00:00,59.05,59.08,58.98,59.02,15673.0,BECN
2023-05-05 15:59:00,59.085,59.14,58.98,59.08,15671.0,BECN
2023-05-05 15:58:00,59.15,59.23,59.07,59.11,13357.0,BECN
2023-05-05 15:57:00,59.22,59.22,59.1,59.13,6753.0,BECN
2023-05-05 15:56:00,58.92,59.235,58.9,59.235,14891.0,BECN
2023-05-05 15:55:00,58.77,58.92,58.75,58.915,6130.0,BECN
2023-05-05 15:54:00,58.77,58.83,58.67,58.81,9877.0,BECN
2023-05-05 15:53:00,58.735,58.8,58.71,58.8,4779.0,BECN
2023-05-05 15:52:00,58.6625,58.76,58.63,58.735,8082.0,BECN
2023-05-05 15:51:00,58.82,58.82,58.645,58.645,8275.0,BECN
2023-05-05 15:50:00,58.83,58.86,58.81,58.85,1978.0,BECN
2023-05-05 15:49:00,58.83,58.86,58.79,58.83,2536.0,BECN
2023-05-05 15:48:00,58.9,58.905,58.86,58.86,1575.0,BECN
2023-05-05 15:47:00,58.8975,58.915,58.88,58.88,2636.0,BECN
2023-05-05 15:46:00,59.02,59.02,58.88,58.915,4262.0,BECN
2023-05-05 15:45:00,59.2,59.2,59.05,59.05,5776.0,BECN
2023-05-05 15:44:00,59.15,59.1775,59.15,59.16,2215.0,BECN
2023-05-05 15:43:00,59.12,59.19,59.11,59.19,1471.0,BECN
2023-05-05 15:42:00,59.14,59.15,59.11,59.15,1111.0,BECN
2023-05-05 15:41:00,59.14,59.14,59.12,59.12,958.0,BECN
2023-05-05 15:40:00,59.14,59.14,59.09,59.09,272.0,BECN
2023-05-05 15:39:00,59.095,59.12,59.095,59.12,551.0,BECN
2023-05-05 15:38:00,59.1,59.12,59.1,59.11,768.0,BECN
2023-05-05 15:37:00,59.14,59.17,59.1,59.15,2372.0,BECN
2023-05-05 15:36:00,59.235,59.235,59.18,59.19,2190.0,BECN
2023-05-05 15:35:00,59.19,59.29,59.19,59.275,2889.0,BECN
2023-05-05 15:34:00,59.145,59.19,59.14,59.14,1972.0,BECN
2023-05-05 15:33:00,59.19,59.19,59.15,59.16,1291.0,BECN
2023-05-05 15:32:00,59.25,59.255,59.2,59.21,697.0,BECN
2023-05-05 15:31:00,59.25,59.25,59.195,59.195,649.0,BECN
2023-05-05 15:30:00,59.22,59.27,59.21,59.23,2328.0,BECN
2023-05-05 15:29:00,59.255,59.2739,59.25,59.2739,1302.0,BECN
2023-05-05 15:28:00,59.32,59.32,59.31,59.31,340.0,BECN
