date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-07-17 18:32:00,0.94,0.94,0.94,0.94,50.0,BYFC
2023-07-17 17:35:00,0.939,0.939,0.939,0.939,3.0,BYFC
2023-07-17 17:04:00,0.93,0.93,0.93,0.93,2.0,BYFC
2023-07-17 16:01:00,0.94,0.94,0.94,0.94,10.0,BYFC
2023-07-17 16:00:00,0.927,0.927,0.925,0.925,230.0,BYFC
2023-07-17 15:56:00,0.925,0.925,0.925,0.925,285.0,BYFC
2023-07-17 15:54:00,0.93,0.93,0.93,0.93,13012.0,BYFC
2023-07-17 15:53:00,0.93,0.93,0.93,0.93,505.0,BYFC
2023-07-17 15:52:00,0.931,0.931,0.931,0.931,288.0,BYFC
2023-07-17 15:50:00,0.94,0.94,0.94,0.94,211.0,BYFC
2023-07-17 15:44:00,0.93,0.93,0.93,0.93,517.0,BYFC
2023-07-17 13:30:00,0.936,0.936,0.936,0.936,202.0,BYFC
2023-07-17 12:12:00,0.94,0.94,0.94,0.94,8300.0,BYFC
2023-07-17 11:56:00,0.94,0.94,0.94,0.94,185.0,BYFC
2023-07-17 11:12:00,0.932,0.932,0.932,0.932,947.0,BYFC
2023-07-17 10:49:00,0.94,0.94,0.94,0.94,100.0,BYFC
2023-07-17 10:48:00,0.935,0.94,0.935,0.94,2500.0,BYFC
2023-07-17 10:39:00,0.94,0.94,0.935,0.935,2511.0,BYFC
2023-07-17 10:38:00,0.931,0.931,0.931,0.931,200.0,BYFC
2023-07-17 10:35:00,0.935,0.935,0.935,0.935,268.0,BYFC
2023-07-17 09:54:00,0.93,0.93,0.93,0.93,1365.0,BYFC
2023-07-17 09:30:00,0.95,0.95,0.95,0.95,256.0,BYFC
2023-07-17 08:59:00,0.955,0.955,0.955,0.955,1.0,BYFC
2023-07-14 19:37:00,0.92,0.92,0.92,0.92,125.0,BYFC
2023-07-14 18:29:00,0.92,0.92,0.92,0.92,47.0,BYFC
2023-07-14 17:44:00,0.955,0.955,0.955,0.955,20.0,BYFC
2023-07-14 16:30:00,0.955,0.955,0.955,0.955,10.0,BYFC
2023-07-14 16:06:00,0.955,0.955,0.955,0.955,18.0,BYFC
2023-07-14 16:03:00,0.955,0.955,0.955,0.955,30.0,BYFC
2023-07-14 16:00:00,0.93,0.932,0.93,0.932,128.0,BYFC
2023-07-14 15:58:00,0.93,0.93,0.93,0.93,606.0,BYFC
2023-07-14 15:54:00,0.93,0.93,0.93,0.93,426.0,BYFC
2023-07-14 14:51:00,0.925,0.931,0.925,0.931,6061.0,BYFC
2023-07-14 14:50:00,0.931,0.931,0.925,0.925,1400.0,BYFC
2023-07-14 14:47:00,0.931,0.931,0.931,0.931,2000.0,BYFC
2023-07-14 14:46:00,0.925,0.933,0.925,0.931,9900.0,BYFC
2023-07-14 14:36:00,0.93,0.93,0.93,0.93,1350.0,BYFC
2023-07-14 14:34:00,0.93,0.93,0.93,0.93,101.0,BYFC
2023-07-14 14:30:00,0.93,0.93,0.93,0.93,225.0,BYFC
2023-07-14 14:13:00,0.931,0.931,0.931,0.931,5282.0,BYFC
2023-07-14 14:07:00,0.93,0.93,0.93,0.93,274.0,BYFC
2023-07-14 14:06:00,0.93,0.93,0.93,0.93,500.0,BYFC
2023-07-14 14:02:00,0.931,0.931,0.93,0.93,5514.0,BYFC
2023-07-14 13:57:00,0.931,0.931,0.931,0.931,606.0,BYFC
2023-07-14 13:10:00,0.941,0.941,0.941,0.941,300.0,BYFC
2023-07-14 13:04:00,0.941,0.941,0.941,0.941,100.0,BYFC
2023-07-14 11:49:00,0.93,0.93,0.93,0.93,100.0,BYFC
2023-07-14 11:37:00,0.93,0.93,0.93,0.93,2700.0,BYFC
2023-07-14 11:36:00,0.93,0.93,0.93,0.93,200.0,BYFC
2023-07-14 11:34:00,0.93,0.93,0.93,0.93,6027.0,BYFC
2023-07-14 11:16:00,0.93,0.93,0.93,0.93,3000.0,BYFC
2023-07-14 11:14:00,0.93,0.93,0.93,0.93,355.0,BYFC
2023-07-14 11:13:00,0.94,0.94,0.94,0.94,1271.0,BYFC
2023-07-14 11:12:00,0.94,0.94,0.94,0.94,3000.0,BYFC
2023-07-14 11:08:00,0.942,0.942,0.942,0.942,3000.0,BYFC
2023-07-14 09:38:00,0.94,0.94,0.94,0.94,2500.0,BYFC
2023-07-14 09:37:00,0.94,0.95,0.94,0.95,2500.0,BYFC
2023-07-14 09:30:00,0.93,0.93,0.93,0.93,447.0,BYFC
2023-07-14 09:00:00,0.956,0.956,0.956,0.956,100.0,BYFC
2023-07-14 08:18:00,0.951,0.951,0.951,0.951,5.0,BYFC
2023-07-13 17:03:00,0.96,0.96,0.96,0.96,6.0,BYFC
2023-07-13 17:01:00,0.96,0.96,0.96,0.96,2.0,BYFC
2023-07-13 16:04:00,0.94,0.94,0.94,0.94,50.0,BYFC
2023-07-13 16:00:00,0.946,0.959,0.946,0.959,1302.0,BYFC
2023-07-13 15:25:00,0.946,0.946,0.946,0.946,500.0,BYFC
2023-07-13 15:04:00,0.959,0.959,0.959,0.959,100.0,BYFC
2023-07-13 14:25:00,0.931,0.931,0.931,0.931,8130.0,BYFC
2023-07-13 13:51:00,0.96,0.96,0.96,0.96,4000.0,BYFC
2023-07-13 12:44:00,0.945,0.945,0.945,0.945,300.0,BYFC
2023-07-13 12:12:00,0.93,0.93,0.93,0.93,145.0,BYFC
2023-07-13 11:08:00,0.95,0.95,0.95,0.95,104.0,BYFC
2023-07-13 10:22:00,0.945,0.945,0.93,0.93,954.0,BYFC
2023-07-13 10:14:00,0.93,0.93,0.93,0.93,327.0,BYFC
2023-07-13 10:03:00,0.935,0.935,0.93,0.93,4500.0,BYFC
2023-07-13 10:02:00,0.941,0.941,0.935,0.935,1812.0,BYFC
2023-07-13 09:31:00,0.935,0.935,0.935,0.935,366.0,BYFC
2023-07-13 09:30:00,0.943,0.943,0.943,0.943,174.0,BYFC
2023-07-13 09:23:00,0.96,0.96,0.96,0.96,1.0,BYFC
2023-07-12 17:26:00,0.93,0.93,0.93,0.93,218.0,BYFC
2023-07-12 17:10:00,0.96,0.96,0.96,0.96,90.0,BYFC
2023-07-12 16:32:00,0.93,0.93,0.93,0.93,20.0,BYFC
2023-07-12 16:12:00,0.96,0.96,0.96,0.96,10.0,BYFC
2023-07-12 16:05:00,0.96,0.96,0.96,0.96,50.0,BYFC
2023-07-12 16:00:00,0.95,0.95,0.935,0.935,741.0,BYFC
2023-07-12 15:02:00,0.95,0.95,0.95,0.95,175.0,BYFC
2023-07-12 13:09:00,0.95,0.95,0.95,0.95,172.0,BYFC
2023-07-12 13:08:00,0.95,0.95,0.95,0.95,100.0,BYFC
2023-07-12 10:55:00,0.96,0.96,0.96,0.96,100.0,BYFC
2023-07-12 10:12:00,0.943,0.943,0.943,0.943,201.0,BYFC
2023-07-12 09:37:00,0.96,0.96,0.96,0.96,100.0,BYFC
2023-07-12 09:30:00,0.938,0.938,0.938,0.938,27.0,BYFC
2023-07-12 07:00:00,0.966,0.966,0.966,0.966,10.0,BYFC
2023-07-11 16:00:00,0.938,0.938,0.938,0.938,651.0,BYFC
2023-07-11 15:59:00,0.938,0.938,0.938,0.938,624.0,BYFC
