date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-04-24 17:40:00,1.13,1.13,1.13,1.13,160.0,CANG
2023-04-24 15:40:00,1.14,1.14,1.14,1.14,135.0,CANG
2023-04-24 15:35:00,1.1404,1.1404,1.1404,1.1404,490.0,CANG
2023-04-24 15:30:00,1.14,1.145,1.14,1.145,1377.0,CANG
2023-04-24 14:43:00,1.145,1.145,1.145,1.145,470.0,CANG
2023-04-24 14:41:00,1.145,1.145,1.145,1.145,303.0,CANG
2023-04-24 14:13:00,1.148,1.148,1.148,1.148,106.0,CANG
2023-04-24 13:35:00,1.1301,1.1301,1.1301,1.1301,1385.0,CANG
2023-04-24 13:32:00,1.135,1.135,1.135,1.135,100.0,CANG
2023-04-24 13:04:00,1.1386,1.1386,1.1386,1.1386,121.0,CANG
2023-04-24 12:54:00,1.13,1.13,1.13,1.13,411.0,CANG
2023-04-24 12:50:00,1.141,1.141,1.14,1.14,846.0,CANG
2023-04-24 12:30:00,1.1415,1.1415,1.1415,1.1415,100.0,CANG
2023-04-24 12:25:00,1.1492,1.1492,1.1492,1.1492,100.0,CANG
2023-04-24 12:13:00,1.14,1.14,1.14,1.14,548.0,CANG
2023-04-24 11:58:00,1.14,1.1499,1.14,1.1499,4567.0,CANG
2023-04-24 11:53:00,1.14,1.14,1.14,1.14,200.0,CANG
2023-04-24 11:47:00,1.14,1.14,1.14,1.14,400.0,CANG
2023-04-24 11:45:00,1.14,1.14,1.14,1.14,100.0,CANG
2023-04-24 11:44:00,1.1499,1.1499,1.1499,1.1499,250.0,CANG
2023-04-24 11:27:00,1.14,1.14,1.14,1.14,100.0,CANG
2023-04-24 11:22:00,1.1499,1.1499,1.1499,1.1499,100.0,CANG
2023-04-24 11:17:00,1.1488,1.15,1.1488,1.15,325.0,CANG
2023-04-24 10:45:00,1.16,1.16,1.16,1.16,300.0,CANG
2023-04-24 10:41:00,1.16,1.16,1.16,1.16,103.0,CANG
2023-04-24 10:38:00,1.13,1.1477,1.13,1.1477,560.0,CANG
2023-04-24 10:32:00,1.1601,1.1601,1.13,1.15,4874.0,CANG
2023-04-24 10:30:00,1.16,1.16,1.16,1.16,332.0,CANG
2023-04-24 10:25:00,1.16,1.16,1.16,1.16,106.0,CANG
2023-04-24 10:24:00,1.16,1.16,1.16,1.16,1264.0,CANG
2023-04-24 10:00:00,1.1634,1.1634,1.1634,1.1634,2005.0,CANG
2023-04-24 09:58:00,1.16,1.16,1.16,1.16,138.0,CANG
2023-04-24 09:56:00,1.17,1.17,1.17,1.17,198.0,CANG
2023-04-24 09:54:00,1.18,1.18,1.18,1.18,101.0,CANG
2023-04-24 09:50:00,1.1619,1.1619,1.1619,1.1619,117.0,CANG
