,open,high,low,close,volume,Ticker
2023-01-03 08:36:00,1.05,1.05,1.05,1.05,1000,CCO
2023-01-03 09:12:00,1.05,1.05,1.05,1.05,23475,CCO
2023-01-03 09:31:00,1.05,1.05,1.03,1.03,8913,CCO
2023-01-03 09:32:00,1.04,1.06,1.04,1.06,9233,CCO
2023-01-03 09:34:00,1.055,1.0836,1.055,1.0836,35573,CCO
2023-01-03 09:35:00,1.09,1.09,1.0811,1.09,1610,CCO
2023-01-03 09:36:00,1.09,1.1,1.09,1.095,2469,CCO
2023-01-03 09:37:00,1.1,1.1,1.09,1.09,44136,CCO
2023-01-03 09:38:00,1.09,1.09,1.08,1.081,9002,CCO
2023-01-03 09:39:00,1.09,1.09,1.09,1.09,120,CCO
2023-01-03 09:40:00,1.08,1.08,1.07,1.075,25505,CCO
2023-01-03 09:41:00,1.09,1.1,1.09,1.0911,32709,CCO
2023-01-03 09:42:00,1.095,1.095,1.095,1.095,804,CCO
2023-01-03 09:43:00,1.095,1.095,1.08,1.085,12220,CCO
2023-01-03 09:44:00,1.085,1.085,1.08,1.08,16019,CCO
2023-01-03 09:45:00,1.08,1.08,1.075,1.075,3700,CCO
2023-01-03 09:46:00,1.07,1.07,1.065,1.07,18624,CCO
2023-01-03 09:47:00,1.07,1.07,1.07,1.07,3097,CCO
2023-01-03 09:50:00,1.06,1.06,1.06,1.06,203,CCO
2023-01-03 09:51:00,1.06,1.06,1.05,1.055,3507,CCO
2023-01-03 09:52:00,1.05,1.05,1.05,1.05,4041,CCO
2023-01-03 09:54:00,1.055,1.055,1.05,1.05,5223,CCO
2023-01-03 09:57:00,1.04,1.0488,1.04,1.0488,400,CCO
2023-01-03 09:59:00,1.04,1.04,1.03,1.03,1200,CCO
2023-01-03 10:00:00,1.035,1.035,1.03,1.03,1625,CCO
2023-01-03 10:02:00,1.035,1.035,1.035,1.035,140,CCO
2023-01-03 10:03:00,1.035,1.035,1.035,1.035,1042,CCO
2023-01-03 10:04:00,1.035,1.035,1.035,1.035,107,CCO
2023-01-03 10:06:00,1.035,1.035,1.035,1.035,404,CCO
2023-01-03 10:09:00,1.035,1.035,1.035,1.035,448,CCO
2023-01-03 10:10:00,1.035,1.035,1.03,1.035,1024,CCO
2023-01-03 10:11:00,1.035,1.035,1.035,1.035,101,CCO
2023-01-03 10:12:00,1.04,1.04,1.035,1.035,703,CCO
2023-01-03 10:13:00,1.04,1.04,1.04,1.04,242,CCO
2023-01-03 10:14:00,1.035,1.035,1.035,1.035,201,CCO
2023-01-03 10:15:00,1.0375,1.0375,1.0375,1.0375,200,CCO
2023-01-03 10:16:00,1.03,1.03,1.03,1.03,525,CCO
2023-01-03 10:17:00,1.03,1.03,1.03,1.03,600,CCO
2023-01-03 10:18:00,1.03,1.03,1.025,1.025,1650,CCO
2023-01-03 10:19:00,1.02,1.025,1.02,1.02,405,CCO
2023-01-03 10:20:00,1.02,1.02,1.02,1.02,100,CCO
2023-01-03 10:21:00,1.02,1.02,1.02,1.02,304,CCO
2023-01-03 10:23:00,1.02,1.02,1.02,1.02,600,CCO
2023-01-03 10:24:00,1.02,1.02,1.02,1.02,600,CCO
2023-01-03 10:25:00,1.025,1.025,1.025,1.025,200,CCO
2023-01-03 10:26:00,1.0282,1.0282,1.025,1.025,913,CCO
2023-01-03 10:27:00,1.025,1.025,1.025,1.025,500,CCO
2023-01-03 10:28:00,1.03,1.035,1.0299,1.035,6185,CCO
2023-01-03 10:29:00,1.035,1.035,1.035,1.035,440,CCO
2023-01-03 10:31:00,1.035,1.035,1.03,1.03,895,CCO
2023-01-03 10:32:00,1.03,1.03,1.03,1.03,1429,CCO
2023-01-03 10:41:00,1.03,1.035,1.03,1.035,2666,CCO
2023-01-03 10:42:00,1.035,1.035,1.035,1.035,827,CCO
2023-01-03 10:43:00,1.035,1.035,1.035,1.035,100,CCO
2023-01-03 10:44:00,1.035,1.0395,1.035,1.035,900,CCO
2023-01-03 10:45:00,1.0361,1.0361,1.0361,1.0361,200,CCO
2023-01-03 10:46:00,1.035,1.035,1.035,1.035,200,CCO
2023-01-03 10:48:00,1.0376,1.0399,1.035,1.035,4105,CCO
2023-01-03 10:49:00,1.035,1.035,1.035,1.035,300,CCO
2023-01-03 10:50:00,1.035,1.035,1.0309,1.0309,1100,CCO
2023-01-03 10:51:00,1.0309,1.035,1.0301,1.035,2303,CCO
2023-01-03 10:52:00,1.0301,1.0301,1.0301,1.0301,5500,CCO
