,open,high,low,close,volume,Ticker
2023-01-03 04:26:00,1.68,1.68,1.68,1.68,100,CDXC
2023-01-03 06:01:00,1.67,1.68,1.67,1.68,951,CDXC
2023-01-03 08:08:00,1.7,1.7,1.7,1.7,800,CDXC
2023-01-03 09:31:00,1.69,1.69,1.69,1.69,1391,CDXC
2023-01-03 09:32:00,1.7,1.7,1.7,1.7,1454,CDXC
2023-01-03 09:33:00,1.69,1.69,1.68,1.68,262,CDXC
2023-01-03 09:36:00,1.7,1.71,1.7,1.71,1117,CDXC
2023-01-03 09:38:00,1.72,1.7201,1.7,1.71,7508,CDXC
2023-01-03 09:42:00,1.71,1.71,1.71,1.71,1000,CDXC
2023-01-03 09:44:00,1.707,1.707,1.707,1.707,100,CDXC
2023-01-03 09:49:00,1.7,1.715,1.7,1.715,2100,CDXC
2023-01-03 09:50:00,1.702,1.702,1.69,1.69,3442,CDXC
2023-01-03 10:00:00,1.68,1.68,1.68,1.68,520,CDXC
2023-01-03 10:02:00,1.69,1.69,1.69,1.69,106,CDXC
2023-01-03 10:12:00,1.6985,1.6985,1.68,1.68,1050,CDXC
2023-01-03 10:19:00,1.68,1.68,1.65,1.65,10690,CDXC
2023-01-03 10:20:00,1.6592,1.6592,1.65,1.65,600,CDXC
2023-01-03 10:22:00,1.66,1.66,1.66,1.66,120,CDXC
2023-01-03 10:26:00,1.6513,1.6513,1.6513,1.6513,234,CDXC
2023-01-03 10:38:00,1.6501,1.66,1.64,1.64,11200,CDXC
2023-01-03 10:39:00,1.64,1.64,1.64,1.64,250,CDXC
2023-01-03 10:42:00,1.64,1.65,1.64,1.64,900,CDXC
2023-01-03 10:46:00,1.6331,1.6331,1.6331,1.6331,931,CDXC
2023-01-03 11:02:00,1.64,1.64,1.64,1.64,120,CDXC
2023-01-03 11:05:00,1.6312,1.635,1.63,1.63,3496,CDXC
2023-01-03 11:10:00,1.63,1.63,1.63,1.63,100,CDXC
2023-01-03 11:12:00,1.63,1.63,1.63,1.63,100,CDXC
2023-01-03 11:13:00,1.63,1.63,1.63,1.63,299,CDXC
2023-01-03 11:18:00,1.635,1.635,1.635,1.635,300,CDXC
2023-01-03 11:34:00,1.64,1.64,1.6301,1.6301,450,CDXC
2023-01-03 11:45:00,1.63,1.63,1.63,1.63,202,CDXC
2023-01-03 11:51:00,1.64,1.64,1.64,1.64,1000,CDXC
2023-01-03 12:20:00,1.6396,1.6396,1.6396,1.6396,149,CDXC
2023-01-03 12:21:00,1.6397,1.6397,1.6397,1.6397,500,CDXC
2023-01-03 12:24:00,1.635,1.64,1.635,1.64,1828,CDXC
2023-01-03 12:26:00,1.64,1.64,1.64,1.64,700,CDXC
2023-01-03 12:30:00,1.6399,1.6399,1.6399,1.6399,100,CDXC
2023-01-03 12:32:00,1.64,1.64,1.64,1.64,400,CDXC
2023-01-03 12:38:00,1.64,1.64,1.64,1.64,100,CDXC
2023-01-03 13:01:00,1.65,1.65,1.65,1.65,100,CDXC
2023-01-03 13:02:00,1.64,1.64,1.64,1.64,211,CDXC
2023-01-03 13:04:00,1.64,1.64,1.64,1.64,200,CDXC
2023-01-03 13:06:00,1.65,1.65,1.65,1.65,1623,CDXC
2023-01-03 13:14:00,1.645,1.645,1.645,1.645,200,CDXC
2023-01-03 13:15:00,1.65,1.65,1.65,1.65,100,CDXC
2023-01-03 13:17:00,1.65,1.65,1.65,1.65,253,CDXC
2023-01-03 13:22:00,1.65,1.65,1.65,1.65,500,CDXC
2023-01-03 13:23:00,1.65,1.65,1.65,1.65,1054,CDXC
2023-01-03 13:34:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 13:35:00,1.6401,1.66,1.6401,1.66,1200,CDXC
2023-01-03 13:40:00,1.65,1.65,1.65,1.65,587,CDXC
2023-01-03 13:44:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 13:54:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 14:04:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 14:14:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 14:24:00,1.65,1.65,1.65,1.65,219,CDXC
2023-01-03 14:34:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 14:44:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 14:49:00,1.66,1.68,1.66,1.68,5006,CDXC
2023-01-03 15:04:00,1.665,1.665,1.65,1.665,700,CDXC
2023-01-03 15:09:00,1.668,1.67,1.668,1.67,3200,CDXC
2023-01-03 15:14:00,1.66,1.66,1.66,1.66,200,CDXC
2023-01-03 15:18:00,1.65,1.65,1.65,1.65,149,CDXC
2023-01-03 15:21:00,1.66,1.66,1.66,1.66,100,CDXC
2023-01-03 15:24:00,1.66,1.66,1.66,1.66,202,CDXC
2023-01-03 15:34:00,1.65,1.65,1.65,1.65,201,CDXC
2023-01-03 15:44:00,1.65,1.65,1.65,1.65,200,CDXC
2023-01-03 15:45:00,1.66,1.66,1.66,1.66,100,CDXC
2023-01-03 15:46:00,1.67,1.67,1.65,1.65,801,CDXC
2023-01-03 15:52:00,1.65,1.65,1.65,1.65,100,CDXC
2023-01-03 15:55:00,1.67,1.68,1.67,1.68,3305,CDXC
2023-01-03 15:59:00,1.67,1.67,1.67,1.67,500,CDXC
2023-01-03 16:00:00,1.67,1.68,1.66,1.67,2557,CDXC
2023-01-04 09:31:00,1.7,1.7054,1.68,1.7054,10162,CDXC
2023-01-04 09:35:00,1.72,1.72,1.72,1.72,100,CDXC
2023-01-04 09:40:00,1.65,1.65,1.65,1.65,870,CDXC
2023-01-04 09:41:00,1.66,1.69,1.66,1.69,1210,CDXC
2023-01-04 09:46:00,1.685,1.685,1.685,1.685,101,CDXC
2023-01-04 09:51:00,1.67,1.69,1.67,1.69,200,CDXC
2023-01-04 09:54:00,1.68,1.68,1.68,1.68,500,CDXC
2023-01-04 09:56:00,1.69,1.69,1.69,1.69,411,CDXC
2023-01-04 10:06:00,1.69,1.69,1.69,1.69,100,CDXC
2023-01-04 10:07:00,1.6826,1.6826,1.6826,1.6826,100,CDXC
2023-01-04 10:08:00,1.681,1.681,1.67,1.67,4273,CDXC
2023-01-04 10:15:00,1.68,1.68,1.68,1.68,100,CDXC
2023-01-04 10:20:00,1.665,1.68,1.65,1.68,3352,CDXC
2023-01-04 10:28:00,1.7,1.7,1.7,1.7,100,CDXC
2023-01-04 10:29:00,1.7,1.7,1.7,1.7,215,CDXC
2023-01-04 10:30:00,1.7,1.7,1.7,1.7,200,CDXC
2023-01-04 10:31:00,1.7027,1.7027,1.7027,1.7027,300,CDXC
2023-01-04 10:39:00,1.6912,1.7,1.6912,1.7,3377,CDXC
2023-01-04 10:40:00,1.7,1.7,1.7,1.7,200,CDXC
2023-01-04 10:41:00,1.699,1.7,1.699,1.7,2419,CDXC
2023-01-04 10:43:00,1.708,1.708,1.708,1.708,100,CDXC
2023-01-04 10:48:00,1.71,1.72,1.71,1.72,2256,CDXC
2023-01-04 10:49:00,1.71,1.71,1.67,1.67,50469,CDXC
2023-01-04 10:50:00,1.67,1.69,1.67,1.69,1335,CDXC
2023-01-04 10:51:00,1.69,1.7,1.69,1.7,879,CDXC
2023-01-04 10:53:00,1.71,1.71,1.71,1.71,211,CDXC
2023-01-04 11:01:00,1.71,1.71,1.71,1.71,100,CDXC
2023-01-04 11:07:00,1.71,1.71,1.71,1.71,200,CDXC
2023-01-04 11:20:00,1.71,1.71,1.71,1.71,203,CDXC
2023-01-04 11:34:00,1.72,1.72,1.72,1.72,400,CDXC
2023-01-04 11:40:00,1.71,1.71,1.7,1.7,3617,CDXC
2023-01-04 11:41:00,1.7,1.7085,1.7,1.7085,1419,CDXC
2023-01-04 11:54:00,1.705,1.715,1.705,1.71,17011,CDXC
2023-01-04 12:06:00,1.715,1.719,1.71,1.71,1300,CDXC
2023-01-04 12:08:00,1.715,1.715,1.715,1.715,200,CDXC
2023-01-04 12:11:00,1.7181,1.7181,1.71,1.71,5668,CDXC
2023-01-04 12:12:00,1.71,1.71,1.71,1.71,5100,CDXC
2023-01-04 12:13:00,1.72,1.72,1.72,1.72,569,CDXC
2023-01-04 12:14:00,1.72,1.72,1.72,1.72,2994,CDXC
2023-01-04 12:16:00,1.73,1.73,1.73,1.73,1844,CDXC
2023-01-04 12:23:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 12:29:00,1.74,1.74,1.74,1.74,500,CDXC
2023-01-04 12:31:00,1.735,1.735,1.735,1.735,100,CDXC
2023-01-04 12:32:00,1.735,1.735,1.735,1.735,600,CDXC
2023-01-04 12:35:00,1.73,1.73,1.73,1.73,200,CDXC
2023-01-04 12:41:00,1.73,1.73,1.73,1.73,100,CDXC
2023-01-04 12:42:00,1.7346,1.7346,1.7346,1.7346,2000,CDXC
2023-01-04 12:45:00,1.73,1.73,1.73,1.73,200,CDXC
2023-01-04 12:50:00,1.73,1.73,1.73,1.73,103,CDXC
2023-01-04 12:55:00,1.73,1.73,1.73,1.73,100,CDXC
2023-01-04 12:58:00,1.735,1.735,1.735,1.735,129,CDXC
2023-01-04 13:01:00,1.735,1.735,1.735,1.735,659,CDXC
2023-01-04 13:03:00,1.735,1.74,1.735,1.74,959,CDXC
2023-01-04 13:04:00,1.74,1.74,1.74,1.74,800,CDXC
2023-01-04 13:06:00,1.74,1.74,1.74,1.74,400,CDXC
2023-01-04 13:08:00,1.74,1.74,1.74,1.74,200,CDXC
2023-01-04 13:11:00,1.74,1.745,1.74,1.74,2916,CDXC
2023-01-04 13:15:00,1.7412,1.7412,1.7412,1.7412,298,CDXC
2023-01-04 13:16:00,1.745,1.745,1.745,1.745,619,CDXC
2023-01-04 13:17:00,1.745,1.745,1.745,1.745,401,CDXC
2023-01-04 13:19:00,1.745,1.745,1.745,1.745,100,CDXC
2023-01-04 13:23:00,1.745,1.745,1.745,1.745,137,CDXC
2023-01-04 13:26:00,1.745,1.745,1.745,1.745,110,CDXC
2023-01-04 13:32:00,1.745,1.745,1.745,1.745,195,CDXC
2023-01-04 13:35:00,1.745,1.745,1.745,1.745,300,CDXC
2023-01-04 13:37:00,1.749,1.749,1.745,1.745,742,CDXC
2023-01-04 13:38:00,1.7411,1.745,1.7411,1.745,2019,CDXC
2023-01-04 13:39:00,1.745,1.745,1.745,1.745,200,CDXC
2023-01-04 13:40:00,1.742,1.745,1.742,1.745,1961,CDXC
2023-01-04 13:44:00,1.745,1.745,1.745,1.745,100,CDXC
2023-01-04 13:51:00,1.75,1.75,1.75,1.75,100,CDXC
2023-01-04 13:53:00,1.75,1.75,1.75,1.75,100,CDXC
2023-01-04 13:54:00,1.745,1.745,1.745,1.745,100,CDXC
2023-01-04 14:00:00,1.745,1.75,1.745,1.75,1019,CDXC
2023-01-04 14:02:00,1.745,1.745,1.745,1.745,100,CDXC
2023-01-04 14:09:00,1.745,1.745,1.731,1.731,4348,CDXC
2023-01-04 14:10:00,1.735,1.735,1.735,1.735,638,CDXC
2023-01-04 14:13:00,1.735,1.735,1.735,1.735,400,CDXC
2023-01-04 14:14:00,1.735,1.735,1.735,1.735,205,CDXC
2023-01-04 14:18:00,1.739,1.745,1.739,1.745,843,CDXC
2023-01-04 14:19:00,1.745,1.745,1.745,1.745,119,CDXC
2023-01-04 14:23:00,1.74,1.74,1.74,1.74,1638,CDXC
2023-01-04 14:24:00,1.735,1.735,1.735,1.735,200,CDXC
2023-01-04 14:26:00,1.735,1.735,1.735,1.735,578,CDXC
2023-01-04 14:35:00,1.735,1.74,1.735,1.74,1000,CDXC
2023-01-04 14:37:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 14:38:00,1.74,1.74,1.74,1.74,500,CDXC
2023-01-04 14:45:00,1.75,1.75,1.75,1.75,100,CDXC
2023-01-04 14:46:00,1.74,1.74,1.735,1.74,4280,CDXC
2023-01-04 14:52:00,1.735,1.74,1.735,1.74,849,CDXC
2023-01-04 15:00:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:01:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:08:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:11:00,1.74,1.75,1.74,1.75,300,CDXC
2023-01-04 15:14:00,1.75,1.75,1.75,1.75,500,CDXC
2023-01-04 15:16:00,1.7455,1.7455,1.7455,1.7455,600,CDXC
2023-01-04 15:20:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:22:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:26:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:28:00,1.74,1.74,1.74,1.74,600,CDXC
2023-01-04 15:32:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:33:00,1.74,1.74,1.74,1.74,119,CDXC
2023-01-04 15:37:00,1.74,1.74,1.74,1.74,137,CDXC
2023-01-04 15:38:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:42:00,1.74,1.74,1.74,1.74,321,CDXC
2023-01-04 15:43:00,1.74,1.74,1.74,1.74,111,CDXC
2023-01-04 15:46:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:47:00,1.735,1.745,1.735,1.745,1194,CDXC
2023-01-04 15:48:00,1.73,1.74,1.73,1.74,2165,CDXC
2023-01-04 15:49:00,1.74,1.74,1.735,1.74,1342,CDXC
2023-01-04 15:50:00,1.75,1.75,1.75,1.75,103,CDXC
2023-01-04 15:51:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:52:00,1.75,1.75,1.74,1.74,200,CDXC
2023-01-04 15:53:00,1.74,1.74,1.74,1.74,200,CDXC
2023-01-04 15:55:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-04 15:56:00,1.73,1.75,1.73,1.75,427,CDXC
2023-01-04 15:57:00,1.73,1.74,1.73,1.74,449,CDXC
2023-01-04 15:58:00,1.74,1.74,1.735,1.735,477,CDXC
2023-01-04 15:59:00,1.74,1.74,1.735,1.74,700,CDXC
2023-01-04 16:00:00,1.735,1.745,1.73,1.74,3073,CDXC
2023-01-05 08:42:00,1.75,1.75,1.75,1.75,340,CDXC
2023-01-05 09:32:00,1.72,1.72,1.72,1.72,100,CDXC
2023-01-05 09:33:00,1.7104,1.7104,1.7104,1.7104,100,CDXC
2023-01-05 09:34:00,1.725,1.725,1.725,1.725,3850,CDXC
2023-01-05 09:35:00,1.72,1.72,1.72,1.72,150,CDXC
2023-01-05 09:38:00,1.7184,1.7184,1.7184,1.7184,200,CDXC
2023-01-05 09:39:00,1.72,1.72,1.72,1.72,547,CDXC
2023-01-05 09:41:00,1.72,1.72,1.72,1.72,255,CDXC
2023-01-05 09:42:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-05 09:44:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-05 09:49:00,1.73,1.73,1.73,1.73,100,CDXC
2023-01-05 09:51:00,1.73,1.73,1.73,1.73,110,CDXC
2023-01-05 09:55:00,1.73,1.73,1.73,1.73,500,CDXC
2023-01-05 09:56:00,1.74,1.74,1.74,1.74,100,CDXC
2023-01-05 09:58:00,1.7394,1.75,1.7394,1.75,3539,CDXC
2023-01-05 10:03:00,1.76,1.76,1.76,1.76,100,CDXC
2023-01-05 10:08:00,1.75,1.75,1.74,1.74,1700,CDXC
2023-01-05 10:12:00,1.76,1.76,1.76,1.76,100,CDXC
2023-01-05 10:18:00,1.7537,1.7537,1.7537,1.7537,1000,CDXC
2023-01-05 10:19:00,1.7537,1.7537,1.7537,1.7537,1000,CDXC
2023-01-05 10:20:00,1.75,1.75,1.75,1.75,1000,CDXC
2023-01-05 10:22:00,1.75,1.75,1.75,1.75,300,CDXC
2023-01-05 10:23:00,1.76,1.76,1.76,1.76,1153,CDXC
2023-01-05 10:26:00,1.76,1.76,1.76,1.76,3456,CDXC
2023-01-05 10:27:00,1.752,1.76,1.752,1.76,400,CDXC
2023-01-05 10:28:00,1.76,1.7602,1.76,1.7602,2522,CDXC
2023-01-05 10:30:00,1.78,1.78,1.78,1.78,100,CDXC
2023-01-05 10:31:00,1.78,1.78,1.7781,1.7781,410,CDXC
2023-01-05 10:32:00,1.78,1.78,1.78,1.78,213,CDXC
2023-01-05 10:33:00,1.7729,1.79,1.7729,1.79,835,CDXC
2023-01-05 10:34:00,1.79,1.8,1.79,1.8,4767,CDXC
2023-01-05 10:35:00,1.8,1.8,1.8,1.8,100,CDXC
2023-01-05 10:36:00,1.795,1.795,1.79,1.79,1678,CDXC
2023-01-05 10:38:00,1.7827,1.79,1.78,1.79,2703,CDXC
2023-01-05 10:43:00,1.8,1.8,1.8,1.8,700,CDXC
2023-01-05 10:44:00,1.8,1.8,1.8,1.8,100,CDXC
2023-01-05 10:45:00,1.8,1.8,1.7975,1.7975,200,CDXC
2023-01-05 10:47:00,1.8,1.8,1.8,1.8,200,CDXC
2023-01-05 10:50:00,1.8,1.8,1.79,1.79,600,CDXC
2023-01-05 10:54:00,1.8,1.8,1.79,1.79,214,CDXC
2023-01-05 10:55:00,1.79,1.79,1.78,1.78,1053,CDXC
2023-01-05 10:56:00,1.78,1.78,1.775,1.78,1710,CDXC
2023-01-05 11:00:00,1.77,1.77,1.77,1.77,138,CDXC
2023-01-05 11:02:00,1.775,1.775,1.775,1.775,150,CDXC
2023-01-05 11:07:00,1.78,1.78,1.78,1.78,442,CDXC
