date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-05-30 16:05:00,123.44,123.44,123.44,123.44,215.0,CHKP
2023-05-30 16:02:00,123.44,123.44,123.44,123.44,4963.0,CHKP
2023-05-30 16:00:00,123.44,123.44,123.44,123.44,3835.0,CHKP
2023-05-30 15:59:00,123.385,123.5,123.36,123.5,28969.0,CHKP
2023-05-30 15:58:00,123.43,123.44,123.37,123.4,10573.0,CHKP
2023-05-30 15:57:00,123.43,123.495,123.425,123.44,9186.0,CHKP
2023-05-30 15:56:00,123.35,123.43,123.35,123.43,16664.0,CHKP
2023-05-30 15:55:00,123.43,123.435,123.365,123.365,7438.0,CHKP
2023-05-30 15:54:00,123.45,123.49,123.45,123.46,8207.0,CHKP
2023-05-30 15:53:00,123.57,123.57,123.46,123.49,5567.0,CHKP
2023-05-30 15:52:00,123.64,123.64,123.55,123.57,6746.0,CHKP
2023-05-30 15:51:00,123.67,123.69,123.64,123.65,6250.0,CHKP
2023-05-30 15:50:00,123.71,123.71,123.67,123.69,7696.0,CHKP
2023-05-30 15:49:00,123.625,123.71,123.625,123.71,4397.0,CHKP
2023-05-30 15:48:00,123.66,123.67,123.617,123.617,3281.0,CHKP
2023-05-30 15:47:00,123.68,123.71,123.64,123.6925,4758.0,CHKP
2023-05-30 15:46:00,123.56,123.72,123.55,123.68,8468.0,CHKP
2023-05-30 15:45:00,123.57,123.64,123.57,123.59,9278.0,CHKP
2023-05-30 15:44:00,123.6,123.6,123.56,123.585,2266.0,CHKP
2023-05-30 15:43:00,123.64,123.64,123.59,123.61,2913.0,CHKP
2023-05-30 15:42:00,123.665,123.665,123.65,123.65,4480.0,CHKP
2023-05-30 15:41:00,123.6729,123.68,123.65,123.65,1949.0,CHKP
2023-05-30 15:40:00,123.7,123.7,123.68,123.68,1883.0,CHKP
2023-05-30 15:39:00,123.72,123.72,123.715,123.715,625.0,CHKP
2023-05-30 15:38:00,123.77,123.77,123.725,123.725,2151.0,CHKP
2023-05-30 15:37:00,123.71,123.77,123.69,123.77,5033.0,CHKP
2023-05-30 15:36:00,123.83,123.83,123.7,123.715,2790.0,CHKP
2023-05-30 15:35:00,123.87,123.92,123.85,123.85,4361.0,CHKP
2023-05-30 15:34:00,123.855,123.87,123.855,123.87,1435.0,CHKP
2023-05-30 15:33:00,123.73,123.8,123.725,123.8,7975.0,CHKP
2023-05-30 15:32:00,123.73,123.73,123.7121,123.7121,1512.0,CHKP
2023-05-30 15:31:00,123.72,123.72,123.72,123.72,749.0,CHKP
2023-05-30 15:30:00,123.775,123.775,123.72,123.74,5377.0,CHKP
2023-05-30 15:29:00,123.78,123.78,123.775,123.775,724.0,CHKP
2023-05-30 15:27:00,123.84,123.84,123.78,123.78,6988.0,CHKP
2023-05-30 15:26:00,123.75,123.86,123.74,123.855,7730.0,CHKP
2023-05-30 15:25:00,123.73,123.745,123.73,123.74,2842.0,CHKP
2023-05-30 15:24:00,123.72,123.73,123.71,123.73,1462.0,CHKP
2023-05-30 15:23:00,123.68,123.7,123.68,123.7,3220.0,CHKP
2023-05-30 15:21:00,123.74,123.74,123.69,123.69,2062.0,CHKP
2023-05-30 15:20:00,123.82,123.84,123.73,123.73,5157.0,CHKP
2023-05-30 15:19:00,123.69,123.8,123.69,123.8,3440.0,CHKP
2023-05-30 15:18:00,123.665,123.69,123.665,123.675,1808.0,CHKP
2023-05-30 15:17:00,123.66,123.68,123.65,123.66,2161.0,CHKP
2023-05-30 15:16:00,123.61,123.66,123.55,123.66,13342.0,CHKP
2023-05-30 15:15:00,123.65,123.65,123.63,123.63,3602.0,CHKP
2023-05-30 15:14:00,123.64,123.65,123.63,123.65,3406.0,CHKP
2023-05-30 15:13:00,123.635,123.635,123.635,123.635,700.0,CHKP
2023-05-30 15:12:00,123.69,123.69,123.62,123.62,2778.0,CHKP
2023-05-30 15:11:00,123.695,123.695,123.68,123.69,745.0,CHKP
2023-05-30 15:10:00,123.695,123.695,123.67,123.69,5635.0,CHKP
2023-05-30 15:09:00,123.7,123.7,123.675,123.675,758.0,CHKP
2023-05-30 15:08:00,123.68,123.69,123.68,123.69,1643.0,CHKP
2023-05-30 15:07:00,123.66,123.66,123.65,123.65,1101.0,CHKP
2023-05-30 15:06:00,123.55,123.68,123.55,123.68,3137.0,CHKP
2023-05-30 15:05:00,123.575,123.575,123.52,123.52,1499.0,CHKP
2023-05-30 15:04:00,123.58,123.58,123.58,123.58,910.0,CHKP
2023-05-30 15:03:00,123.49,123.55,123.49,123.55,2579.0,CHKP
2023-05-30 15:02:00,123.485,123.57,123.485,123.525,7432.0,CHKP
2023-05-30 15:01:00,123.485,123.485,123.485,123.485,334.0,CHKP
2023-05-30 15:00:00,123.51,123.525,123.485,123.485,2779.0,CHKP
2023-05-30 14:59:00,123.525,123.54,123.51,123.525,1564.0,CHKP
2023-05-30 14:58:00,123.585,123.585,123.52,123.52,1830.0,CHKP
