,open,high,low,close,volume,Ticker
2023-01-03 04:01:00,1.86,1.86,1.86,1.86,250,CMRX
2023-01-03 04:32:00,1.74,1.75,1.74,1.75,8562,CMRX
2023-01-03 05:26:00,1.82,1.82,1.82,1.82,600,CMRX
2023-01-03 08:01:00,1.84,1.84,1.7515,1.7615,657,CMRX
2023-01-03 08:02:00,1.83,1.84,1.83,1.83,3766,CMRX
2023-01-03 08:08:00,1.84,1.84,1.84,1.84,274,CMRX
2023-01-03 08:14:00,1.81,1.81,1.81,1.81,1212,CMRX
2023-01-03 08:23:00,1.82,1.83,1.82,1.83,6000,CMRX
2023-01-03 08:43:00,1.8285,1.8285,1.8285,1.8285,150,CMRX
2023-01-03 08:45:00,1.83,1.83,1.83,1.83,5007,CMRX
2023-01-03 09:17:00,1.82,1.82,1.82,1.82,100,CMRX
2023-01-03 09:25:00,1.82,1.82,1.82,1.82,100,CMRX
2023-01-03 09:31:00,1.82,1.83,1.81,1.83,9274,CMRX
2023-01-03 09:32:00,1.84,1.84,1.84,1.84,622,CMRX
2023-01-03 09:33:00,1.84,1.85,1.84,1.85,6556,CMRX
2023-01-03 09:34:00,1.86,1.87,1.86,1.87,5304,CMRX
2023-01-03 09:35:00,1.87,1.885,1.87,1.885,19699,CMRX
2023-01-03 09:36:00,1.8815,1.8815,1.88,1.8815,917,CMRX
2023-01-03 09:39:00,1.88,1.88,1.88,1.88,2528,CMRX
2023-01-03 09:40:00,1.88,1.89,1.88,1.89,2008,CMRX
2023-01-03 09:41:00,1.8895,1.9,1.8895,1.9,1612,CMRX
2023-01-03 09:42:00,1.9,1.9,1.9,1.9,107,CMRX
2023-01-03 09:43:00,1.9001,1.92,1.9001,1.92,10311,CMRX
2023-01-03 09:44:00,1.925,1.925,1.91,1.92,7648,CMRX
2023-01-03 09:45:00,1.92,1.92,1.915,1.915,1355,CMRX
2023-01-03 09:46:00,1.9141,1.92,1.912,1.92,1368,CMRX
2023-01-03 09:47:00,1.91,1.925,1.91,1.925,1511,CMRX
2023-01-03 09:48:00,1.93,1.93,1.92,1.92,2980,CMRX
2023-01-03 09:49:00,1.91,1.915,1.91,1.915,1636,CMRX
2023-01-03 09:50:00,1.91,1.92,1.91,1.92,13995,CMRX
2023-01-03 09:51:00,1.9191,1.92,1.9191,1.92,1226,CMRX
2023-01-03 09:52:00,1.915,1.92,1.905,1.91,49337,CMRX
2023-01-03 09:53:00,1.9,1.905,1.9,1.905,2909,CMRX
2023-01-03 09:55:00,1.905,1.905,1.9,1.905,2407,CMRX
2023-01-03 09:56:00,1.9015,1.905,1.89,1.9,2507,CMRX
2023-01-03 09:58:00,1.9,1.9,1.8971,1.9,818,CMRX
2023-01-03 09:59:00,1.9,1.91,1.9,1.9,29038,CMRX
2023-01-03 10:00:00,1.895,1.895,1.895,1.895,3089,CMRX
