date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-06-09 15:59:00,2.595,2.595,2.595,2.595,315.0,COCP
2023-06-09 15:54:00,2.6,2.6,2.6,2.6,138.0,COCP
2023-06-09 15:50:00,2.6,2.6,2.6,2.6,249.0,COCP
2023-06-09 15:48:00,2.61,2.61,2.61,2.61,100.0,COCP
2023-06-09 15:23:00,2.6,2.6,2.6,2.6,200.0,COCP
2023-06-09 14:38:00,2.6,2.6,2.6,2.6,384.0,COCP
2023-06-09 14:07:00,2.6,2.6,2.6,2.6,228.0,COCP
2023-06-09 12:36:00,2.65,2.65,2.61,2.61,706.0,COCP
2023-06-09 12:35:00,2.6268,2.63,2.6268,2.63,945.0,COCP
2023-06-09 11:42:00,2.64,2.64,2.64,2.64,100.0,COCP
2023-06-09 10:39:00,2.5999,2.61,2.5987,2.61,2046.0,COCP
2023-06-09 10:00:00,2.5822,2.5822,2.5822,2.5822,177.0,COCP
2023-06-09 09:52:00,2.5407,2.5407,2.5407,2.5407,350.0,COCP
2023-06-09 09:51:00,2.65,2.65,2.65,2.65,100.0,COCP
2023-06-09 09:44:00,2.59,2.59,2.59,2.59,270.0,COCP
2023-06-09 09:30:00,2.57,2.57,2.57,2.57,1001.0,COCP
2023-06-08 17:03:00,2.5,2.5,2.5,2.5,300.0,COCP
2023-06-08 15:59:00,2.64,2.64,2.64,2.64,640.0,COCP
2023-06-08 15:47:00,2.6101,2.6101,2.6101,2.6101,500.0,COCP
2023-06-08 15:26:00,2.657,2.657,2.657,2.657,500.0,COCP
2023-06-08 15:03:00,2.6599,2.6599,2.6599,2.6599,107.0,COCP
2023-06-08 14:33:00,2.635,2.635,2.635,2.635,362.0,COCP
2023-06-08 14:13:00,2.655,2.655,2.65,2.65,1723.0,COCP
2023-06-08 14:06:00,2.66,2.66,2.655,2.655,1163.0,COCP
2023-06-08 13:54:00,2.67,2.67,2.67,2.67,106.0,COCP
2023-06-08 13:47:00,2.7,2.7,2.7,2.7,1566.0,COCP
2023-06-08 13:43:00,2.7,2.7,2.7,2.7,120.0,COCP
2023-06-08 13:30:00,2.72,2.72,2.72,2.72,100.0,COCP
2023-06-08 13:29:00,2.72,2.72,2.72,2.72,100.0,COCP
2023-06-08 13:27:00,2.7001,2.72,2.7001,2.72,6603.0,COCP
2023-06-08 13:18:00,2.72,2.72,2.72,2.72,330.0,COCP
2023-06-08 13:17:00,2.73,2.73,2.72,2.72,2785.0,COCP
2023-06-08 13:16:00,2.73,2.74,2.73,2.74,4124.0,COCP
2023-06-08 13:03:00,2.74,2.74,2.74,2.74,677.0,COCP
2023-06-08 11:37:00,2.7055,2.7055,2.7055,2.7055,179.0,COCP
2023-06-08 11:22:00,2.72,2.72,2.72,2.72,100.0,COCP
2023-06-08 11:11:00,2.7461,2.7461,2.7461,2.7461,1021.0,COCP
2023-06-08 11:06:00,2.73,2.73,2.73,2.73,100.0,COCP
2023-06-08 10:57:00,2.73,2.73,2.73,2.73,100.0,COCP
2023-06-08 10:56:00,2.73,2.73,2.73,2.73,1000.0,COCP
2023-06-08 10:52:00,2.74,2.75,2.7301,2.7301,1200.0,COCP
2023-06-08 10:50:00,2.75,2.75,2.75,2.75,500.0,COCP
2023-06-08 10:41:00,2.7515,2.77,2.7351,2.7351,1597.0,COCP
