date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-05-08 15:03:00,5.4301,5.4301,5.4301,5.4301,110.0,CPAC
2023-05-08 15:00:00,5.4404,5.4404,5.4404,5.4404,100.0,CPAC
2023-05-08 13:14:00,5.45,5.45,5.45,5.45,100.0,CPAC
2023-05-08 12:52:00,5.4499,5.4499,5.4499,5.4499,171.0,CPAC
2023-05-08 12:44:00,5.4473,5.45,5.43,5.43,1583.0,CPAC
2023-05-08 12:36:00,5.44,5.45,5.44,5.45,700.0,CPAC
2023-05-05 15:54:00,5.35,5.35,5.35,5.35,204.0,CPAC
2023-05-05 14:04:00,5.33,5.33,5.33,5.33,300.0,CPAC
2023-05-05 13:52:00,5.35,5.35,5.35,5.35,190.0,CPAC
2023-05-05 13:20:00,5.3513,5.3513,5.3513,5.3513,100.0,CPAC
2023-05-05 11:21:00,5.4,5.4,5.4,5.4,130.0,CPAC
2023-05-05 10:49:00,5.4,5.4,5.4,5.4,200.0,CPAC
2023-05-05 09:31:00,5.35,5.35,5.35,5.35,100.0,CPAC
2023-05-04 16:00:00,5.34,5.34,5.34,5.34,399.0,CPAC
2023-05-04 14:10:00,5.36,5.36,5.36,5.36,100.0,CPAC
2023-05-04 13:16:00,5.25,5.33,5.25,5.33,436.0,CPAC
2023-05-04 13:14:00,5.1918,5.1918,5.1918,5.1918,100.0,CPAC
2023-05-04 13:13:00,5.25,5.25,5.25,5.25,100.0,CPAC
2023-05-04 11:50:00,5.25,5.25,5.24,5.25,600.0,CPAC
2023-05-04 09:40:00,5.1508,5.1508,5.1508,5.1508,200.0,CPAC
2023-05-04 09:31:00,5.23,5.23,5.23,5.23,101.0,CPAC
2023-05-03 12:48:00,5.1077,5.1077,5.1077,5.1077,246.0,CPAC
2023-05-03 12:47:00,5.1077,5.1077,5.1077,5.1077,246.0,CPAC
2023-05-03 11:55:00,5.09,5.09,5.09,5.09,100.0,CPAC
2023-05-03 11:54:00,5.2441,5.2441,5.2441,5.2441,100.0,CPAC
2023-05-03 10:25:00,5.091,5.091,5.091,5.091,110.0,CPAC
2023-05-03 09:50:00,5.15,5.16,5.15,5.16,316.0,CPAC
2023-05-03 09:31:00,5.06,5.06,5.06,5.06,525.0,CPAC
2023-05-02 10:47:00,5.2515,5.2515,5.2515,5.2515,107.0,CPAC
2023-05-02 09:31:00,5.2,5.2,5.2,5.2,550.0,CPAC
2023-05-01 13:22:00,5.3517,5.3517,5.3517,5.3517,189.0,CPAC
2023-05-01 11:27:00,5.3699,5.3699,5.3699,5.3699,100.0,CPAC
2023-05-01 11:19:00,5.3101,5.3101,5.3101,5.3101,120.0,CPAC
2023-05-01 09:31:00,5.26,5.26,5.26,5.26,361.0,CPAC
2023-05-01 07:04:00,5.29,5.29,5.29,5.29,150.0,CPAC
2023-04-28 14:01:00,5.4,5.4,5.4,5.4,113.0,CPAC
2023-04-28 13:46:00,5.35,5.35,5.35,5.35,100.0,CPAC
2023-04-28 13:04:00,5.4,5.4,5.4,5.4,797.0,CPAC
2023-04-28 11:50:00,5.4,5.4,5.4,5.4,100.0,CPAC
2023-04-28 10:43:00,5.36,5.36,5.36,5.36,100.0,CPAC
2023-04-28 09:31:00,5.4,5.4,5.4,5.4,101.0,CPAC
2023-04-27 14:25:00,5.35,5.38,5.35,5.38,1398.0,CPAC
2023-04-27 11:06:00,5.32,5.32,5.32,5.32,101.0,CPAC
2023-04-27 10:58:00,5.31,5.31,5.31,5.31,100.0,CPAC
2023-04-27 10:35:00,5.21,5.21,5.21,5.21,100.0,CPAC
2023-04-27 10:22:00,5.31,5.31,5.31,5.31,100.0,CPAC
2023-04-27 09:39:00,5.2,5.28,5.2,5.28,200.0,CPAC
2023-04-27 09:32:00,5.09,5.09,5.09,5.09,809.0,CPAC
2023-04-27 09:31:00,5.1,5.1,5.1,5.1,415.0,CPAC
2023-04-27 08:52:00,5.24,5.24,5.24,5.24,400.0,CPAC
2023-04-26 15:55:00,5.35,5.35,5.35,5.35,136.0,CPAC
2023-04-26 14:10:00,5.31,5.33,5.31,5.33,221.0,CPAC
2023-04-26 09:33:00,5.305,5.305,5.305,5.305,200.0,CPAC
2023-04-26 09:31:00,5.35,5.35,5.35,5.35,100.0,CPAC
2023-04-25 15:57:00,5.35,5.35,5.35,5.35,142.0,CPAC
2023-04-25 15:56:00,5.3799,5.3799,5.3799,5.3799,200.0,CPAC
2023-04-25 14:33:00,5.36,5.36,5.35,5.35,420.0,CPAC
2023-04-25 14:32:00,5.3709,5.3709,5.3709,5.3709,100.0,CPAC
2023-04-25 09:31:00,5.35,5.35,5.35,5.35,103.0,CPAC
