,open,high,low,close,volume,Ticker
2023-01-04 09:30:00,5.25,5.25,5.25,5.25,110,CSSE
2023-01-04 09:31:00,5.29,5.3,5.25,5.3,7689,CSSE
2023-01-04 09:34:00,5.21,5.21,5.21,5.21,120,CSSE
2023-01-04 09:38:00,5.3,5.3,5.3,5.3,117,CSSE
2023-01-04 09:41:00,5.3,5.3,5.3,5.3,7947,CSSE
2023-01-04 09:46:00,5.3,5.3,5.3,5.3,100,CSSE
2023-01-04 09:47:00,5.3,5.3,5.3,5.3,100,CSSE
2023-01-04 09:50:00,5.3,5.3,5.3,5.3,100,CSSE
2023-01-04 09:51:00,5.3,5.3,5.3,5.3,120,CSSE
2023-01-04 09:54:00,5.3,5.3,5.3,5.3,102,CSSE
2023-01-04 09:56:00,5.26,5.26,5.26,5.26,100,CSSE
2023-01-04 09:57:00,5.3525,5.3525,5.27,5.27,1100,CSSE
2023-01-04 09:58:00,5.4,5.4,5.4,5.4,100,CSSE
2023-01-04 10:02:00,5.35,5.35,5.35,5.35,100,CSSE
2023-01-04 10:03:00,5.35,5.35,5.31,5.31,802,CSSE
2023-01-04 10:05:00,5.35,5.35,5.35,5.35,100,CSSE
2023-01-04 10:17:00,5.31,5.31,5.31,5.31,230,CSSE
2023-01-04 10:18:00,5.3934,5.3934,5.3934,5.3934,185,CSSE
2023-01-04 10:19:00,5.34,5.34,5.34,5.34,763,CSSE
2023-01-04 10:20:00,5.35,5.35,5.35,5.35,100,CSSE
2023-01-04 10:23:00,5.34,5.34,5.34,5.34,129,CSSE
2023-01-04 10:26:00,5.3401,5.3401,5.34,5.34,644,CSSE
2023-01-04 10:31:00,5.3401,5.375,5.34,5.34,3720,CSSE
2023-01-04 10:32:00,5.35,5.35,5.35,5.35,201,CSSE
2023-01-04 10:34:00,5.35,5.35,5.35,5.35,150,CSSE
2023-01-04 10:35:00,5.39,5.39,5.35,5.35,200,CSSE
2023-01-04 10:37:00,5.4,5.4,5.35,5.35,300,CSSE
2023-01-04 10:42:00,5.4,5.4,5.35,5.35,300,CSSE
2023-01-04 10:43:00,5.4,5.4,5.4,5.4,100,CSSE
2023-01-04 10:47:00,5.4,5.4,5.4,5.4,761,CSSE
2023-01-04 10:48:00,5.4,5.4,5.4,5.4,310,CSSE
2023-01-04 10:49:00,5.4,5.4,5.4,5.4,100,CSSE
2023-01-04 10:51:00,5.41,5.41,5.41,5.41,441,CSSE
2023-01-04 10:53:00,5.41,5.41,5.41,5.41,100,CSSE
2023-01-04 10:55:00,5.41,5.41,5.41,5.41,300,CSSE
2023-01-04 10:56:00,5.41,5.41,5.41,5.41,1099,CSSE
2023-01-04 10:57:00,5.45,5.45,5.45,5.45,100,CSSE
2023-01-04 11:00:00,5.46,5.46,5.46,5.46,101,CSSE
2023-01-04 11:06:00,5.46,5.46,5.4357,5.46,550,CSSE
2023-01-04 11:07:00,5.44,5.44,5.41,5.41,200,CSSE
2023-01-04 11:08:00,5.45,5.45,5.45,5.45,112,CSSE
2023-01-04 11:18:00,5.46,5.46,5.41,5.41,344,CSSE
2023-01-04 11:23:00,5.49,5.49,5.49,5.49,210,CSSE
2023-01-04 11:30:00,5.44,5.44,5.44,5.44,244,CSSE
2023-01-04 11:33:00,5.49,5.49,5.49,5.49,162,CSSE
2023-01-04 11:36:00,5.49,5.52,5.47,5.47,658,CSSE
2023-01-04 11:49:00,5.5224,5.5224,5.5224,5.5224,132,CSSE
2023-01-04 12:00:00,5.55,5.56,5.51,5.51,1383,CSSE
2023-01-04 12:01:00,5.55,5.55,5.55,5.55,110,CSSE
2023-01-04 12:04:00,5.54,5.575,5.54,5.575,447,CSSE
2023-01-04 12:08:00,5.55,5.57,5.51,5.57,1016,CSSE
2023-01-04 12:10:00,5.57,5.57,5.57,5.57,100,CSSE
2023-01-04 12:14:00,5.545,5.545,5.545,5.545,100,CSSE
2023-01-04 12:15:00,5.55,5.55,5.55,5.55,410,CSSE
2023-01-04 12:17:00,5.55,5.55,5.55,5.55,510,CSSE
2023-01-04 12:20:00,5.55,5.55,5.55,5.55,100,CSSE
2023-01-04 12:21:00,5.5243,5.5243,5.5243,5.5243,1033,CSSE
2023-01-04 12:22:00,5.55,5.55,5.55,5.55,112,CSSE
2023-01-04 12:23:00,5.52,5.52,5.52,5.52,100,CSSE
2023-01-04 12:31:00,5.53,5.53,5.53,5.53,331,CSSE
2023-01-04 12:32:00,5.53,5.53,5.53,5.53,200,CSSE
2023-01-04 12:34:00,5.55,5.55,5.53,5.55,1631,CSSE
2023-01-04 12:47:00,5.55,5.55,5.55,5.55,322,CSSE
2023-01-04 12:48:00,5.55,5.55,5.54,5.55,1366,CSSE
2023-01-04 12:58:00,5.55,5.55,5.55,5.55,300,CSSE
2023-01-04 12:59:00,5.5501,5.5501,5.55,5.55,500,CSSE
2023-01-04 13:00:00,5.574,5.574,5.55,5.55,633,CSSE
2023-01-04 13:01:00,5.565,5.565,5.565,5.565,101,CSSE
2023-01-04 13:08:00,5.58,5.58,5.58,5.58,101,CSSE
2023-01-04 13:19:00,5.56,5.56,5.56,5.56,349,CSSE
2023-01-04 13:39:00,5.59,5.59,5.59,5.59,107,CSSE
2023-01-04 13:40:00,5.6061,5.6061,5.6061,5.6061,250,CSSE
2023-01-04 13:53:00,5.5643,5.5643,5.54,5.56,1742,CSSE
2023-01-04 13:59:00,5.54,5.575,5.54,5.575,291,CSSE
2023-01-04 14:02:00,5.54,5.54,5.54,5.54,109,CSSE
2023-01-04 14:03:00,5.52,5.52,5.52,5.52,606,CSSE
2023-01-04 14:11:00,5.48,5.48,5.48,5.48,205,CSSE
2023-01-04 14:13:00,5.5241,5.5241,5.5241,5.5241,200,CSSE
2023-01-04 14:33:00,5.49,5.49,5.47,5.47,200,CSSE
2023-01-04 14:37:00,5.45,5.45,5.44,5.44,360,CSSE
2023-01-04 14:45:00,5.47,5.47,5.47,5.47,115,CSSE
2023-01-04 15:08:00,5.465,5.465,5.465,5.465,115,CSSE
2023-01-04 15:13:00,5.44,5.44,5.44,5.44,1259,CSSE
2023-01-04 15:14:00,5.44,5.44,5.41,5.41,810,CSSE
2023-01-04 15:18:00,5.4,5.4,5.4,5.4,100,CSSE
2023-01-04 15:25:00,5.4,5.41,5.4,5.41,205,CSSE
2023-01-04 15:26:00,5.3745,5.38,5.35,5.35,959,CSSE
2023-01-04 15:35:00,5.38,5.38,5.38,5.38,148,CSSE
2023-01-04 15:37:00,5.35,5.35,5.35,5.35,233,CSSE
