,open,high,low,close,volume,Ticker
2023-01-04 09:31:00,6.18,6.18,6.18,6.18,302,DLTH
2023-01-04 09:36:00,6.195,6.195,6.195,6.195,184,DLTH
2023-01-04 09:40:00,6.215,6.215,6.215,6.215,110,DLTH
2023-01-04 09:42:00,6.22,6.22,6.205,6.205,418,DLTH
2023-01-04 09:43:00,6.21,6.21,6.21,6.21,102,DLTH
2023-01-04 09:45:00,6.19,6.19,6.18,6.18,1442,DLTH
2023-01-04 09:49:00,6.1794,6.1794,6.1794,6.1794,218,DLTH
2023-01-04 09:54:00,6.2,6.2,6.2,6.2,520,DLTH
2023-01-04 09:55:00,6.21,6.21,6.21,6.21,201,DLTH
2023-01-04 09:56:00,6.22,6.22,6.2,6.2,1987,DLTH
2023-01-04 09:59:00,6.23,6.23,6.215,6.215,201,DLTH
2023-01-04 10:00:00,6.22,6.22,6.22,6.22,101,DLTH
2023-01-04 10:01:00,6.2,6.2,6.155,6.155,1351,DLTH
2023-01-04 10:03:00,6.17,6.17,6.17,6.17,328,DLTH
2023-01-04 10:04:00,6.21,6.21,6.21,6.21,269,DLTH
2023-01-04 10:05:00,6.21,6.21,6.21,6.21,320,DLTH
2023-01-04 10:13:00,6.195,6.195,6.18,6.18,1020,DLTH
2023-01-04 10:14:00,6.185,6.185,6.185,6.185,209,DLTH
2023-01-04 10:16:00,6.195,6.195,6.195,6.195,220,DLTH
2023-01-04 10:20:00,6.2,6.2,6.2,6.2,319,DLTH
2023-01-04 10:21:00,6.205,6.205,6.205,6.205,102,DLTH
2023-01-04 10:24:00,6.21,6.21,6.21,6.21,120,DLTH
2023-01-04 10:25:00,6.21,6.21,6.21,6.21,523,DLTH
2023-01-04 10:26:00,6.225,6.225,6.225,6.225,100,DLTH
2023-01-04 10:29:00,6.23,6.23,6.22,6.22,221,DLTH
2023-01-04 10:30:00,6.21,6.23,6.21,6.23,1703,DLTH
2023-01-04 10:32:00,6.18,6.19,6.18,6.19,327,DLTH
2023-01-04 10:33:00,6.195,6.195,6.19,6.19,560,DLTH
2023-01-04 10:38:00,6.2,6.2,6.2,6.2,521,DLTH
2023-01-04 10:40:00,6.19,6.19,6.19,6.19,2465,DLTH
2023-01-04 10:44:00,6.175,6.175,6.175,6.175,105,DLTH
2023-01-04 10:45:00,6.175,6.175,6.175,6.175,110,DLTH
2023-01-04 10:46:00,6.19,6.19,6.19,6.19,722,DLTH
2023-01-04 10:49:00,6.195,6.195,6.195,6.195,431,DLTH
2023-01-04 10:50:00,6.18,6.19,6.18,6.19,300,DLTH
2023-01-04 10:51:00,6.19,6.19,6.19,6.19,300,DLTH
2023-01-04 10:54:00,6.2,6.21,6.2,6.21,1182,DLTH
2023-01-04 10:57:00,6.2,6.2,6.2,6.2,707,DLTH
2023-01-04 11:00:00,6.21,6.21,6.21,6.21,100,DLTH
2023-01-04 11:01:00,6.2,6.2,6.19,6.19,804,DLTH
2023-01-04 11:06:00,6.205,6.205,6.205,6.205,500,DLTH
2023-01-04 11:07:00,6.2,6.2,6.18,6.19,1452,DLTH
2023-01-04 11:08:00,6.19,6.19,6.19,6.19,200,DLTH
2023-01-04 11:09:00,6.2,6.2,6.2,6.2,453,DLTH
2023-01-04 11:10:00,6.2,6.2,6.2,6.2,201,DLTH
2023-01-04 11:11:00,6.2,6.2,6.2,6.2,200,DLTH
2023-01-04 11:15:00,6.2,6.2,6.2,6.2,500,DLTH
2023-01-04 11:30:00,6.2,6.21,6.175,6.175,3576,DLTH
2023-01-04 11:31:00,6.18,6.19,6.18,6.19,1275,DLTH
2023-01-04 11:34:00,6.19,6.19,6.19,6.19,266,DLTH
2023-01-04 11:35:00,6.19,6.19,6.19,6.19,127,DLTH
2023-01-04 11:36:00,6.19,6.2,6.19,6.2,822,DLTH
2023-01-04 11:37:00,6.205,6.21,6.205,6.21,973,DLTH
2023-01-04 11:41:00,6.2217,6.2217,6.2217,6.2217,301,DLTH
2023-01-04 11:42:00,6.2182,6.26,6.2182,6.25,5674,DLTH
2023-01-04 11:43:00,6.255,6.26,6.255,6.26,442,DLTH
