,open,high,low,close,volume,Ticker
2023-01-04 07:03:00,1.4,1.4,1.4,1.4,137,DM
2023-01-04 07:06:00,1.39,1.39,1.39,1.39,300,DM
2023-01-04 08:01:00,1.4,1.4,1.35,1.35,9205,DM
2023-01-04 08:20:00,1.39,1.39,1.39,1.39,875,DM
2023-01-04 09:31:00,1.39,1.4,1.39,1.4,41736,DM
2023-01-04 09:32:00,1.4007,1.4007,1.4007,1.4007,5000,DM
2023-01-04 09:33:00,1.4001,1.4001,1.39,1.39,6321,DM
2023-01-04 09:34:00,1.3799,1.3799,1.37,1.375,14206,DM
2023-01-04 09:35:00,1.38,1.385,1.375,1.385,3379,DM
2023-01-04 09:36:00,1.385,1.385,1.385,1.385,396,DM
2023-01-04 09:37:00,1.385,1.39,1.385,1.388,2102,DM
2023-01-04 09:38:00,1.385,1.39,1.3844,1.3844,419,DM
2023-01-04 09:39:00,1.39,1.405,1.385,1.405,11582,DM
2023-01-04 09:40:00,1.405,1.415,1.405,1.41,23961,DM
2023-01-04 09:41:00,1.42,1.42,1.4101,1.42,8411,DM
2023-01-04 09:42:00,1.42,1.4208,1.415,1.4201,14419,DM
2023-01-04 09:43:00,1.4258,1.4258,1.4201,1.425,10119,DM
2023-01-04 09:44:00,1.422,1.43,1.422,1.425,21603,DM
2023-01-04 09:45:00,1.42,1.4201,1.41,1.41,7935,DM
2023-01-04 09:46:00,1.4188,1.4188,1.41,1.4163,520,DM
2023-01-04 09:47:00,1.415,1.4188,1.41,1.41,821,DM
2023-01-04 09:48:00,1.411,1.4116,1.411,1.4116,2381,DM
2023-01-04 09:49:00,1.415,1.415,1.4,1.4,5811,DM
2023-01-04 09:50:00,1.405,1.41,1.405,1.41,402,DM
2023-01-04 09:51:00,1.41,1.42,1.41,1.42,21651,DM
2023-01-04 09:52:00,1.4227,1.425,1.42,1.425,1309,DM
2023-01-04 09:53:00,1.42,1.43,1.42,1.43,2478,DM
2023-01-04 09:54:00,1.43,1.43,1.4214,1.425,1933,DM
2023-01-04 09:55:00,1.4279,1.43,1.4215,1.425,2793,DM
2023-01-04 09:56:00,1.42,1.425,1.415,1.42,69714,DM
2023-01-04 09:57:00,1.41,1.415,1.41,1.415,1370,DM
