,open,high,low,close,volume,Ticker
2023-01-05 09:31:00,4.55,4.55,4.55,4.55,4898,FARM
2023-01-05 09:38:00,4.53,4.53,4.53,4.53,252,FARM
2023-01-05 09:40:00,4.5,4.5,4.5,4.5,220,FARM
2023-01-05 09:51:00,4.55,4.55,4.55,4.55,100,FARM
2023-01-05 09:55:00,4.55,4.55,4.55,4.55,143,FARM
2023-01-05 09:56:00,4.53,4.53,4.53,4.53,100,FARM
2023-01-05 10:04:00,4.5341,4.542,4.5341,4.542,500,FARM
2023-01-05 10:05:00,4.55,4.55,4.55,4.55,1501,FARM
2023-01-05 10:06:00,4.55,4.55,4.55,4.55,200,FARM
2023-01-05 10:10:00,4.62,4.62,4.62,4.62,100,FARM
2023-01-05 10:11:00,4.62,4.62,4.62,4.62,200,FARM
2023-01-05 10:16:00,4.63,4.63,4.63,4.63,300,FARM
2023-01-05 10:25:00,4.62,4.62,4.62,4.62,262,FARM
2023-01-05 10:34:00,4.6,4.6,4.6,4.6,267,FARM
2023-01-05 11:41:00,4.5301,4.5301,4.5301,4.5301,923,FARM
2023-01-05 12:09:00,4.57,4.57,4.57,4.57,100,FARM
2023-01-05 12:32:00,4.57,4.57,4.57,4.57,400,FARM
2023-01-05 12:48:00,4.57,4.57,4.57,4.57,743,FARM
2023-01-05 12:52:00,4.52,4.52,4.52,4.52,116,FARM
2023-01-05 13:00:00,4.54,4.54,4.54,4.54,100,FARM
2023-01-05 13:15:00,4.545,4.545,4.545,4.545,125,FARM
2023-01-05 13:23:00,4.56,4.56,4.56,4.56,213,FARM
2023-01-05 13:30:00,4.6116,4.6116,4.6116,4.6116,200,FARM
2023-01-05 13:41:00,4.62,4.62,4.62,4.62,540,FARM
2023-01-05 13:42:00,4.65,4.65,4.64,4.64,3706,FARM
2023-01-05 13:47:00,4.65,4.65,4.65,4.65,300,FARM
2023-01-05 14:05:00,4.65,4.66,4.63,4.65,5000,FARM
2023-01-05 14:10:00,4.65,4.65,4.65,4.65,400,FARM
2023-01-05 14:14:00,4.65,4.65,4.65,4.65,100,FARM
2023-01-05 14:46:00,4.61,4.61,4.61,4.61,509,FARM
2023-01-05 14:49:00,4.52,4.52,4.52,4.52,200,FARM
2023-01-05 14:53:00,4.525,4.525,4.525,4.525,100,FARM
2023-01-05 15:10:00,4.495,4.54,4.49,4.54,700,FARM
2023-01-05 15:11:00,4.54,4.54,4.54,4.54,369,FARM
2023-01-05 15:13:00,4.515,4.515,4.515,4.515,100,FARM
2023-01-05 15:14:00,4.49,4.49,4.49,4.49,100,FARM
2023-01-05 15:20:00,4.54,4.54,4.5,4.5,585,FARM
2023-01-05 15:22:00,4.538,4.538,4.53,4.53,935,FARM
2023-01-05 15:24:00,4.5,4.5,4.5,4.5,218,FARM
2023-01-05 15:25:00,4.52,4.52,4.52,4.52,105,FARM
2023-01-05 15:26:00,4.54,4.54,4.54,4.54,100,FARM
2023-01-05 15:27:00,4.525,4.525,4.525,4.525,100,FARM
2023-01-05 15:29:00,4.54,4.54,4.54,4.54,100,FARM
2023-01-05 15:30:00,4.54,4.54,4.54,4.54,218,FARM
2023-01-05 15:33:00,4.525,4.525,4.511,4.511,300,FARM
2023-01-05 15:34:00,4.51,4.51,4.51,4.51,200,FARM
2023-01-05 15:35:00,4.525,4.525,4.525,4.525,100,FARM
2023-01-05 15:37:00,4.51,4.51,4.51,4.51,247,FARM
2023-01-05 15:39:00,4.5,4.5,4.5,4.5,593,FARM
2023-01-05 15:40:00,4.5,4.5,4.5,4.5,535,FARM
2023-01-05 15:41:00,4.505,4.505,4.505,4.505,100,FARM
2023-01-05 15:42:00,4.5,4.5,4.5,4.5,110,FARM
2023-01-05 15:43:00,4.505,4.51,4.505,4.51,930,FARM
2023-01-05 15:45:00,4.535,4.535,4.535,4.535,111,FARM
2023-01-05 15:51:00,4.56,4.56,4.55,4.55,273,FARM
2023-01-05 15:53:00,4.55,4.55,4.51,4.51,235,FARM
2023-01-05 15:54:00,4.55,4.55,4.55,4.55,100,FARM
2023-01-05 15:56:00,4.55,4.55,4.55,4.55,373,FARM
2023-01-05 15:57:00,4.55,4.55,4.535,4.535,449,FARM
2023-01-05 15:58:00,4.55,4.55,4.5,4.55,763,FARM
2023-01-05 15:59:00,4.55,4.55,4.53,4.53,426,FARM
2023-01-05 16:00:00,4.55,4.56,4.55,4.56,1073,FARM
2023-01-06 09:37:00,4.6,4.7,4.6,4.69,1312,FARM
2023-01-06 10:21:00,4.7,4.7,4.7,4.7,700,FARM
2023-01-06 10:22:00,4.6,4.64,4.57,4.59,930,FARM
2023-01-06 10:23:00,4.7,4.7,4.7,4.7,100,FARM
2023-01-06 10:37:00,4.7,4.7,4.69,4.7,1500,FARM
2023-01-06 10:42:00,4.7,4.7,4.69,4.69,800,FARM
2023-01-06 10:48:00,4.7,4.7,4.69,4.69,800,FARM
2023-01-06 10:51:00,4.7,4.7,4.7,4.7,2135,FARM
2023-01-06 11:16:00,4.7042,4.7042,4.7042,4.7042,362,FARM
2023-01-06 11:20:00,4.6601,4.7099,4.6601,4.7099,646,FARM
2023-01-06 11:21:00,4.7099,4.7099,4.7099,4.7099,250,FARM
2023-01-06 11:38:00,4.67,4.67,4.67,4.67,600,FARM
2023-01-06 11:55:00,4.71,4.71,4.71,4.71,200,FARM
2023-01-06 12:00:00,4.71,4.71,4.7,4.71,400,FARM
2023-01-06 12:08:00,4.72,4.72,4.72,4.72,100,FARM
2023-01-06 12:14:00,4.73,4.73,4.73,4.73,202,FARM
2023-01-06 12:15:00,4.72,4.72,4.695,4.695,3908,FARM
2023-01-06 12:28:00,4.66,4.66,4.66,4.66,100,FARM
2023-01-06 13:05:00,4.6701,4.6701,4.6701,4.6701,140,FARM
2023-01-06 13:21:00,4.675,4.675,4.675,4.675,275,FARM
2023-01-06 13:54:00,4.68,4.68,4.68,4.68,4600,FARM
2023-01-06 14:08:00,4.72,4.72,4.72,4.72,700,FARM
2023-01-06 14:09:00,4.7,4.7,4.7,4.7,200,FARM
2023-01-06 14:13:00,4.77,4.77,4.77,4.77,100,FARM
2023-01-06 14:28:00,4.77,4.77,4.77,4.77,100,FARM
2023-01-06 14:51:00,4.7288,4.7288,4.7288,4.7288,671,FARM
2023-01-06 14:53:00,4.77,4.77,4.77,4.77,100,FARM
2023-01-06 14:55:00,4.72,4.72,4.72,4.72,187,FARM
2023-01-06 14:56:00,4.7699,4.7699,4.7699,4.7699,260,FARM
2023-01-06 15:03:00,4.7362,4.7362,4.7362,4.7362,300,FARM
2023-01-06 15:05:00,4.73,4.73,4.73,4.73,214,FARM
2023-01-06 15:20:00,4.73,4.73,4.73,4.73,330,FARM
2023-01-06 15:21:00,4.73,4.73,4.73,4.73,205,FARM
2023-01-06 15:27:00,4.735,4.735,4.735,4.735,104,FARM
2023-01-06 15:36:00,4.74,4.74,4.74,4.74,100,FARM
2023-01-06 15:37:00,4.73,4.73,4.73,4.73,150,FARM
2023-01-06 15:38:00,4.74,4.74,4.74,4.74,210,FARM
2023-01-06 15:39:00,4.74,4.74,4.74,4.74,200,FARM
2023-01-06 15:40:00,4.75,4.75,4.75,4.75,200,FARM
2023-01-06 15:41:00,4.75,4.75,4.75,4.75,200,FARM
2023-01-06 15:43:00,4.75,4.75,4.75,4.75,360,FARM
2023-01-06 15:44:00,4.75,4.75,4.75,4.75,200,FARM
2023-01-06 15:47:00,4.75,4.76,4.75,4.76,638,FARM
2023-01-06 15:48:00,4.76,4.76,4.76,4.76,200,FARM
2023-01-06 15:49:00,4.76,4.76,4.76,4.76,217,FARM
2023-01-06 15:50:00,4.76,4.76,4.76,4.76,200,FARM
2023-01-06 15:51:00,4.78,4.78,4.75,4.75,418,FARM
2023-01-06 15:52:00,4.78,4.78,4.78,4.78,300,FARM
2023-01-06 15:53:00,4.78,4.78,4.78,4.78,350,FARM
2023-01-06 15:54:00,4.78,4.78,4.78,4.78,564,FARM
2023-01-06 15:55:00,4.78,4.78,4.78,4.78,900,FARM
2023-01-06 15:56:00,4.78,4.78,4.78,4.78,1201,FARM
2023-01-06 15:57:00,4.78,4.78,4.78,4.78,1944,FARM
2023-01-06 16:00:00,4.78,4.78,4.78,4.78,316,FARM
2023-01-09 09:31:00,4.8,5.01,4.8,5.0,4282,FARM
2023-01-09 09:34:00,5.06,5.06,5.06,5.06,254,FARM
2023-01-09 09:39:00,5.19,5.2,5.19,5.195,1490,FARM
2023-01-09 09:44:00,5.15,5.15,5.15,5.15,100,FARM
2023-01-09 09:49:00,5.15,5.15,5.15,5.15,100,FARM
2023-01-09 09:54:00,5.2,5.2,5.2,5.2,500,FARM
2023-01-09 09:56:00,5.115,5.2,5.115,5.2,770,FARM
2023-01-09 09:57:00,5.19,5.19,5.19,5.19,100,FARM
2023-01-09 10:10:00,5.13,5.13,5.13,5.13,250,FARM
2023-01-09 10:13:00,5.2,5.2,5.2,5.2,437,FARM
2023-01-09 10:22:00,5.2,5.2,5.2,5.2,100,FARM
2023-01-09 10:26:00,5.2,5.2,5.2,5.2,105,FARM
2023-01-09 10:37:00,5.2,5.2,5.2,5.2,500,FARM
2023-01-09 10:39:00,5.2,5.2,5.2,5.2,309,FARM
2023-01-09 10:44:00,5.2,5.2,5.2,5.2,100,FARM
2023-01-09 10:45:00,5.2,5.2,5.2,5.2,1427,FARM
2023-01-09 11:15:00,5.15,5.15,5.14,5.14,774,FARM
2023-01-09 11:17:00,5.14,5.14,5.11,5.11,1199,FARM
2023-01-09 11:31:00,5.12,5.12,5.02,5.02,3196,FARM
2023-01-09 11:35:00,5.02,5.02,5.02,5.02,150,FARM
2023-01-09 11:43:00,5.0691,5.0691,5.0691,5.0691,188,FARM
2023-01-09 11:46:00,5.03,5.03,5.03,5.03,124,FARM
2023-01-09 11:50:00,5.03,5.03,5.03,5.03,843,FARM
2023-01-09 11:51:00,5.0001,5.0001,5.0001,5.0001,122,FARM
2023-01-09 12:28:00,5.145,5.145,5.145,5.145,100,FARM
2023-01-09 12:36:00,5.1,5.1,5.1,5.1,4431,FARM
2023-01-09 12:42:00,5.125,5.125,5.125,5.125,106,FARM
2023-01-09 12:51:00,5.1,5.1,5.1,5.1,402,FARM
2023-01-09 12:55:00,5.1,5.1,5.1,5.1,170,FARM
2023-01-09 13:07:00,5.1,5.1,5.1,5.1,100,FARM
2023-01-09 13:10:00,5.085,5.085,5.085,5.085,126,FARM
2023-01-09 13:20:00,5.1,5.1,5.1,5.1,100,FARM
2023-01-09 13:21:00,5.1,5.1,5.1,5.1,189,FARM
2023-01-09 13:34:00,5.145,5.145,5.145,5.145,106,FARM
2023-01-09 13:46:00,5.09,5.09,5.09,5.09,120,FARM
2023-01-09 13:48:00,5.09,5.09,5.055,5.055,203,FARM
2023-01-09 14:30:00,5.02,5.02,5.02,5.02,106,FARM
2023-01-09 15:00:00,5.075,5.075,5.075,5.075,433,FARM
2023-01-09 15:06:00,5.0501,5.0501,5.0501,5.0501,188,FARM
