,open,high,low,close,volume,Ticker
2023-01-05 06:03:00,16.45,16.46,16.45,16.46,477,FGEN
2023-01-05 07:59:00,16.75,16.76,16.74,16.76,599,FGEN
2023-01-05 08:01:00,16.51,16.51,16.51,16.51,132,FGEN
2023-01-05 08:02:00,16.55,16.55,16.54,16.54,1200,FGEN
2023-01-05 08:45:00,16.59,16.59,16.59,16.59,154,FGEN
2023-01-05 09:30:00,16.473,16.7,16.44,16.64,2199,FGEN
2023-01-05 09:31:00,16.7,16.98,16.63,16.98,67814,FGEN
2023-01-05 09:32:00,16.925,17.24,16.925,17.195,9802,FGEN
2023-01-05 09:33:00,17.28,17.75,17.195,17.56,40750,FGEN
2023-01-05 09:34:00,17.605,17.625,17.5,17.55,9937,FGEN
2023-01-05 09:35:00,17.55,17.9,17.55,17.9,4110,FGEN
2023-01-05 09:36:00,17.88,18.07,17.81,17.8101,29460,FGEN
2023-01-05 09:37:00,17.86,18.1,17.835,17.99,7815,FGEN
2023-01-05 09:38:00,18.0317,18.27,18.0317,18.27,8534,FGEN
2023-01-05 09:39:00,18.21,18.2112,18.13,18.16,8425,FGEN
2023-01-05 09:40:00,18.15,18.2,17.9776,17.9776,3693,FGEN
2023-01-05 09:41:00,18.02,18.025,17.7,17.95,15010,FGEN
2023-01-05 09:42:00,17.965,18.0385,17.9,17.96,5411,FGEN
2023-01-05 09:43:00,18.01,18.01,17.965,17.98,1563,FGEN
2023-01-05 09:44:00,17.985,18.1485,17.985,18.12,5046,FGEN
2023-01-05 09:45:00,18.1,18.1,18.1,18.1,887,FGEN
2023-01-05 09:46:00,18.1,18.15,18.04,18.11,7903,FGEN
2023-01-05 09:47:00,18.08,18.1,18.08,18.1,626,FGEN
2023-01-05 09:48:00,18.13,18.28,18.1,18.18,16258,FGEN
2023-01-05 09:49:00,18.185,18.2,18.09,18.1,6976,FGEN
2023-01-05 09:50:00,18.13,18.34,18.13,18.335,10586,FGEN
2023-01-05 09:51:00,18.3,18.35,18.26,18.26,6277,FGEN
2023-01-05 09:52:00,18.255,18.29,18.1,18.1,8204,FGEN
2023-01-05 09:53:00,18.105,18.14,18.06,18.06,4110,FGEN
2023-01-05 09:54:00,18.035,18.105,17.9615,18.035,11438,FGEN
2023-01-05 09:55:00,18.035,18.035,17.98,18.03,2883,FGEN
2023-01-05 09:56:00,18.035,18.1,18.02,18.08,3649,FGEN
2023-01-05 09:57:00,18.1,18.1085,18.08,18.08,1983,FGEN
2023-01-05 09:58:00,18.1,18.11,18.075,18.11,9328,FGEN
2023-01-05 09:59:00,18.105,18.105,17.86,17.86,8568,FGEN
2023-01-05 10:00:00,17.9,17.9381,17.9,17.91,1691,FGEN
2023-01-05 10:01:00,17.93,18.14,17.93,18.14,4790,FGEN
2023-01-05 10:02:00,18.145,18.145,18.04,18.125,3631,FGEN
2023-01-05 10:03:00,18.13,18.135,18.1175,18.1175,1107,FGEN
2023-01-05 10:04:00,18.14,18.2,18.1,18.1878,6614,FGEN
