date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-02-16 20:00:00,95.18,95.18,95.18,95.18,1145.0,GOOG
2023-02-16 19:59:00,95.29,95.29,95.29,95.29,604.0,GOOG
2023-02-16 19:58:00,95.29,95.29,95.29,95.29,624.0,GOOG
2023-02-16 19:57:00,95.29,95.29,95.29,95.29,407.0,GOOG
2023-02-16 19:56:00,95.2,95.24,95.2,95.24,910.0,GOOG
2023-02-16 19:54:00,95.13,95.15,95.13,95.15,831.0,GOOG
2023-02-16 19:52:00,95.13,95.14,95.13,95.14,646.0,GOOG
2023-02-16 19:51:00,95.13,95.13,95.13,95.13,651.0,GOOG
2023-02-16 19:50:00,95.16,95.16,95.1,95.1,1365.0,GOOG
2023-02-16 19:46:00,95.1,95.1,95.1,95.1,506.0,GOOG
2023-02-16 19:43:00,95.2,95.2,95.16,95.16,702.0,GOOG
2023-02-16 19:42:00,95.09,95.16,95.09,95.09,899.0,GOOG
2023-02-16 19:41:00,95.1,95.1,95.09,95.09,1195.0,GOOG
2023-02-16 19:39:00,95.11,95.11,95.1,95.1,515.0,GOOG
2023-02-16 19:38:00,95.11,95.11,95.11,95.11,287.0,GOOG
2023-02-16 19:37:00,95.15,95.15,95.15,95.15,1220.0,GOOG
2023-02-16 19:36:00,95.16,95.16,95.16,95.16,468.0,GOOG
2023-02-16 19:34:00,95.2,95.2,95.16,95.16,1564.0,GOOG
2023-02-16 19:33:00,95.11,95.16,95.11,95.16,1412.0,GOOG
2023-02-16 19:32:00,95.11,95.16,95.11,95.16,514.0,GOOG
2023-02-16 19:28:00,95.19,95.2,95.19,95.2,1030.0,GOOG
2023-02-16 19:27:00,95.2,95.2,95.2,95.2,1109.0,GOOG
2023-02-16 19:24:00,95.2,95.2,95.2,95.2,171.0,GOOG
2023-02-16 19:22:00,95.15,95.15,95.15,95.15,245.0,GOOG
2023-02-16 19:21:00,95.12,95.12,95.12,95.12,203.0,GOOG
2023-02-16 19:20:00,95.22,95.23,95.22,95.23,491.0,GOOG
2023-02-16 19:18:00,95.19,95.19,95.19,95.19,199.0,GOOG
2023-02-16 19:17:00,95.23,95.23,95.23,95.23,552.0,GOOG
2023-02-16 19:16:00,95.19,95.23,95.19,95.23,500.0,GOOG
2023-02-16 19:10:00,95.1,95.1,95.1,95.1,1418.0,GOOG
2023-02-16 19:05:00,95.29,95.29,95.29,95.29,362.0,GOOG
2023-02-16 19:03:00,95.12,95.12,95.12,95.12,203.0,GOOG
2023-02-16 19:01:00,95.1,95.1,95.1,95.1,284.0,GOOG
2023-02-16 19:00:00,95.1,95.1,95.1,95.1,535.0,GOOG
2023-02-16 18:59:00,95.21,95.28,95.21,95.28,1196.0,GOOG
2023-02-16 18:58:00,95.2,95.2,95.2,95.2,590.0,GOOG
2023-02-16 18:57:00,95.12,95.12,95.1,95.1,950.0,GOOG
2023-02-16 18:56:00,95.16,95.16,95.16,95.16,488.0,GOOG
2023-02-16 18:51:00,95.1,95.1,95.1,95.1,797.0,GOOG
2023-02-16 18:50:00,95.2,95.2,95.2,95.2,957.0,GOOG
2023-02-16 18:49:00,95.2,95.2001,95.15,95.15,1251.0,GOOG
2023-02-16 18:48:00,95.11,95.11,95.11,95.11,315.0,GOOG
2023-02-16 18:44:00,95.11,95.11,95.11,95.11,4218.0,GOOG
2023-02-16 18:42:00,95.11,95.11,95.11,95.11,494.0,GOOG
2023-02-16 18:41:00,95.12,95.12,95.12,95.12,233.0,GOOG
2023-02-16 18:40:00,95.2,95.2,95.2,95.2,356.0,GOOG
2023-02-16 18:39:00,95.2,95.2,95.2,95.2,151.0,GOOG
2023-02-16 18:38:00,95.22,95.22,95.22,95.22,329.0,GOOG
2023-02-16 18:36:00,95.18,95.18,95.18,95.18,317.0,GOOG
2023-02-16 18:35:00,95.2,95.2,95.2,95.2,1102.0,GOOG
2023-02-16 18:34:00,95.18,95.18,95.18,95.18,2199.0,GOOG
2023-02-16 18:33:00,95.19,95.22,95.15,95.22,1450.0,GOOG
2023-02-16 18:32:00,95.2,95.2,95.17,95.17,338.0,GOOG
2023-02-16 18:29:00,95.16,95.16,95.16,95.16,874.0,GOOG
2023-02-16 18:28:00,95.2,95.2,95.05,95.13,2696.0,GOOG
2023-02-16 18:26:00,95.25,95.25,95.23,95.23,471.0,GOOG
2023-02-16 18:24:00,95.25,95.25,95.25,95.25,814.0,GOOG
2023-02-16 18:21:00,95.3,95.3,95.29,95.29,2223.0,GOOG
2023-02-16 18:20:00,95.26,95.26,95.26,95.26,395.0,GOOG
2023-02-16 18:19:00,95.28,95.32,95.26,95.28,2286.0,GOOG
2023-02-16 18:18:00,95.29,95.29,95.29,95.29,337.0,GOOG
2023-02-16 18:14:00,95.33,95.33,95.33,95.33,422.0,GOOG
2023-02-16 18:13:00,95.33,95.33,95.33,95.33,612.0,GOOG
2023-02-16 18:12:00,95.35,95.35,95.35,95.35,519.0,GOOG
2023-02-16 18:10:00,95.35,95.35,95.35,95.35,231.0,GOOG
2023-02-16 18:09:00,95.35,95.35,95.35,95.35,389.0,GOOG
2023-02-16 18:08:00,95.33,95.33,95.3,95.33,1257.0,GOOG
2023-02-16 18:07:00,95.33,95.33,95.33,95.33,488.0,GOOG
2023-02-16 18:05:00,95.4001,95.42,95.35,95.35,1181.0,GOOG
2023-02-16 18:01:00,95.42,95.42,95.42,95.42,752.0,GOOG
2023-02-16 17:54:00,95.42,95.4201,95.42,95.4201,614.0,GOOG
2023-02-16 17:52:00,95.4201,95.45,95.4201,95.43,1478.0,GOOG
2023-02-16 17:50:00,95.43,95.43,95.43,95.43,175.0,GOOG
2023-02-16 17:46:00,95.43,95.43,95.43,95.43,218.0,GOOG
2023-02-16 17:45:00,95.45,95.45,95.45,95.45,103.0,GOOG
2023-02-16 17:44:00,95.42,95.42,95.42,95.42,179.0,GOOG
2023-02-16 17:43:00,95.46,95.46,95.46,95.46,4274.0,GOOG
2023-02-16 17:42:00,95.42,95.42,95.4,95.4,2050.0,GOOG
2023-02-16 17:40:00,95.46,95.46,95.46,95.46,229.0,GOOG
2023-02-16 17:36:00,95.5,95.5,95.5,95.5,168.0,GOOG
2023-02-16 17:35:00,95.4464,95.45,95.4464,95.45,345.0,GOOG
