,open,high,low,close,volume,Ticker
2023-01-06 09:33:00,180.73,180.73,180.73,180.73,900,GPI
2023-01-06 09:50:00,180.75,180.75,180.75,180.75,100,GPI
2023-01-06 09:53:00,180.48,180.48,180.48,180.48,163,GPI
2023-01-06 09:54:00,180.64,180.64,180.64,180.64,300,GPI
2023-01-06 09:56:00,180.19,180.19,180.19,180.19,155,GPI
2023-01-06 09:59:00,180.62,180.62,180.62,180.62,181,GPI
2023-01-06 10:01:00,180.89,180.89,180.57,180.57,349,GPI
2023-01-06 10:02:00,181.04,181.04,180.85,180.86,1143,GPI
2023-01-06 10:03:00,181.1,181.31,181.1,181.31,489,GPI
2023-01-06 10:10:00,180.43,180.76,180.43,180.76,322,GPI
2023-01-06 10:15:00,180.03,180.89,179.44,180.89,3459,GPI
2023-01-06 10:17:00,180.33,180.71,180.33,180.71,323,GPI
2023-01-06 10:18:00,180.43,181.2,180.19,180.7,437,GPI
2023-01-06 10:21:00,180.57,180.57,180.57,180.57,161,GPI
2023-01-06 10:25:00,180.5686,180.5686,180.5686,180.5686,443,GPI
2023-01-06 10:27:00,180.17,180.17,180.0,180.0,915,GPI
2023-01-06 10:28:00,179.955,179.955,179.95,179.95,256,GPI
2023-01-06 10:30:00,180.09,180.135,180.09,180.135,760,GPI
2023-01-06 10:36:00,180.58,180.58,180.34,180.34,282,GPI
2023-01-06 10:37:00,180.61,181.0,180.61,180.98,2316,GPI
2023-01-06 10:38:00,180.99,181.345,180.81,180.81,11369,GPI
2023-01-06 10:39:00,180.75,180.89,180.53,180.53,1244,GPI
2023-01-06 10:40:00,180.32,180.49,180.32,180.49,201,GPI
2023-01-06 10:42:00,180.82,181.04,180.53,180.96,1367,GPI
2023-01-06 10:44:00,180.73,180.73,180.73,180.73,488,GPI
2023-01-06 10:45:00,180.81,180.81,180.55,180.55,300,GPI
2023-01-06 10:47:00,180.55,180.55,180.55,180.55,100,GPI
2023-01-06 10:50:00,181.31,181.31,181.17,181.27,1076,GPI
2023-01-06 10:52:00,181.5,181.87,181.5,181.87,339,GPI
2023-01-06 10:54:00,181.98,181.98,181.98,181.98,362,GPI
2023-01-06 10:56:00,182.315,182.315,181.89,181.89,1269,GPI
2023-01-06 11:01:00,182.14,182.14,182.14,182.14,102,GPI
2023-01-06 11:02:00,182.5,182.75,182.5,182.58,1223,GPI
2023-01-06 11:03:00,182.78,182.78,182.78,182.78,161,GPI
2023-01-06 11:08:00,182.95,182.95,182.58,182.64,867,GPI
2023-01-06 11:17:00,183.0,183.23,183.0,183.23,1217,GPI
2023-01-06 11:18:00,183.515,183.515,183.515,183.515,202,GPI
2023-01-06 11:19:00,183.53,183.53,183.53,183.53,155,GPI
2023-01-06 11:20:00,183.55,183.55,183.55,183.55,192,GPI
2023-01-06 11:21:00,183.55,183.7,183.55,183.7,462,GPI
2023-01-06 11:22:00,183.7,184.32,183.7,184.01,1358,GPI
