,open,high,low,close,volume,Ticker
2023-01-06 09:31:00,26.59,26.67,26.59,26.66,5797,GRBK
2023-01-06 09:33:00,26.67,26.74,26.66,26.74,952,GRBK
2023-01-06 09:34:00,26.84,26.8714,26.84,26.8714,451,GRBK
2023-01-06 09:35:00,26.8148,26.88,26.8148,26.88,2251,GRBK
2023-01-06 09:36:00,26.865,26.865,26.79,26.805,1409,GRBK
2023-01-06 09:37:00,26.82,26.84,26.81,26.84,2731,GRBK
2023-01-06 09:38:00,26.84,26.84,26.84,26.84,894,GRBK
2023-01-06 09:39:00,26.84,26.84,26.67,26.67,2126,GRBK
2023-01-06 09:40:00,26.7483,26.7483,26.7483,26.7483,1060,GRBK
2023-01-06 09:41:00,26.755,26.775,26.755,26.775,220,GRBK
2023-01-06 09:42:00,26.7176,26.7176,26.7176,26.7176,1001,GRBK
2023-01-06 09:45:00,26.765,26.84,26.75,26.83,2812,GRBK
2023-01-06 09:46:00,26.79,26.79,26.79,26.79,332,GRBK
2023-01-06 09:48:00,26.73,26.76,26.73,26.73,1689,GRBK
2023-01-06 09:49:00,26.72,26.75,26.66,26.69,1716,GRBK
2023-01-06 09:51:00,26.73,26.73,26.73,26.73,370,GRBK
2023-01-06 09:53:00,26.6993,26.6993,26.6993,26.6993,239,GRBK
2023-01-06 09:54:00,26.77,26.77,26.77,26.77,101,GRBK
2023-01-06 09:55:00,26.69,26.69,26.6587,26.6703,1306,GRBK
2023-01-06 09:56:00,26.64,26.69,26.64,26.69,1341,GRBK
2023-01-06 09:58:00,26.68,26.71,26.68,26.71,300,GRBK
2023-01-06 09:59:00,26.7017,26.7017,26.7017,26.7017,550,GRBK
2023-01-06 10:00:00,26.67,26.69,26.67,26.69,636,GRBK
2023-01-06 10:01:00,26.71,26.73,26.71,26.73,1006,GRBK
2023-01-06 10:02:00,26.78,26.78,26.775,26.775,202,GRBK
2023-01-06 10:03:00,26.78,26.915,26.78,26.87,3159,GRBK
2023-01-06 10:04:00,26.83,26.87,26.78,26.78,1284,GRBK
