date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-03-30 19:59:00,5.01,5.01,5.01,5.01,1007.0,HBI
2023-03-30 19:31:00,5.02,5.02,5.02,5.02,988.0,HBI
2023-03-30 17:15:00,5.02,5.02,5.02,5.02,1500.0,HBI
2023-03-30 16:17:00,4.99,4.99,4.99,4.99,245.0,HBI
2023-03-30 16:08:00,5.0294,5.03,5.0294,5.03,900.0,HBI
2023-03-30 16:02:00,5.0,5.0,4.9815,4.9815,8107.0,HBI
2023-03-30 16:01:00,5.0,5.0,5.0,5.0,61341.0,HBI
2023-03-30 16:00:00,5.0,5.01,5.0,5.0,253707.0,HBI
2023-03-30 15:59:00,5.005,5.01,5.0,5.005,88814.0,HBI
2023-03-30 15:58:00,5.0,5.01,5.0,5.005,41658.0,HBI
2023-03-30 15:57:00,5.005,5.01,5.0,5.0,40511.0,HBI
2023-03-30 15:56:00,5.0,5.01,5.0,5.005,44266.0,HBI
2023-03-30 15:55:00,5.005,5.01,5.0,5.005,28930.0,HBI
2023-03-30 15:54:00,5.005,5.01,5.0,5.005,26878.0,HBI
2023-03-30 15:53:00,5.005,5.01,5.0,5.005,31418.0,HBI
2023-03-30 15:52:00,5.005,5.01,5.005,5.005,38065.0,HBI
2023-03-30 15:51:00,4.995,5.0057,4.99,5.005,121785.0,HBI
2023-03-30 15:50:00,5.0,5.005,4.99,4.995,88603.0,HBI
2023-03-30 15:49:00,5.005,5.005,5.0,5.005,25691.0,HBI
2023-03-30 15:48:00,5.0,5.005,5.0,5.005,21653.0,HBI
2023-03-30 15:47:00,5.005,5.005,5.0,5.0,11989.0,HBI
2023-03-30 15:46:00,5.005,5.01,5.0,5.0,33726.0,HBI
2023-03-30 15:45:00,5.005,5.005,5.0,5.005,17123.0,HBI
2023-03-30 15:44:00,5.0,5.01,5.0,5.005,15645.0,HBI
2023-03-30 15:43:00,5.005,5.0075,5.0,5.0,7578.0,HBI
2023-03-30 15:42:00,5.005,5.01,5.0,5.005,14582.0,HBI
2023-03-30 15:41:00,5.005,5.01,5.0,5.005,24785.0,HBI
