,open,high,low,close,volume,Ticker
2023-01-09 08:01:00,0.41,0.41,0.41,0.41,200,KXIN
2023-01-09 09:31:00,0.4,0.4,0.4,0.4,1199,KXIN
2023-01-09 09:32:00,0.401,0.401,0.401,0.401,150,KXIN
2023-01-09 09:33:00,0.4,0.4001,0.4,0.4001,13443,KXIN
2023-01-09 09:34:00,0.4,0.4,0.3492,0.3492,6707,KXIN
2023-01-09 09:35:00,0.4196,0.4196,0.4196,0.4196,100,KXIN
2023-01-09 09:36:00,0.3505,0.3505,0.3505,0.3505,100,KXIN
2023-01-09 09:52:00,0.3692,0.3692,0.3692,0.3692,110,KXIN
2023-01-09 10:01:00,0.3702,0.3749,0.3702,0.3749,5300,KXIN
2023-01-09 10:04:00,0.3814,0.3814,0.3814,0.3814,800,KXIN
2023-01-09 10:06:00,0.3937,0.3969,0.3937,0.3969,10576,KXIN
2023-01-09 10:09:00,0.3937,0.3937,0.3936,0.3936,3500,KXIN
2023-01-09 10:10:00,0.3936,0.3937,0.3936,0.3937,5200,KXIN
2023-01-09 10:14:00,0.3937,0.3937,0.3937,0.3937,1200,KXIN
2023-01-09 10:17:00,0.3937,0.3937,0.3937,0.3937,100,KXIN
2023-01-09 10:22:00,0.3936,0.3936,0.3936,0.3936,1992,KXIN
2023-01-09 10:30:00,0.383,0.383,0.3829,0.383,3900,KXIN
2023-01-09 10:33:00,0.3829,0.383,0.3829,0.383,2451,KXIN
2023-01-09 10:47:00,0.392,0.3937,0.392,0.3937,5408,KXIN
2023-01-09 10:53:00,0.3942,0.3942,0.3942,0.3942,1000,KXIN
2023-01-09 10:54:00,0.3942,0.3942,0.3941,0.3941,4401,KXIN
2023-01-09 10:55:00,0.3951,0.3951,0.3951,0.3951,1010,KXIN
2023-01-09 10:57:00,0.395,0.395,0.394,0.394,5000,KXIN
2023-01-09 10:58:00,0.3942,0.3942,0.3942,0.3942,5039,KXIN
2023-01-09 10:59:00,0.3941,0.3941,0.3939,0.3939,4187,KXIN
2023-01-09 11:00:00,0.3939,0.3939,0.3919,0.3919,1300,KXIN
2023-01-09 11:02:00,0.3901,0.3901,0.3901,0.3901,2100,KXIN
2023-01-09 11:04:00,0.3901,0.3901,0.3901,0.3901,2000,KXIN
2023-01-09 11:07:00,0.3929,0.3929,0.3929,0.3929,500,KXIN
2023-01-09 11:09:00,0.3922,0.3922,0.3922,0.3922,100,KXIN
2023-01-09 11:10:00,0.3928,0.3928,0.3928,0.3928,100,KXIN
2023-01-09 11:11:00,0.3922,0.3938,0.3922,0.3938,1400,KXIN
2023-01-09 11:15:00,0.3928,0.3928,0.3928,0.3928,100,KXIN
2023-01-09 11:16:00,0.3928,0.3928,0.3928,0.3928,200,KXIN
2023-01-09 11:18:00,0.392,0.392,0.392,0.392,472,KXIN
2023-01-09 11:26:00,0.392,0.392,0.392,0.392,400,KXIN
2023-01-09 11:27:00,0.392,0.392,0.392,0.392,4100,KXIN
2023-01-09 11:29:00,0.3928,0.3928,0.3928,0.3928,1300,KXIN
2023-01-09 11:34:00,0.3931,0.399,0.3931,0.399,440,KXIN
2023-01-09 11:36:00,0.4,0.4,0.4,0.4,265,KXIN
2023-01-09 11:39:00,0.399,0.4,0.3975,0.4,6385,KXIN
2023-01-09 11:46:00,0.4078,0.41,0.4078,0.41,700,KXIN
2023-01-09 11:47:00,0.4126,0.4196,0.41,0.4196,10300,KXIN
2023-01-09 11:50:00,0.4137,0.4137,0.4137,0.4137,100,KXIN
2023-01-09 11:51:00,0.4185,0.4185,0.4185,0.4185,200,KXIN
2023-01-09 11:53:00,0.4186,0.4186,0.4186,0.4186,299,KXIN
2023-01-09 12:01:00,0.4186,0.42,0.4186,0.42,4194,KXIN
2023-01-09 12:02:00,0.4218,0.4218,0.4218,0.4218,100,KXIN
2023-01-09 12:03:00,0.4219,0.422,0.4219,0.422,1009,KXIN
2023-01-09 12:08:00,0.4218,0.4218,0.4218,0.4218,299,KXIN
2023-01-09 12:14:00,0.4219,0.4273,0.4219,0.4273,3890,KXIN
2023-01-09 12:23:00,0.4228,0.4272,0.4228,0.4272,1900,KXIN
2023-01-09 12:25:00,0.4272,0.4272,0.4272,0.4272,300,KXIN
2023-01-09 12:28:00,0.4272,0.4273,0.4272,0.4273,6464,KXIN
2023-01-09 12:29:00,0.4279,0.4279,0.4279,0.4279,100,KXIN
2023-01-09 12:34:00,0.4285,0.4285,0.4285,0.4285,600,KXIN
2023-01-09 12:35:00,0.4284,0.4284,0.4284,0.4284,1186,KXIN
2023-01-09 12:38:00,0.4287,0.4295,0.4287,0.4295,1530,KXIN
2023-01-09 12:39:00,0.43,0.43,0.43,0.43,380,KXIN
2023-01-09 12:40:00,0.43,0.43,0.43,0.43,100,KXIN
2023-01-09 12:48:00,0.4294,0.4294,0.4294,0.4294,868,KXIN
2023-01-09 12:51:00,0.4201,0.4201,0.4201,0.4201,1121,KXIN
2023-01-09 12:59:00,0.42,0.42,0.42,0.42,882,KXIN
2023-01-09 13:01:00,0.4291,0.4291,0.4291,0.4291,1000,KXIN
2023-01-09 13:11:00,0.4245,0.4245,0.4245,0.4245,100,KXIN
2023-01-09 13:17:00,0.4201,0.4254,0.42,0.4254,2145,KXIN
2023-01-09 13:35:00,0.42,0.42,0.4155,0.4155,10000,KXIN
2023-01-09 13:50:00,0.4155,0.4188,0.4155,0.4188,7500,KXIN
2023-01-09 13:51:00,0.4197,0.4199,0.4155,0.4199,4250,KXIN
2023-01-09 13:53:00,0.4177,0.4177,0.4177,0.4177,161,KXIN
2023-01-09 14:29:00,0.4155,0.4178,0.415,0.415,1841,KXIN
2023-01-09 14:39:00,0.4149,0.4149,0.4149,0.4149,300,KXIN
2023-01-09 15:22:00,0.4149,0.415,0.4078,0.415,7042,KXIN
2023-01-09 15:55:00,0.415,0.42,0.4147,0.42,2978,KXIN
2023-01-10 08:45:00,0.4199,0.4199,0.4199,0.4199,499,KXIN
2023-01-10 09:41:00,0.4199,0.4199,0.4189,0.4199,1204,KXIN
2023-01-10 09:42:00,0.4199,0.4296,0.3851,0.4199,2581,KXIN
2023-01-10 09:46:00,0.4299,0.4299,0.4299,0.4299,1881,KXIN
2023-01-10 09:49:00,0.4306,0.435,0.43,0.43,6180,KXIN
2023-01-10 09:51:00,0.4301,0.4301,0.43,0.43,1900,KXIN
2023-01-10 09:57:00,0.435,0.435,0.435,0.435,298,KXIN
2023-01-10 09:59:00,0.43,0.43,0.43,0.43,250,KXIN
2023-01-10 10:01:00,0.43,0.43,0.43,0.43,540,KXIN
2023-01-10 10:05:00,0.4339,0.4339,0.4339,0.4339,100,KXIN
2023-01-10 10:06:00,0.4325,0.4325,0.4325,0.4325,250,KXIN
2023-01-10 10:11:00,0.4324,0.4324,0.4324,0.4324,100,KXIN
2023-01-10 10:12:00,0.4324,0.4324,0.4324,0.4324,100,KXIN
2023-01-10 10:14:00,0.432,0.432,0.432,0.432,300,KXIN
2023-01-10 10:19:00,0.4301,0.4301,0.4301,0.4301,252,KXIN
2023-01-10 10:24:00,0.43,0.431,0.43,0.43,6880,KXIN
2023-01-10 10:29:00,0.4299,0.4299,0.4299,0.4299,9045,KXIN
2023-01-10 10:31:00,0.4298,0.4298,0.4298,0.4298,250,KXIN
2023-01-10 10:32:00,0.4299,0.4299,0.4299,0.4299,100,KXIN
2023-01-10 10:33:00,0.4299,0.4299,0.4299,0.4299,300,KXIN
2023-01-10 10:35:00,0.4299,0.4299,0.4299,0.4299,100,KXIN
2023-01-10 10:37:00,0.4299,0.4299,0.4299,0.4299,100,KXIN
2023-01-10 10:39:00,0.4299,0.4299,0.421,0.421,5851,KXIN
2023-01-10 10:48:00,0.4286,0.4286,0.4286,0.4286,500,KXIN
2023-01-10 11:00:00,0.4211,0.4211,0.4211,0.4211,1900,KXIN
2023-01-10 11:01:00,0.4211,0.4211,0.4211,0.4211,4000,KXIN
2023-01-10 11:03:00,0.421,0.421,0.421,0.421,1107,KXIN
2023-01-10 11:04:00,0.4211,0.4211,0.4211,0.4211,1093,KXIN
2023-01-10 11:13:00,0.421,0.421,0.421,0.421,700,KXIN
2023-01-10 11:14:00,0.4211,0.4211,0.4211,0.4211,500,KXIN
2023-01-10 11:17:00,0.4211,0.4211,0.4211,0.4211,200,KXIN
2023-01-10 11:22:00,0.4211,0.4211,0.4211,0.4211,222,KXIN
2023-01-10 11:28:00,0.4211,0.4211,0.4211,0.4211,250,KXIN
2023-01-10 11:31:00,0.4211,0.4211,0.4211,0.4211,250,KXIN
2023-01-10 12:26:00,0.4255,0.4255,0.4255,0.4255,300,KXIN
2023-01-10 12:39:00,0.4299,0.4299,0.4299,0.4299,142,KXIN
2023-01-10 12:42:00,0.4299,0.4299,0.4299,0.4299,100,KXIN
2023-01-10 13:11:00,0.4299,0.4299,0.4299,0.4299,10000,KXIN
2023-01-10 13:14:00,0.4299,0.4299,0.4294,0.4294,3600,KXIN
2023-01-10 13:53:00,0.4298,0.4298,0.4298,0.4298,3999,KXIN
2023-01-10 14:00:00,0.4299,0.4299,0.4299,0.4299,4117,KXIN
2023-01-10 14:06:00,0.4299,0.43,0.4299,0.43,4013,KXIN
2023-01-10 14:07:00,0.435,0.435,0.435,0.435,450,KXIN
2023-01-10 14:08:00,0.44,0.44,0.44,0.44,2010,KXIN
2023-01-10 14:16:00,0.4472,0.4472,0.4472,0.4472,1500,KXIN
2023-01-10 14:24:00,0.4456,0.4473,0.4456,0.4473,600,KXIN
2023-01-10 14:25:00,0.4513,0.4513,0.4513,0.4513,179,KXIN
2023-01-10 14:28:00,0.4513,0.46,0.4513,0.46,2500,KXIN
2023-01-10 14:30:00,0.4594,0.4597,0.4589,0.4589,1100,KXIN
2023-01-10 14:31:00,0.4589,0.4589,0.4589,0.4589,1087,KXIN
2023-01-10 15:15:00,0.4361,0.4361,0.4361,0.4361,250,KXIN
2023-01-10 16:50:00,0.4361,0.4361,0.4361,0.4361,100,KXIN
2023-01-10 18:39:00,0.4143,0.4143,0.4143,0.4143,876,KXIN
2023-01-10 19:43:00,0.4143,0.4143,0.4143,0.4143,326,KXIN
2023-01-11 08:49:00,0.45,0.45,0.45,0.45,100,KXIN
2023-01-11 09:14:00,0.4579,0.4579,0.4579,0.4579,146,KXIN
2023-01-11 09:31:00,0.47,0.47,0.47,0.47,7041,KXIN
2023-01-11 09:33:00,0.47,0.47,0.47,0.47,140,KXIN
2023-01-11 09:35:00,0.44,0.44,0.44,0.44,532,KXIN
2023-01-11 09:57:00,0.462,0.462,0.462,0.462,101,KXIN
2023-01-11 09:58:00,0.4709,0.4709,0.4617,0.4617,600,KXIN
2023-01-11 10:02:00,0.46,0.46,0.46,0.46,100,KXIN
2023-01-11 10:05:00,0.44,0.44,0.44,0.44,1467,KXIN
2023-01-11 10:10:00,0.4382,0.4382,0.4382,0.4382,115,KXIN
2023-01-11 10:19:00,0.4374,0.4374,0.4374,0.4374,104,KXIN
2023-01-11 10:20:00,0.4383,0.4383,0.4383,0.4383,591,KXIN
2023-01-11 10:21:00,0.4364,0.44,0.4364,0.44,5163,KXIN
2023-01-11 10:32:00,0.465,0.465,0.465,0.465,850,KXIN
2023-01-11 10:34:00,0.465,0.465,0.465,0.465,200,KXIN
2023-01-11 11:06:00,0.4374,0.4374,0.4364,0.4364,807,KXIN
2023-01-11 11:14:00,0.4582,0.4582,0.4582,0.4582,250,KXIN
2023-01-11 11:16:00,0.4582,0.4582,0.4388,0.4388,200,KXIN
2023-01-11 11:28:00,0.4507,0.4507,0.4507,0.4507,100,KXIN
2023-01-11 11:38:00,0.4365,0.4449,0.4365,0.4407,4950,KXIN
2023-01-11 11:46:00,0.4645,0.4645,0.4645,0.4645,500,KXIN
2023-01-11 11:48:00,0.465,0.465,0.465,0.465,1115,KXIN
2023-01-11 11:59:00,0.4649,0.4649,0.4649,0.4649,200,KXIN
2023-01-11 12:14:00,0.464,0.464,0.464,0.464,5700,KXIN
2023-01-11 12:58:00,0.4412,0.4413,0.4412,0.4412,2100,KXIN
2023-01-11 13:04:00,0.4432,0.4432,0.4432,0.4432,190,KXIN
2023-01-11 13:46:00,0.464,0.464,0.464,0.464,100,KXIN
2023-01-11 13:56:00,0.4639,0.4639,0.4639,0.4639,3002,KXIN
2023-01-11 13:57:00,0.442,0.442,0.442,0.442,3000,KXIN
2023-01-11 14:16:00,0.464,0.464,0.464,0.464,200,KXIN
2023-01-11 14:17:00,0.442,0.442,0.442,0.442,100,KXIN
2023-01-11 14:42:00,0.453,0.453,0.453,0.453,1000,KXIN
2023-01-11 14:43:00,0.453,0.453,0.453,0.453,1000,KXIN
2023-01-11 14:53:00,0.464,0.464,0.4639,0.4639,4000,KXIN
2023-01-11 15:03:00,0.453,0.453,0.453,0.453,100,KXIN
2023-01-11 15:12:00,0.462,0.462,0.462,0.462,164,KXIN
2023-01-11 15:25:00,0.451,0.451,0.451,0.451,104,KXIN
2023-01-11 15:30:00,0.45,0.45,0.45,0.45,400,KXIN
2023-01-11 15:36:00,0.4541,0.4541,0.4541,0.4541,200,KXIN
2023-01-11 15:49:00,0.4463,0.4463,0.4462,0.4462,3100,KXIN
2023-01-11 15:51:00,0.462,0.462,0.448,0.448,2100,KXIN
2023-01-11 15:52:00,0.4462,0.4462,0.4462,0.4462,300,KXIN
2023-01-11 15:59:00,0.4462,0.4619,0.4462,0.4619,900,KXIN
2023-01-11 16:00:00,0.442,0.462,0.4412,0.4619,1105,KXIN
2023-01-11 16:16:00,0.4389,0.4389,0.4389,0.4389,100,KXIN
2023-01-11 17:55:00,0.459,0.459,0.459,0.459,1500,KXIN
2023-01-11 19:40:00,0.459,0.459,0.459,0.459,250,KXIN
2023-01-12 08:00:00,0.4389,0.4389,0.4389,0.4389,100,KXIN
2023-01-12 08:40:00,0.4789,0.4789,0.4789,0.4789,157,KXIN
2023-01-12 09:31:00,0.4549,0.4549,0.4549,0.4549,182,KXIN
2023-01-12 09:37:00,0.4522,0.4549,0.4522,0.4549,1894,KXIN
2023-01-12 09:39:00,0.45,0.45,0.45,0.45,1230,KXIN
2023-01-12 09:40:00,0.45,0.45,0.45,0.45,806,KXIN
2023-01-12 10:04:00,0.459,0.46,0.459,0.46,3217,KXIN
2023-01-12 10:05:00,0.4689,0.4693,0.4689,0.4693,209,KXIN
2023-01-12 10:06:00,0.48,0.4818,0.48,0.4818,6789,KXIN
2023-01-12 10:07:00,0.4851,0.4995,0.4851,0.4995,12837,KXIN
2023-01-12 10:08:00,0.4995,0.4995,0.4995,0.4995,2484,KXIN
2023-01-12 10:09:00,0.4995,0.4995,0.4995,0.4995,16719,KXIN
2023-01-12 10:11:00,0.4995,0.4995,0.4995,0.4995,200,KXIN
2023-01-12 10:14:00,0.48,0.48,0.48,0.48,275,KXIN
2023-01-12 10:20:00,0.48,0.48,0.48,0.48,5000,KXIN
2023-01-12 10:24:00,0.4823,0.4823,0.4823,0.4823,100,KXIN
2023-01-12 10:26:00,0.4897,0.4897,0.4897,0.4897,100,KXIN
2023-01-12 10:27:00,0.4897,0.4923,0.4897,0.4923,3715,KXIN
2023-01-12 10:28:00,0.49,0.49,0.49,0.49,100,KXIN
2023-01-12 10:29:00,0.48,0.4801,0.48,0.4801,8000,KXIN
2023-01-12 10:30:00,0.48,0.48,0.48,0.48,4150,KXIN
2023-01-12 10:45:00,0.4689,0.4689,0.4689,0.4689,400,KXIN
2023-01-12 10:47:00,0.4652,0.4652,0.4652,0.4652,16671,KXIN
2023-01-12 11:03:00,0.48,0.48,0.48,0.48,44000,KXIN
2023-01-12 11:17:00,0.48,0.48,0.48,0.48,100,KXIN
2023-01-12 11:50:00,0.48,0.48,0.48,0.48,573,KXIN
2023-01-12 11:56:00,0.48,0.48,0.48,0.48,277,KXIN
2023-01-12 11:59:00,0.48,0.48,0.48,0.48,5761,KXIN
2023-01-12 12:04:00,0.4766,0.4766,0.4766,0.4766,200,KXIN
2023-01-12 12:05:00,0.4672,0.4672,0.4672,0.4672,100,KXIN
2023-01-12 12:28:00,0.4672,0.4672,0.4672,0.4672,297,KXIN
2023-01-12 13:03:00,0.4674,0.4674,0.4674,0.4674,1500,KXIN
2023-01-12 13:04:00,0.4674,0.4674,0.4674,0.4674,1512,KXIN
2023-01-12 13:05:00,0.4674,0.4674,0.4674,0.4674,1500,KXIN
2023-01-12 13:06:00,0.4674,0.4674,0.4674,0.4674,1500,KXIN
2023-01-12 13:23:00,0.48,0.48,0.48,0.48,102,KXIN
2023-01-12 13:27:00,0.4675,0.4675,0.4675,0.4675,1000,KXIN
2023-01-12 13:37:00,0.4674,0.4674,0.4674,0.4674,1000,KXIN
2023-01-12 13:58:00,0.4674,0.4674,0.4674,0.4674,150,KXIN
2023-01-12 14:20:00,0.48,0.48,0.48,0.48,100,KXIN
2023-01-12 14:25:00,0.4786,0.4786,0.4786,0.4786,2500,KXIN
2023-01-12 14:29:00,0.4738,0.4798,0.4738,0.4798,1000,KXIN
2023-01-12 14:30:00,0.4798,0.4798,0.4785,0.4785,500,KXIN
2023-01-12 14:31:00,0.4793,0.4798,0.4793,0.4798,2325,KXIN
2023-01-12 14:37:00,0.4797,0.4798,0.4797,0.4797,3015,KXIN
2023-01-12 14:42:00,0.4797,0.4797,0.4797,0.4797,1500,KXIN
2023-01-12 14:52:00,0.4797,0.4797,0.4723,0.4723,1204,KXIN
2023-01-12 14:57:00,0.4772,0.4772,0.4772,0.4772,1000,KXIN
2023-01-12 15:07:00,0.4797,0.4797,0.4797,0.4797,100,KXIN
2023-01-12 15:11:00,0.4797,0.4797,0.4771,0.4797,4058,KXIN
2023-01-12 15:12:00,0.4797,0.4797,0.479,0.4797,7355,KXIN
2023-01-12 15:13:00,0.4784,0.4859,0.4784,0.4859,21056,KXIN
2023-01-12 15:14:00,0.4859,0.486,0.4859,0.486,5665,KXIN
2023-01-12 15:22:00,0.4861,0.4867,0.4842,0.4867,1100,KXIN
2023-01-12 15:23:00,0.489,0.489,0.4888,0.489,2500,KXIN
