,open,high,low,close,volume,Ticker
2023-01-09 09:31:00,21.02,21.07,20.92,20.98,10735,LBTYA
2023-01-09 09:32:00,21.025,21.025,20.88,20.91,4432,LBTYA
2023-01-09 09:33:00,20.93,20.96,20.925,20.95,2523,LBTYA
2023-01-09 09:34:00,20.935,20.935,20.91,20.915,3209,LBTYA
2023-01-09 09:35:00,20.9,20.905,20.88,20.905,724,LBTYA
2023-01-09 09:36:00,20.905,20.96,20.905,20.95,5111,LBTYA
2023-01-09 09:37:00,20.93,20.945,20.92,20.945,2530,LBTYA
2023-01-09 09:38:00,20.95,20.955,20.92,20.92,714,LBTYA
2023-01-09 09:39:00,20.91,20.95,20.91,20.95,3097,LBTYA
2023-01-09 09:40:00,20.95,20.95,20.91,20.945,3671,LBTYA
2023-01-09 09:41:00,20.945,20.97,20.93,20.95,13677,LBTYA
2023-01-09 09:42:00,20.97,20.99,20.97,20.985,1177,LBTYA
2023-01-09 09:43:00,21.0,21.0,20.935,20.99,13242,LBTYA
2023-01-09 09:44:00,21.0,21.01,21.0,21.01,474,LBTYA
2023-01-09 09:45:00,20.995,20.995,20.965,20.965,4999,LBTYA
2023-01-09 09:46:00,20.97,20.99,20.955,20.975,9582,LBTYA
2023-01-09 09:47:00,20.975,21.0,20.97,20.975,18354,LBTYA
2023-01-09 09:48:00,20.97,20.975,20.945,20.97,4937,LBTYA
2023-01-09 09:49:00,20.975,20.99,20.975,20.98,2281,LBTYA
2023-01-09 09:50:00,20.98,20.985,20.965,20.965,1240,LBTYA
2023-01-09 09:51:00,20.96,20.96,20.945,20.945,1724,LBTYA
2023-01-09 09:52:00,20.945,20.975,20.945,20.975,2681,LBTYA
2023-01-09 09:53:00,20.98,20.98,20.965,20.965,1062,LBTYA
2023-01-09 09:54:00,20.98,20.995,20.975,20.995,5965,LBTYA
2023-01-09 09:55:00,21.0,21.02,21.0,21.005,4167,LBTYA
2023-01-09 09:56:00,21.005,21.01,20.99,20.995,3853,LBTYA
2023-01-09 09:57:00,21.0,21.035,20.98,20.98,4810,LBTYA
2023-01-09 09:58:00,20.98,20.98,20.97,20.975,1513,LBTYA
2023-01-09 09:59:00,20.975,20.975,20.955,20.96,2115,LBTYA
2023-01-09 10:00:00,20.96,20.99,20.96,20.985,11870,LBTYA
2023-01-09 10:01:00,20.995,20.995,20.975,20.975,2296,LBTYA
2023-01-09 10:02:00,20.978,20.995,20.978,20.995,2343,LBTYA
2023-01-09 10:03:00,21.0,21.025,21.0,21.015,5568,LBTYA
2023-01-09 10:04:00,21.01,21.01,20.995,21.005,3611,LBTYA
2023-01-09 10:05:00,21.02,21.035,21.015,21.025,6204,LBTYA
2023-01-09 10:06:00,21.02,21.02,20.975,20.98,7352,LBTYA
2023-01-09 10:07:00,20.99,20.995,20.975,20.995,2149,LBTYA
2023-01-09 10:08:00,20.995,21.015,20.995,21.015,2279,LBTYA
2023-01-09 10:09:00,21.015,21.02,20.995,21.02,3764,LBTYA
2023-01-09 10:10:00,21.025,21.025,21.025,21.025,151,LBTYA
2023-01-09 10:11:00,21.03,21.035,21.015,21.015,5558,LBTYA
2023-01-09 10:12:00,21.01,21.02,20.995,21.0198,10214,LBTYA
2023-01-09 10:13:00,21.0199,21.045,21.015,21.035,7510,LBTYA
2023-01-09 10:14:00,21.035,21.045,21.035,21.045,3295,LBTYA
2023-01-09 10:15:00,21.045,21.045,21.03,21.04,2545,LBTYA
2023-01-09 10:16:00,21.035,21.035,21.005,21.015,4079,LBTYA
2023-01-09 10:17:00,21.015,21.025,21.015,21.015,1611,LBTYA
2023-01-09 10:18:00,21.01,21.015,21.005,21.005,700,LBTYA
2023-01-09 10:19:00,21.005,21.005,21.0,21.005,1795,LBTYA
2023-01-09 10:20:00,21.005,21.005,21.0,21.0,1034,LBTYA
2023-01-09 10:21:00,20.995,21.0,20.98,21.0,3862,LBTYA
2023-01-09 10:22:00,20.995,20.995,20.965,20.965,3224,LBTYA
2023-01-09 10:23:00,20.965,20.995,20.965,20.99,2997,LBTYA
2023-01-09 10:24:00,20.985,20.995,20.985,20.995,835,LBTYA
2023-01-09 10:25:00,20.99,20.995,20.98,20.98,1400,LBTYA
