date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-02-03 16:04:00,60.8,60.8,60.8,60.8,6456.0,LNTH
2023-02-03 16:03:00,60.8,60.8,60.8,60.8,722.0,LNTH
2023-02-03 16:02:00,60.8,60.8,60.8,60.8,4927.0,LNTH
2023-02-03 16:01:00,60.8,60.8,60.8,60.8,4147.0,LNTH
2023-02-03 16:00:00,60.85,60.86,60.78,60.83,15659.0,LNTH
2023-02-03 15:59:00,60.815,60.865,60.805,60.865,10807.0,LNTH
2023-02-03 15:58:00,60.855,60.92,60.85,60.85,11040.0,LNTH
2023-02-03 15:57:00,60.84,60.865,60.84,60.855,6443.0,LNTH
2023-02-03 15:56:00,60.83,60.86,60.79,60.85,10959.0,LNTH
2023-02-03 15:55:00,60.795,60.825,60.795,60.8,5204.0,LNTH
2023-02-03 15:54:00,60.75,60.81,60.75,60.795,7210.0,LNTH
2023-02-03 15:53:00,60.76,60.76,60.72,60.72,4165.0,LNTH
2023-02-03 15:52:00,60.75,60.76,60.725,60.735,6486.0,LNTH
2023-02-03 15:51:00,60.78,60.8,60.75,60.77,13990.0,LNTH
2023-02-03 15:50:00,60.785,60.8,60.78,60.78,2553.0,LNTH
2023-02-03 15:49:00,60.78,60.81,60.78,60.78,1565.0,LNTH
2023-02-03 15:48:00,60.74,60.81,60.71,60.78,905.0,LNTH
2023-02-03 15:47:00,60.752,60.84,60.74,60.74,4740.0,LNTH
2023-02-03 15:46:00,60.7223,60.795,60.7223,60.78,5958.0,LNTH
2023-02-03 15:45:00,60.68,60.76,60.68,60.755,4765.0,LNTH
2023-02-03 15:44:00,60.67,60.72,60.645,60.69,6471.0,LNTH
2023-02-03 15:43:00,60.69,60.69,60.69,60.69,664.0,LNTH
2023-02-03 15:42:00,60.71,60.73,60.7,60.7,3609.0,LNTH
2023-02-03 15:41:00,60.68,60.685,60.68,60.68,1059.0,LNTH
2023-02-03 15:40:00,60.71,60.725,60.69,60.69,1100.0,LNTH
2023-02-03 15:39:00,60.73,60.76,60.73,60.73,543.0,LNTH
2023-02-03 15:38:00,60.78,60.78,60.73,60.73,1415.0,LNTH
2023-02-03 15:37:00,60.78,60.83,60.78,60.8,2199.0,LNTH
2023-02-03 15:36:00,60.69,60.78,60.59,60.78,5141.0,LNTH
2023-02-03 15:35:00,60.65,60.65,60.61,60.645,880.0,LNTH
2023-02-03 15:34:00,60.8,60.83,60.79,60.79,865.0,LNTH
2023-02-03 15:33:00,60.89,60.89,60.845,60.845,1644.0,LNTH
2023-02-03 15:32:00,60.86,60.92,60.86,60.91,2074.0,LNTH
2023-02-03 15:31:00,60.85,60.86,60.795,60.825,4988.0,LNTH
2023-02-03 15:30:00,60.87,60.87,60.81,60.85,2666.0,LNTH
2023-02-03 15:29:00,60.885,60.89,60.88,60.89,1215.0,LNTH
2023-02-03 15:28:00,60.889,60.9099,60.85,60.885,2079.0,LNTH
2023-02-03 15:27:00,60.91,60.91,60.9,60.9,1113.0,LNTH
2023-02-03 15:26:00,60.85,60.93,60.85,60.91,2636.0,LNTH
2023-02-03 15:25:00,60.785,60.834,60.755,60.825,2490.0,LNTH
2023-02-03 15:24:00,60.83,60.83,60.78,60.785,2340.0,LNTH
2023-02-03 15:23:00,60.75,60.84,60.75,60.83,4400.0,LNTH
2023-02-03 15:22:00,60.76,60.77,60.72,60.75,4030.0,LNTH
2023-02-03 15:21:00,60.79,60.81,60.775,60.81,1109.0,LNTH
2023-02-03 15:20:00,60.7993,60.7993,60.74,60.79,1564.0,LNTH
2023-02-03 15:19:00,60.715,60.82,60.7145,60.78,4244.0,LNTH
2023-02-03 15:18:00,60.71,60.76,60.69,60.715,2176.0,LNTH
2023-02-03 15:17:00,60.5,60.64,60.5,60.64,3249.0,LNTH
2023-02-03 15:16:00,60.465,60.51,60.43,60.47,2712.0,LNTH
2023-02-03 15:15:00,60.42,60.46,60.42,60.46,1012.0,LNTH
2023-02-03 15:14:00,60.36,60.43,60.36,60.425,1195.0,LNTH
2023-02-03 15:13:00,60.36,60.37,60.35,60.37,1886.0,LNTH
