date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-04-14 16:01:00,80.01,80.01,80.01,80.01,6041.0,MAN
2023-04-14 16:00:00,80.115,80.115,79.97,80.01,8155.0,MAN
2023-04-14 15:59:00,80.18,80.18,80.09,80.13,4141.0,MAN
2023-04-14 15:58:00,80.11,80.19,80.11,80.18,5685.0,MAN
2023-04-14 15:57:00,80.105,80.11,80.07,80.11,3496.0,MAN
2023-04-14 15:56:00,80.02,80.115,80.02,80.115,4775.0,MAN
2023-04-14 15:55:00,80.075,80.08,80.05,80.08,1543.0,MAN
2023-04-14 15:54:00,80.08,80.16,80.035,80.035,4405.0,MAN
2023-04-14 15:53:00,80.11,80.15,80.07,80.085,4030.0,MAN
2023-04-14 15:52:00,79.9671,80.11,79.9671,80.11,5159.0,MAN
2023-04-14 15:51:00,79.79,79.96,79.74,79.94,6334.0,MAN
2023-04-14 15:50:00,79.79,79.82,79.79,79.795,1572.0,MAN
2023-04-14 15:49:00,79.75,79.78,79.75,79.78,739.0,MAN
2023-04-14 15:48:00,79.775,79.775,79.775,79.775,145.0,MAN
2023-04-14 15:47:00,79.8,79.8,79.76,79.775,1752.0,MAN
2023-04-14 15:46:00,79.83,79.83,79.83,79.83,433.0,MAN
2023-04-14 15:45:00,79.79,79.82,79.79,79.82,941.0,MAN
2023-04-14 15:44:00,79.76,79.76,79.76,79.76,106.0,MAN
2023-04-14 15:43:00,79.74,79.77,79.735,79.755,866.0,MAN
2023-04-14 15:42:00,79.74,79.74,79.71,79.71,825.0,MAN
2023-04-14 15:41:00,79.78,79.78,79.721,79.721,758.0,MAN
2023-04-14 15:40:00,79.76,79.77,79.76,79.77,577.0,MAN
2023-04-14 15:36:00,79.64,79.7,79.64,79.7,864.0,MAN
2023-04-14 15:33:00,79.58,79.62,79.58,79.6,685.0,MAN
2023-04-14 15:31:00,79.63,79.63,79.63,79.63,278.0,MAN
2023-04-14 15:28:00,79.59,79.59,79.59,79.59,120.0,MAN
2023-04-14 15:26:00,79.58,79.6,79.57,79.57,643.0,MAN
2023-04-14 15:25:00,79.51,79.51,79.51,79.51,149.0,MAN
2023-04-14 15:24:00,79.46,79.505,79.46,79.505,409.0,MAN
2023-04-14 15:19:00,79.4301,79.4301,79.4301,79.4301,1222.0,MAN
2023-04-14 15:18:00,79.39,79.48,79.39,79.48,759.0,MAN
2023-04-14 15:17:00,79.38,79.38,79.38,79.38,426.0,MAN
2023-04-14 15:16:00,79.395,79.395,79.35,79.36,1962.0,MAN
2023-04-14 15:15:00,79.46,79.47,79.45,79.46,681.0,MAN
2023-04-14 15:12:00,79.55,79.55,79.53,79.54,523.0,MAN
2023-04-14 15:11:00,79.49,79.51,79.49,79.5,563.0,MAN
2023-04-14 15:10:00,79.53,79.54,79.53,79.54,706.0,MAN
2023-04-14 15:08:00,79.515,79.515,79.515,79.515,109.0,MAN
2023-04-14 15:06:00,79.56,79.56,79.52,79.52,350.0,MAN
2023-04-14 15:04:00,79.6,79.6,79.6,79.6,540.0,MAN
2023-04-14 15:02:00,79.61,79.61,79.61,79.61,397.0,MAN
2023-04-14 15:00:00,79.58,79.63,79.58,79.63,1450.0,MAN
2023-04-14 14:59:00,79.5425,79.5425,79.5425,79.5425,319.0,MAN
2023-04-14 14:58:00,79.56,79.56,79.56,79.56,144.0,MAN
2023-04-14 14:57:00,79.57,79.57,79.57,79.57,335.0,MAN
2023-04-14 14:55:00,79.55,79.55,79.55,79.55,130.0,MAN
2023-04-14 14:52:00,79.68,79.69,79.67,79.67,737.0,MAN
2023-04-14 14:51:00,79.72,79.72,79.72,79.72,121.0,MAN
2023-04-14 14:50:00,79.69,79.71,79.69,79.71,585.0,MAN
2023-04-14 14:49:00,79.68,79.68,79.68,79.68,214.0,MAN
2023-04-14 14:45:00,79.72,79.73,79.72,79.72,431.0,MAN
2023-04-14 14:44:00,79.68,79.685,79.68,79.685,260.0,MAN
2023-04-14 14:42:00,79.73,79.73,79.7,79.7,866.0,MAN
2023-04-14 14:41:00,79.75,79.76,79.75,79.76,626.0,MAN
2023-04-14 14:40:00,79.77,79.77,79.77,79.77,174.0,MAN
2023-04-14 14:39:00,79.76,79.76,79.76,79.76,308.0,MAN
2023-04-14 14:38:00,79.79,79.79,79.765,79.765,228.0,MAN
2023-04-14 14:37:00,79.79,79.79,79.79,79.79,244.0,MAN
2023-04-14 14:30:00,79.66,79.72,79.66,79.72,1162.0,MAN
2023-04-14 14:29:00,79.63,79.63,79.625,79.625,332.0,MAN
2023-04-14 14:28:00,79.62,79.62,79.62,79.62,216.0,MAN
2023-04-14 14:26:00,79.61,79.61,79.585,79.585,405.0,MAN
2023-04-14 14:24:00,79.61,79.61,79.61,79.61,427.0,MAN
2023-04-14 14:22:00,79.56,79.56,79.56,79.56,105.0,MAN
2023-04-14 14:19:00,79.58,79.58,79.58,79.58,178.0,MAN
2023-04-14 14:16:00,79.54,79.54,79.54,79.54,601.0,MAN
2023-04-14 14:10:00,79.54,79.54,79.54,79.54,100.0,MAN
2023-04-14 14:07:00,79.38,79.45,79.38,79.45,1043.0,MAN
2023-04-14 14:05:00,79.39,79.39,79.38,79.38,809.0,MAN
2023-04-14 14:01:00,79.43,79.5,79.43,79.5,641.0,MAN
2023-04-14 13:55:00,79.36,79.36,79.36,79.36,308.0,MAN
2023-04-14 13:52:00,79.31,79.36,79.31,79.36,281.0,MAN
2023-04-14 13:51:00,79.34,79.34,79.34,79.34,175.0,MAN
2023-04-14 13:50:00,79.3,79.3,79.3,79.3,140.0,MAN
2023-04-14 13:48:00,79.25,79.27,79.25,79.27,798.0,MAN
2023-04-14 13:46:00,79.2,79.2,79.2,79.2,555.0,MAN
2023-04-14 13:45:00,79.22,79.22,79.21,79.21,414.0,MAN
2023-04-14 13:44:00,79.26,79.26,79.26,79.26,245.0,MAN
2023-04-14 13:43:00,79.28,79.28,79.28,79.28,116.0,MAN
2023-04-14 13:42:00,79.28,79.28,79.28,79.28,404.0,MAN
2023-04-14 13:41:00,79.28,79.31,79.23,79.31,1901.0,MAN
2023-04-14 13:36:00,79.26,79.26,79.26,79.26,302.0,MAN
2023-04-14 13:26:00,79.48,79.48,79.48,79.48,385.0,MAN
2023-04-14 13:24:00,79.54,79.54,79.51,79.52,496.0,MAN
2023-04-14 13:23:00,79.51,79.51,79.51,79.51,312.0,MAN
2023-04-14 13:22:00,79.51,79.515,79.51,79.515,522.0,MAN
2023-04-14 13:19:00,79.5814,79.5814,79.5814,79.5814,422.0,MAN
2023-04-14 13:15:00,79.545,79.545,79.545,79.545,208.0,MAN
2023-04-14 13:12:00,79.56,79.56,79.55,79.55,414.0,MAN
2023-04-14 13:08:00,79.55,79.55,79.55,79.55,104.0,MAN
2023-04-14 13:07:00,79.56,79.56,79.54,79.54,673.0,MAN
2023-04-14 13:06:00,79.61,79.61,79.61,79.61,107.0,MAN
2023-04-14 13:05:00,79.57,79.57,79.57,79.57,314.0,MAN
2023-04-14 13:01:00,79.51,79.54,79.51,79.54,613.0,MAN
2023-04-14 12:57:00,79.395,79.5,79.385,79.5,791.0,MAN
2023-04-14 12:55:00,79.39,79.39,79.39,79.39,345.0,MAN
2023-04-14 12:53:00,79.46,79.46,79.46,79.46,273.0,MAN
2023-04-14 12:52:00,79.51,79.51,79.46,79.46,583.0,MAN
2023-04-14 12:50:00,79.59,79.59,79.59,79.59,269.0,MAN
2023-04-14 12:48:00,79.51,79.55,79.51,79.55,505.0,MAN
2023-04-14 12:47:00,79.505,79.505,79.505,79.505,101.0,MAN
2023-04-14 12:45:00,79.51,79.51,79.505,79.505,329.0,MAN
2023-04-14 12:43:00,79.54,79.54,79.54,79.54,151.0,MAN
2023-04-14 12:42:00,79.57,79.57,79.57,79.57,446.0,MAN
2023-04-14 12:41:00,79.55,79.55,79.53,79.53,311.0,MAN
2023-04-14 12:40:00,79.54,79.54,79.54,79.54,156.0,MAN
2023-04-14 12:37:00,79.62,79.62,79.62,79.62,349.0,MAN
2023-04-14 12:35:00,79.74,79.74,79.74,79.74,518.0,MAN
2023-04-14 12:34:00,79.79,79.79,79.77,79.77,771.0,MAN
2023-04-14 12:32:00,79.79,79.79,79.77,79.77,906.0,MAN
2023-04-14 12:27:00,79.88,79.88,79.88,79.88,110.0,MAN
2023-04-14 12:24:00,79.895,79.895,79.895,79.895,480.0,MAN
2023-04-14 12:23:00,79.82,79.82,79.82,79.82,696.0,MAN
2023-04-14 12:22:00,79.77,79.77,79.77,79.77,102.0,MAN
2023-04-14 12:21:00,79.8,79.8,79.8,79.8,151.0,MAN
2023-04-14 12:20:00,79.85,79.85,79.85,79.85,105.0,MAN
2023-04-14 12:18:00,79.84,79.84,79.84,79.84,870.0,MAN
2023-04-14 12:16:00,79.93,79.93,79.93,79.93,550.0,MAN
2023-04-14 12:13:00,79.94,79.94,79.94,79.94,266.0,MAN
2023-04-14 12:11:00,79.93,79.93,79.93,79.93,153.0,MAN
2023-04-14 12:10:00,79.9,79.93,79.9,79.93,542.0,MAN
2023-04-14 12:09:00,79.85,79.85,79.85,79.85,102.0,MAN
2023-04-14 12:07:00,79.9,79.9,79.86,79.86,462.0,MAN
2023-04-14 12:05:00,80.02,80.02,79.97,79.97,681.0,MAN
2023-04-14 12:04:00,80.06,80.07,80.02,80.07,1086.0,MAN
2023-04-14 12:01:00,79.97,79.97,79.97,79.97,201.0,MAN
2023-04-14 11:59:00,79.9,79.9,79.9,79.9,300.0,MAN
2023-04-14 11:57:00,79.8954,79.8954,79.8954,79.8954,111.0,MAN
2023-04-14 11:55:00,79.89,79.89,79.88,79.88,305.0,MAN
2023-04-14 11:54:00,79.84,79.85,79.84,79.85,467.0,MAN
2023-04-14 11:53:00,79.805,79.805,79.805,79.805,232.0,MAN
2023-04-14 11:52:00,79.81,79.81,79.81,79.81,533.0,MAN
2023-04-14 11:50:00,80.025,80.025,79.97,80.0,564.0,MAN
2023-04-14 11:46:00,80.005,80.05,80.005,80.05,866.0,MAN
2023-04-14 11:45:00,79.94,79.95,79.94,79.95,1001.0,MAN
2023-04-14 11:44:00,79.96,79.96,79.92,79.925,391.0,MAN
2023-04-14 11:43:00,79.95,79.95,79.95,79.95,319.0,MAN
2023-04-14 11:41:00,80.03,80.03,80.0,80.0,729.0,MAN
2023-04-14 11:40:00,80.17,80.17,80.09,80.09,210.0,MAN
2023-04-14 11:38:00,80.15,80.15,80.115,80.115,396.0,MAN
2023-04-14 11:37:00,80.1,80.18,80.1,80.1525,438.0,MAN
2023-04-14 11:35:00,80.12,80.12,80.12,80.12,194.0,MAN
2023-04-14 11:34:00,80.09,80.09,80.09,80.09,328.0,MAN
2023-04-14 11:33:00,80.13,80.16,80.13,80.16,244.0,MAN
2023-04-14 11:32:00,80.16,80.16,80.16,80.16,222.0,MAN
2023-04-14 11:30:00,80.23,80.23,80.23,80.23,102.0,MAN
2023-04-14 11:29:00,80.145,80.145,80.145,80.145,100.0,MAN
2023-04-14 11:28:00,80.12,80.15,80.12,80.15,997.0,MAN
2023-04-14 11:27:00,80.1,80.11,80.05,80.07,813.0,MAN
2023-04-14 11:26:00,80.1,80.16,80.1,80.105,480.0,MAN
2023-04-14 11:25:00,80.165,80.165,80.13,80.16,709.0,MAN
2023-04-14 11:24:00,80.175,80.175,80.175,80.175,121.0,MAN
2023-04-14 11:23:00,80.135,80.2,80.135,80.2,497.0,MAN
2023-04-14 11:20:00,80.11,80.14,80.11,80.12,957.0,MAN
2023-04-14 11:19:00,80.15,80.15,80.13,80.13,440.0,MAN
2023-04-14 11:18:00,80.14,80.145,80.14,80.145,523.0,MAN
2023-04-14 11:17:00,80.19,80.21,80.15,80.18,1508.0,MAN
2023-04-14 11:16:00,80.24,80.24,80.24,80.24,370.0,MAN
2023-04-14 11:14:00,80.27,80.27,80.24,80.24,869.0,MAN
2023-04-14 11:13:00,80.28,80.28,80.28,80.28,409.0,MAN
2023-04-14 11:12:00,80.2206,80.26,80.2,80.2,1152.0,MAN
2023-04-14 11:11:00,80.27,80.3,80.27,80.28,1669.0,MAN
2023-04-14 11:10:00,80.27,80.28,80.27,80.27,740.0,MAN
2023-04-14 11:08:00,80.32,80.32,80.32,80.32,124.0,MAN
2023-04-14 11:07:00,80.31,80.32,80.31,80.32,408.0,MAN
2023-04-14 11:06:00,80.23,80.32,80.23,80.32,1500.0,MAN
2023-04-14 11:05:00,80.225,80.225,80.225,80.225,117.0,MAN
2023-04-14 11:04:00,80.18,80.25,80.175,80.22,2659.0,MAN
2023-04-14 11:03:00,80.04,80.17,80.04,80.17,1789.0,MAN
2023-04-14 11:02:00,80.1875,80.1875,80.13,80.13,317.0,MAN
2023-04-14 11:01:00,80.235,80.235,80.235,80.235,301.0,MAN
2023-04-14 11:00:00,80.35,80.365,80.18,80.18,721.0,MAN
2023-04-14 10:59:00,80.245,80.33,80.24,80.3,1027.0,MAN
2023-04-14 10:58:00,80.105,80.245,80.105,80.245,846.0,MAN
2023-04-14 10:57:00,80.115,80.115,80.11,80.11,207.0,MAN
2023-04-14 10:56:00,80.08,80.08,80.08,80.08,105.0,MAN
2023-04-14 10:55:00,80.095,80.095,80.095,80.095,123.0,MAN
2023-04-14 10:54:00,80.115,80.115,80.115,80.115,107.0,MAN
2023-04-14 10:51:00,80.14,80.14,80.12,80.12,309.0,MAN
2023-04-14 10:49:00,80.275,80.275,80.275,80.275,433.0,MAN
2023-04-14 10:47:00,80.17,80.17,80.17,80.17,100.0,MAN
2023-04-14 10:45:00,80.19,80.19,80.19,80.19,169.0,MAN
2023-04-14 10:43:00,80.09,80.17,80.09,80.17,565.0,MAN
2023-04-14 10:42:00,80.24,80.25,80.24,80.25,563.0,MAN
2023-04-14 10:41:00,80.3,80.3,80.3,80.3,259.0,MAN
2023-04-14 10:38:00,80.12,80.17,80.11,80.17,978.0,MAN
