date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-05-12 18:40:00,1.21,1.21,1.21,1.21,100.0,MBOT
2023-05-12 16:00:00,1.2,1.2,1.2,1.2,1499.0,MBOT
2023-05-12 15:58:00,1.2,1.2,1.2,1.2,100.0,MBOT
2023-05-12 15:57:00,1.195,1.2,1.19,1.1999,5594.0,MBOT
2023-05-12 15:56:00,1.2,1.2,1.2,1.2,700.0,MBOT
2023-05-12 15:55:00,1.2,1.2,1.2,1.2,500.0,MBOT
2023-05-12 15:54:00,1.2,1.2,1.193,1.2,2632.0,MBOT
2023-05-12 15:53:00,1.2,1.2,1.2,1.2,3155.0,MBOT
2023-05-12 15:51:00,1.1986,1.1986,1.1986,1.1986,1000.0,MBOT
2023-05-12 15:50:00,1.19,1.19,1.19,1.19,104.0,MBOT
2023-05-12 15:49:00,1.1918,1.1918,1.1918,1.1918,200.0,MBOT
2023-05-12 15:46:00,1.19,1.19,1.19,1.19,100.0,MBOT
2023-05-12 15:42:00,1.2,1.2,1.2,1.2,100.0,MBOT
2023-05-12 15:32:00,1.1834,1.1834,1.1834,1.1834,478.0,MBOT
2023-05-12 15:25:00,1.18,1.19,1.18,1.18,2784.0,MBOT
2023-05-12 15:24:00,1.19,1.19,1.18,1.19,990.0,MBOT
2023-05-12 15:23:00,1.19,1.19,1.19,1.19,200.0,MBOT
2023-05-12 15:22:00,1.19,1.19,1.189,1.189,200.0,MBOT
2023-05-12 15:10:00,1.16,1.16,1.16,1.16,100.0,MBOT
2023-05-12 14:57:00,1.1633,1.1633,1.1633,1.1633,200.0,MBOT
2023-05-12 14:50:00,1.16,1.16,1.16,1.16,101.0,MBOT
2023-05-12 14:45:00,1.16,1.1601,1.16,1.1601,850.0,MBOT
2023-05-12 14:41:00,1.1855,1.1855,1.17,1.17,250.0,MBOT
2023-05-12 14:30:00,1.19,1.19,1.175,1.175,515.0,MBOT
2023-05-12 14:28:00,1.1748,1.1748,1.1748,1.1748,100.0,MBOT
2023-05-12 14:27:00,1.175,1.175,1.175,1.175,100.0,MBOT
2023-05-12 14:18:00,1.17,1.17,1.17,1.17,807.0,MBOT
2023-05-12 14:13:00,1.1683,1.1683,1.1683,1.1683,400.0,MBOT
2023-05-12 14:08:00,1.16,1.16,1.16,1.16,300.0,MBOT
2023-05-12 13:54:00,1.17,1.17,1.17,1.17,1590.0,MBOT
2023-05-12 13:48:00,1.17,1.17,1.17,1.17,400.0,MBOT
2023-05-12 13:47:00,1.17,1.17,1.17,1.17,750.0,MBOT
2023-05-12 13:44:00,1.17,1.17,1.17,1.17,100.0,MBOT
2023-05-12 13:42:00,1.18,1.18,1.18,1.18,100.0,MBOT
2023-05-12 13:26:00,1.16,1.17,1.16,1.17,424.0,MBOT
2023-05-12 13:25:00,1.17,1.17,1.169,1.17,878.0,MBOT
2023-05-12 13:23:00,1.1699,1.1699,1.1699,1.1699,200.0,MBOT
2023-05-12 13:22:00,1.17,1.17,1.17,1.17,409.0,MBOT
2023-05-12 13:21:00,1.15,1.15,1.15,1.15,1963.0,MBOT
2023-05-12 13:20:00,1.15,1.15,1.14,1.14,881.0,MBOT
2023-05-12 13:19:00,1.15,1.15,1.15,1.15,100.0,MBOT
2023-05-12 13:05:00,1.14,1.14,1.14,1.14,125.0,MBOT
2023-05-12 13:03:00,1.14,1.14,1.14,1.14,102.0,MBOT
2023-05-12 13:00:00,1.14,1.14,1.14,1.14,100.0,MBOT
2023-05-12 12:54:00,1.15,1.15,1.15,1.15,100.0,MBOT
2023-05-12 12:52:00,1.143,1.143,1.143,1.143,522.0,MBOT
2023-05-12 12:41:00,1.15,1.16,1.15,1.16,2000.0,MBOT
