date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-04-17 15:49:00,17.12,17.12,17.12,17.12,101.0,PKBK
2023-04-17 15:07:00,17.2467,17.2467,17.2467,17.2467,100.0,PKBK
2023-04-17 14:58:00,17.1201,17.1201,17.1201,17.1201,100.0,PKBK
2023-04-17 14:33:00,17.15,17.21,17.15,17.21,618.0,PKBK
2023-04-17 12:56:00,17.11,17.11,17.11,17.11,389.0,PKBK
2023-04-17 12:48:00,17.09,17.09,17.09,17.09,253.0,PKBK
2023-04-17 12:43:00,17.1432,17.1432,17.1432,17.1432,520.0,PKBK
2023-04-17 11:46:00,17.19,17.29,17.09,17.09,3719.0,PKBK
2023-04-17 11:43:00,17.1762,17.1762,17.1762,17.1762,424.0,PKBK
2023-04-17 10:56:00,17.1973,17.2,17.1973,17.2,313.0,PKBK
2023-04-17 10:55:00,17.2373,17.2373,17.23,17.23,200.0,PKBK
2023-04-17 09:57:00,17.414,17.414,17.17,17.17,1394.0,PKBK
2023-04-17 09:31:00,17.07,17.07,17.07,17.07,349.0,PKBK
2023-04-14 16:02:00,17.15,17.15,17.15,17.15,609.0,PKBK
2023-04-14 16:00:00,17.13,17.16,17.13,17.16,917.0,PKBK
2023-04-14 15:55:00,17.12,17.12,17.12,17.12,195.0,PKBK
2023-04-14 15:19:00,17.175,17.175,17.175,17.175,188.0,PKBK
2023-04-14 15:16:00,17.16,17.16,17.16,17.16,401.0,PKBK
2023-04-14 15:04:00,17.18,17.18,17.18,17.18,129.0,PKBK
2023-04-14 15:03:00,17.19,17.2,17.19,17.2,500.0,PKBK
2023-04-14 14:45:00,17.19,17.19,17.19,17.19,232.0,PKBK
2023-04-14 14:43:00,17.15,17.17,17.15,17.17,642.0,PKBK
2023-04-14 14:16:00,17.22,17.22,17.22,17.22,211.0,PKBK
2023-04-14 14:13:00,17.17,17.17,17.17,17.17,285.0,PKBK
2023-04-14 14:12:00,17.16,17.16,17.16,17.16,136.0,PKBK
2023-04-14 14:11:00,17.16,17.16,17.16,17.16,131.0,PKBK
2023-04-14 13:22:00,17.09,17.09,17.09,17.09,100.0,PKBK
2023-04-14 12:40:00,17.2263,17.2263,17.2263,17.2263,105.0,PKBK
2023-04-14 12:12:00,17.21,17.21,17.21,17.21,318.0,PKBK
2023-04-14 11:54:00,17.2501,17.2537,17.2,17.2,3320.0,PKBK
2023-04-14 11:43:00,17.34,17.34,17.3,17.3,3700.0,PKBK
2023-04-14 11:39:00,17.35,17.35,17.35,17.35,115.0,PKBK
2023-04-14 11:33:00,17.39,17.39,17.39,17.39,298.0,PKBK
2023-04-14 11:08:00,17.42,17.42,17.42,17.42,1430.0,PKBK
2023-04-14 11:06:00,17.43,17.43,17.43,17.43,158.0,PKBK
2023-04-14 10:32:00,17.535,17.535,17.535,17.535,298.0,PKBK
2023-04-13 15:58:00,17.62,17.62,17.62,17.62,102.0,PKBK
2023-04-13 15:57:00,17.5,17.5,17.5,17.5,126.0,PKBK
2023-04-13 15:55:00,17.6,17.6,17.6,17.6,406.0,PKBK
2023-04-13 15:53:00,17.6,17.63,17.6,17.63,300.0,PKBK
2023-04-13 15:51:00,17.58,17.58,17.58,17.58,106.0,PKBK
2023-04-13 15:50:00,17.57,17.57,17.57,17.57,179.0,PKBK
2023-04-13 15:48:00,17.54,17.54,17.54,17.54,302.0,PKBK
2023-04-13 15:41:00,17.51,17.51,17.51,17.51,447.0,PKBK
2023-04-13 15:40:00,17.465,17.465,17.46,17.46,452.0,PKBK
2023-04-13 15:38:00,17.44,17.44,17.44,17.44,302.0,PKBK
2023-04-13 15:37:00,17.45,17.45,17.43,17.43,242.0,PKBK
2023-04-13 15:36:00,17.47,17.47,17.47,17.47,198.0,PKBK
2023-04-13 15:34:00,17.5,17.5,17.5,17.5,200.0,PKBK
2023-04-13 15:31:00,17.47,17.47,17.47,17.47,339.0,PKBK
2023-04-13 15:30:00,17.47,17.47,17.47,17.47,200.0,PKBK
2023-04-13 15:28:00,17.5,17.5,17.5,17.5,238.0,PKBK
2023-04-13 15:19:00,17.4686,17.4686,17.4686,17.4686,609.0,PKBK
2023-04-13 14:41:00,17.32,17.32,17.32,17.32,336.0,PKBK
2023-04-13 13:02:00,17.37,17.37,17.37,17.37,324.0,PKBK
2023-04-13 11:56:00,17.43,17.43,17.43,17.43,960.0,PKBK
2023-04-13 11:55:00,17.4299,17.4299,17.4299,17.4299,236.0,PKBK
2023-04-13 09:31:00,17.24,17.24,17.24,17.24,771.0,PKBK
2023-04-12 16:01:00,17.34,17.34,17.34,17.34,132.0,PKBK
2023-04-12 16:00:00,17.27,17.34,17.27,17.34,1504.0,PKBK
2023-04-12 15:14:00,17.47,17.47,17.47,17.47,100.0,PKBK
2023-04-12 14:49:00,17.48,17.48,17.48,17.48,100.0,PKBK
2023-04-12 14:02:00,17.45,17.45,17.45,17.45,100.0,PKBK
2023-04-12 13:11:00,17.46,17.46,17.46,17.46,100.0,PKBK
2023-04-12 12:05:00,17.34,17.34,17.34,17.34,100.0,PKBK
2023-04-12 12:04:00,17.55,17.55,17.55,17.55,100.0,PKBK
2023-04-11 16:02:00,17.26,17.26,17.26,17.26,136.0,PKBK
2023-04-11 16:01:00,17.26,17.26,17.26,17.26,263.0,PKBK
2023-04-11 16:00:00,17.285,17.285,17.23,17.23,569.0,PKBK
2023-04-11 15:59:00,17.23,17.23,17.23,17.23,424.0,PKBK
2023-04-11 15:57:00,17.22,17.22,17.22,17.22,300.0,PKBK
2023-04-11 15:52:00,17.245,17.245,17.245,17.245,247.0,PKBK
2023-04-11 13:13:00,17.35,17.35,17.35,17.35,144.0,PKBK
2023-04-11 12:46:00,17.27,17.27,17.25,17.2501,16031.0,PKBK
2023-04-11 12:21:00,17.24,17.25,17.24,17.25,2896.0,PKBK
2023-04-11 10:51:00,17.2,17.2,17.2,17.2,229.0,PKBK
2023-04-11 10:12:00,17.3,17.3,17.3,17.3,264.0,PKBK
2023-04-11 09:44:00,17.465,17.465,17.465,17.465,100.0,PKBK
2023-04-11 09:31:00,17.25,17.25,17.25,17.25,115.0,PKBK
2023-04-10 16:02:00,17.29,17.29,17.29,17.29,1070.0,PKBK
2023-04-10 16:01:00,17.29,17.29,17.29,17.29,953.0,PKBK
2023-04-10 16:00:00,17.27,17.35,17.26,17.35,1416.0,PKBK
2023-04-10 15:58:00,17.39,17.39,17.39,17.39,217.0,PKBK
2023-04-10 15:27:00,17.3,17.3,17.3,17.3,200.0,PKBK
2023-04-10 15:23:00,17.3,17.3,17.3,17.3,359.0,PKBK
2023-04-10 14:46:00,17.23,17.23,17.23,17.23,312.0,PKBK
2023-04-10 14:25:00,17.275,17.275,17.275,17.275,131.0,PKBK
2023-04-10 13:50:00,17.29,17.29,17.29,17.29,110.0,PKBK
2023-04-10 13:18:00,17.205,17.205,17.205,17.205,100.0,PKBK
2023-04-10 13:14:00,17.1673,17.1673,17.145,17.145,600.0,PKBK
2023-04-10 13:00:00,17.1873,17.19,17.1873,17.19,200.0,PKBK
2023-04-10 12:59:00,17.18,17.19,17.18,17.19,420.0,PKBK
2023-04-10 12:58:00,17.17,17.17,17.17,17.17,284.0,PKBK
2023-04-10 12:50:00,17.2216,17.2295,17.2216,17.2295,220.0,PKBK
2023-04-10 12:20:00,17.23,17.23,17.23,17.23,100.0,PKBK
2023-04-10 12:02:00,17.28,17.28,17.28,17.28,100.0,PKBK
2023-04-10 11:05:00,17.2,17.2,17.2,17.2,150.0,PKBK
2023-04-10 11:01:00,17.25,17.25,17.25,17.25,534.0,PKBK
2023-04-10 10:45:00,17.28,17.28,17.28,17.28,107.0,PKBK
2023-04-10 10:34:00,17.28,17.28,17.28,17.28,102.0,PKBK
2023-04-10 10:30:00,17.295,17.295,17.295,17.295,597.0,PKBK
2023-04-10 10:15:00,17.29,17.29,17.29,17.29,161.0,PKBK
2023-04-10 10:10:00,17.29,17.29,17.29,17.29,257.0,PKBK
2023-04-10 09:31:00,17.05,17.05,17.05,17.05,155.0,PKBK
2023-04-06 16:02:00,17.11,17.11,17.11,17.11,908.0,PKBK
2023-04-06 15:55:00,17.1,17.1,17.1,17.1,208.0,PKBK
2023-04-06 15:40:00,17.09,17.09,17.09,17.09,331.0,PKBK
2023-04-06 15:36:00,17.09,17.09,17.09,17.09,121.0,PKBK
2023-04-06 15:35:00,17.09,17.09,17.09,17.09,104.0,PKBK
2023-04-06 15:33:00,17.09,17.09,17.09,17.09,154.0,PKBK
2023-04-06 15:22:00,17.09,17.09,17.09,17.09,140.0,PKBK
2023-04-06 15:18:00,17.09,17.09,17.09,17.09,487.0,PKBK
2023-04-06 15:13:00,17.09,17.09,17.09,17.09,220.0,PKBK
2023-04-06 14:49:00,17.09,17.09,17.09,17.09,380.0,PKBK
2023-04-06 14:48:00,17.09,17.09,17.09,17.09,340.0,PKBK
2023-04-06 14:25:00,17.105,17.105,17.105,17.105,200.0,PKBK
2023-04-06 14:20:00,17.06,17.06,17.05,17.05,589.0,PKBK
2023-04-06 14:15:00,17.06,17.06,17.06,17.06,529.0,PKBK
2023-04-06 14:14:00,17.09,17.09,17.09,17.09,395.0,PKBK
2023-04-06 14:12:00,17.09,17.09,17.09,17.09,292.0,PKBK
2023-04-06 14:06:00,17.11,17.11,17.11,17.11,124.0,PKBK
2023-04-06 14:01:00,17.09,17.09,17.05,17.05,731.0,PKBK
2023-04-06 10:58:00,17.1743,17.1743,17.1743,17.1743,246.0,PKBK
2023-04-06 09:43:00,17.09,17.09,17.09,17.09,250.0,PKBK
2023-04-06 09:38:00,17.06,17.06,17.06,17.06,512.0,PKBK
2023-04-06 09:31:00,17.05,17.05,17.05,17.05,502.0,PKBK
2023-04-05 16:02:00,17.011,17.011,17.011,17.011,473.0,PKBK
2023-04-05 16:00:00,17.0209,17.0209,17.0209,17.0209,1103.0,PKBK
2023-04-05 15:57:00,17.0506,17.0506,17.0506,17.0506,176.0,PKBK
2023-04-05 15:52:00,16.9814,16.9814,16.9814,16.9814,290.0,PKBK
2023-04-05 15:51:00,16.9121,16.9121,16.9121,16.9121,638.0,PKBK
2023-04-05 15:41:00,16.8725,16.8725,16.8725,16.8725,707.0,PKBK
2023-04-05 15:40:00,16.8824,16.8824,16.8824,16.8824,222.0,PKBK
2023-04-05 15:37:00,16.8725,16.8725,16.8725,16.8725,100.0,PKBK
2023-04-05 15:36:00,16.8726,16.8726,16.8725,16.8725,746.0,PKBK
2023-04-05 15:34:00,16.9121,16.9121,16.9121,16.9121,200.0,PKBK
2023-04-05 15:32:00,16.9121,16.9121,16.9121,16.9121,100.0,PKBK
2023-04-05 15:31:00,16.9121,16.9121,16.9121,16.9121,100.0,PKBK
2023-04-05 15:27:00,17.0902,17.0902,16.9121,16.9121,394.0,PKBK
2023-04-05 15:22:00,16.922,16.922,16.922,16.922,140.0,PKBK
2023-04-05 15:19:00,16.8824,16.8824,16.8824,16.8824,100.0,PKBK
2023-04-05 15:14:00,16.9319,16.9319,16.9319,16.9319,100.0,PKBK
2023-04-05 15:11:00,16.9319,16.9319,16.9319,16.9319,177.0,PKBK
2023-04-05 15:08:00,16.9517,16.9517,16.9517,16.9517,100.0,PKBK
2023-04-05 15:06:00,16.922,16.922,16.922,16.922,194.0,PKBK
2023-04-05 15:03:00,16.9319,16.9319,16.9319,16.9319,100.0,PKBK
2023-04-05 15:01:00,16.9319,16.9319,16.9319,16.9319,100.0,PKBK
2023-04-05 15:00:00,16.9269,16.9269,16.9269,16.9269,343.0,PKBK
2023-04-05 14:59:00,16.9368,16.9368,16.9269,16.9269,320.0,PKBK
2023-04-05 14:58:00,17.011,17.011,17.011,17.011,201.0,PKBK
2023-04-05 14:56:00,17.011,17.011,17.011,17.011,100.0,PKBK
2023-04-05 14:55:00,17.1674,17.1674,17.0902,17.1667,820.0,PKBK
2023-04-05 14:54:00,16.922,17.1496,16.922,17.1496,1600.0,PKBK
2023-04-05 14:52:00,17.0704,17.0704,17.0011,17.0053,2924.0,PKBK
2023-04-05 14:51:00,17.0605,17.0605,17.0605,17.0605,100.0,PKBK
2023-04-05 14:47:00,17.0704,17.0704,17.0704,17.0704,100.0,PKBK
2023-04-05 14:44:00,17.0704,17.0704,17.0704,17.0704,103.0,PKBK
2023-04-05 14:40:00,17.11,17.11,17.11,17.11,352.0,PKBK
2023-04-05 14:33:00,17.11,17.11,17.11,17.11,117.0,PKBK
2023-04-05 14:30:00,17.11,17.11,17.11,17.11,164.0,PKBK
2023-04-05 14:27:00,17.1397,17.1397,17.1397,17.1397,102.0,PKBK
2023-04-05 14:24:00,17.1397,17.1397,17.1397,17.1397,101.0,PKBK
2023-04-05 14:21:00,17.1892,17.1892,17.1595,17.1595,584.0,PKBK
2023-04-05 14:20:00,17.1496,17.1793,17.1496,17.1793,300.0,PKBK
2023-04-05 14:19:00,17.11,17.11,17.11,17.11,100.0,PKBK
2023-04-05 14:17:00,17.11,17.11,17.11,17.11,120.0,PKBK
2023-04-05 14:14:00,17.11,17.11,17.11,17.11,119.0,PKBK
2023-04-05 14:12:00,17.11,17.1892,17.11,17.1892,214.0,PKBK
2023-04-05 14:07:00,17.1298,17.1298,17.1298,17.1298,100.0,PKBK
2023-04-05 14:01:00,17.1298,17.1298,17.1298,17.1298,194.0,PKBK
2023-04-05 13:57:00,17.1298,17.1298,17.1298,17.1298,100.0,PKBK
2023-04-05 13:48:00,17.3079,17.3079,17.2881,17.2881,350.0,PKBK
2023-04-05 13:25:00,17.3999,17.4042,17.3574,17.3574,620.0,PKBK
2023-04-05 13:13:00,17.3079,17.3079,17.3079,17.3079,148.0,PKBK
2023-04-05 10:30:00,17.5454,17.5454,17.5454,17.5454,115.0,PKBK
2023-04-05 09:31:00,17.4465,17.4465,17.4465,17.4465,108.0,PKBK
2023-04-04 16:02:00,17.5157,17.5157,17.5157,17.5157,786.0,PKBK
2023-04-04 16:00:00,17.4168,17.5553,17.4069,17.4663,3898.0,PKBK
2023-04-04 15:59:00,17.4267,17.4267,17.4267,17.4267,438.0,PKBK
2023-04-04 15:13:00,17.5553,17.5553,17.5553,17.5553,251.0,PKBK
2023-04-04 14:15:00,17.5454,17.5454,17.5454,17.5454,100.0,PKBK
2023-04-04 14:14:00,17.4663,17.4663,17.4663,17.4663,105.0,PKBK
2023-04-04 14:11:00,17.486,17.486,17.486,17.486,732.0,PKBK
2023-04-04 13:48:00,17.5454,17.5454,17.5454,17.5454,270.0,PKBK
2023-04-04 13:46:00,17.5256,17.5256,17.5058,17.5058,812.0,PKBK
2023-04-04 13:45:00,17.5256,17.5256,17.5256,17.5256,200.0,PKBK
2023-04-04 13:35:00,17.5652,17.5652,17.5652,17.5652,190.0,PKBK
2023-04-04 13:11:00,17.5751,17.5751,17.5751,17.5751,325.0,PKBK
2023-04-04 12:09:00,17.5157,17.5157,17.5157,17.5157,200.0,PKBK
