date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-05-16 16:04:00,139.33,139.33,139.33,139.33,96573.0,PPG
2023-05-16 16:00:00,139.48,139.49,139.31,139.33,40309.0,PPG
2023-05-16 15:59:00,139.5,139.62,139.48,139.485,21394.0,PPG
2023-05-16 15:58:00,139.545,139.57,139.49,139.495,17047.0,PPG
2023-05-16 15:57:00,139.52,139.57,139.5,139.56,14466.0,PPG
2023-05-16 15:56:00,139.565,139.6,139.52,139.53,16677.0,PPG
2023-05-16 15:55:00,139.62,139.625,139.55,139.56,6826.0,PPG
2023-05-16 15:54:00,139.57,139.64,139.57,139.61,10705.0,PPG
2023-05-16 15:53:00,139.75,139.76,139.555,139.56,7608.0,PPG
2023-05-16 15:52:00,139.695,139.78,139.67,139.78,17921.0,PPG
2023-05-16 15:51:00,139.85,139.88,139.69,139.705,19193.0,PPG
2023-05-16 15:50:00,139.895,139.93,139.86,139.88,9774.0,PPG
2023-05-16 15:49:00,139.925,139.93,139.89,139.895,6408.0,PPG
2023-05-16 15:48:00,139.94,139.98,139.94,139.95,4594.0,PPG
2023-05-16 15:47:00,139.9225,139.965,139.92,139.92,4469.0,PPG
2023-05-16 15:46:00,139.92,139.93,139.89,139.915,8752.0,PPG
2023-05-16 15:45:00,139.93,139.95,139.92,139.925,2823.0,PPG
2023-05-16 15:44:00,139.95,139.97,139.9,139.92,4547.0,PPG
2023-05-16 15:43:00,140.01,140.01,139.98,139.98,2977.0,PPG
2023-05-16 15:42:00,139.97,139.995,139.96,139.995,3208.0,PPG
2023-05-16 15:41:00,139.98,139.98,139.93,139.97,5130.0,PPG
2023-05-16 15:40:00,139.96,140.0,139.94,140.0,2938.0,PPG
2023-05-16 15:39:00,139.895,140.0,139.895,139.98,4176.0,PPG
2023-05-16 15:38:00,139.93,139.93,139.86,139.91,5889.0,PPG
2023-05-16 15:37:00,139.94,139.96,139.88,139.91,4686.0,PPG
2023-05-16 15:36:00,139.93,139.96,139.92,139.93,3805.0,PPG
2023-05-16 15:35:00,139.875,139.91,139.875,139.9,3450.0,PPG
2023-05-16 15:34:00,139.86,139.91,139.86,139.885,3312.0,PPG
2023-05-16 15:33:00,139.795,139.89,139.785,139.875,3334.0,PPG
2023-05-16 15:32:00,139.8,139.86,139.8,139.8,4443.0,PPG
2023-05-16 15:31:00,139.81,139.84,139.77,139.8,6551.0,PPG
2023-05-16 15:30:00,139.79,139.83,139.79,139.81,3916.0,PPG
2023-05-16 15:29:00,139.845,139.845,139.79,139.81,3149.0,PPG
2023-05-16 15:28:00,139.87,139.9,139.85,139.85,4800.0,PPG
2023-05-16 15:27:00,139.85,139.87,139.85,139.87,1542.0,PPG
2023-05-16 15:26:00,139.87,139.9,139.84,139.84,2161.0,PPG
2023-05-16 15:25:00,139.855,139.88,139.83,139.86,2679.0,PPG
