date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-02-22 15:03:00,1.0637,1.0637,1.0637,1.0637,400.0,SSY
2023-02-22 14:51:00,1.06,1.06,1.06,1.06,2100.0,SSY
2023-02-22 14:48:00,1.0599,1.0599,1.0599,1.0599,3000.0,SSY
2023-02-22 14:38:00,1.059,1.059,1.059,1.059,500.0,SSY
2023-02-22 14:36:00,1.06,1.06,1.06,1.06,2600.0,SSY
2023-02-22 14:27:00,1.0525,1.0525,1.0525,1.0525,1400.0,SSY
2023-02-22 14:14:00,1.04,1.04,1.04,1.04,600.0,SSY
2023-02-22 14:13:00,1.07,1.07,1.07,1.07,104.0,SSY
2023-02-22 14:08:00,1.0615,1.0615,1.0615,1.0615,200.0,SSY
2023-02-22 14:02:00,1.055,1.055,1.055,1.055,200.0,SSY
2023-02-22 13:42:00,1.067,1.067,1.067,1.067,500.0,SSY
2023-02-22 13:40:00,1.0579,1.0579,1.0579,1.0579,100.0,SSY
2023-02-22 13:38:00,1.0401,1.0471,1.0401,1.0471,4000.0,SSY
2023-02-22 12:59:00,1.0488,1.0488,1.0488,1.0488,4400.0,SSY
2023-02-22 12:57:00,1.0436,1.0436,1.0436,1.0436,500.0,SSY
2023-02-22 12:55:00,1.0522,1.0522,1.0522,1.0522,100.0,SSY
2023-02-22 12:53:00,1.0522,1.0522,1.0522,1.0522,1600.0,SSY
2023-02-22 12:52:00,1.04,1.04,1.04,1.04,100.0,SSY
2023-02-22 12:51:00,1.045,1.045,1.045,1.045,200.0,SSY
2023-02-22 12:48:00,1.0479,1.0479,1.0479,1.0479,500.0,SSY
2023-02-22 12:47:00,1.0201,1.0201,1.0201,1.0201,200.0,SSY
2023-02-22 12:45:00,1.0478,1.0478,1.0478,1.0478,100.0,SSY
2023-02-22 12:18:00,1.043,1.043,1.043,1.043,200.0,SSY
2023-02-22 12:16:00,1.0414,1.0414,1.0414,1.0414,100.0,SSY
2023-02-22 12:11:00,1.0373,1.0373,1.0373,1.0373,100.0,SSY
2023-02-22 12:02:00,1.0101,1.0101,1.0101,1.0101,100.0,SSY
2023-02-22 11:53:00,1.07,1.07,1.07,1.07,200.0,SSY
2023-02-22 11:48:00,1.0356,1.0356,1.0356,1.0356,100.0,SSY
2023-02-22 11:44:00,1.02,1.02,1.02,1.02,500.0,SSY
2023-02-22 11:41:00,1.05,1.05,1.012,1.012,3100.0,SSY
2023-02-22 11:16:00,1.07,1.07,1.07,1.07,159.0,SSY
2023-02-22 10:56:00,1.07,1.07,1.07,1.07,2156.0,SSY
2023-02-22 10:55:00,1.07,1.07,1.07,1.07,300.0,SSY
2023-02-22 10:52:00,1.0758,1.0758,1.0758,1.0758,200.0,SSY
2023-02-22 10:48:00,1.085,1.085,1.085,1.085,100.0,SSY
2023-02-22 10:43:00,1.0997,1.0997,1.0997,1.0997,4000.0,SSY
2023-02-22 10:38:00,1.07,1.0842,1.07,1.0842,1000.0,SSY
2023-02-22 10:29:00,1.0846,1.0846,1.0834,1.0834,580.0,SSY
2023-02-22 10:16:00,1.0846,1.0846,1.0846,1.0846,100.0,SSY
2023-02-22 09:47:00,1.0739,1.0739,1.0739,1.0739,100.0,SSY
2023-02-22 09:44:00,1.0713,1.0713,1.0713,1.0713,100.0,SSY
2023-02-22 09:42:00,1.075,1.075,1.075,1.075,200.0,SSY
2023-02-22 09:31:00,1.07,1.07,1.07,1.07,198.0,SSY
2023-02-21 16:00:00,1.08,1.08,1.08,1.08,117.0,SSY
2023-02-21 15:43:00,1.0825,1.0825,1.0825,1.0825,100.0,SSY
2023-02-21 15:28:00,1.1,1.1,1.1,1.1,400.0,SSY
2023-02-21 15:22:00,1.0999,1.0999,1.0999,1.0999,158.0,SSY
2023-02-21 15:08:00,1.08,1.08,1.08,1.08,600.0,SSY
2023-02-21 14:50:00,1.0839,1.0839,1.0839,1.0839,100.0,SSY
2023-02-21 14:10:00,1.0801,1.0801,1.0801,1.0801,500.0,SSY
2023-02-21 14:09:00,1.0813,1.0813,1.0801,1.0801,200.0,SSY
2023-02-21 13:54:00,1.09,1.09,1.09,1.09,100.0,SSY
2023-02-21 13:43:00,1.09,1.09,1.09,1.09,202.0,SSY
2023-02-21 13:16:00,1.09,1.09,1.09,1.09,200.0,SSY
2023-02-21 12:58:00,1.09,1.09,1.09,1.09,1500.0,SSY
2023-02-21 12:57:00,1.09,1.1,1.0726,1.0726,2221.0,SSY
