date,1. open,2. high,3. low,4. close,5. volume,Ticker
2023-02-24 16:02:00,43.67,43.67,43.67,43.67,811.0,VPG
2023-02-24 16:00:00,43.64,43.69,43.585,43.69,3197.0,VPG
2023-02-24 15:59:00,43.64,43.65,43.54,43.65,736.0,VPG
2023-02-24 15:58:00,43.57,43.64,43.57,43.64,758.0,VPG
2023-02-24 15:57:00,43.57,43.57,43.57,43.57,234.0,VPG
2023-02-24 15:56:00,43.52,43.54,43.52,43.54,607.0,VPG
2023-02-24 15:55:00,43.47,43.47,43.47,43.47,504.0,VPG
2023-02-24 15:53:00,43.33,43.33,43.33,43.33,586.0,VPG
2023-02-24 15:50:00,43.28,43.28,43.28,43.28,351.0,VPG
2023-02-24 15:47:00,43.32,43.34,43.32,43.32,670.0,VPG
2023-02-24 15:46:00,43.31,43.31,43.31,43.31,141.0,VPG
2023-02-24 15:41:00,43.3,43.3,43.22,43.22,1366.0,VPG
2023-02-24 15:32:00,43.43,43.43,43.43,43.43,198.0,VPG
2023-02-24 15:30:00,43.47,43.47,43.47,43.47,369.0,VPG
2023-02-24 15:23:00,43.56,43.56,43.54,43.54,503.0,VPG
2023-02-24 15:22:00,43.55,43.55,43.55,43.55,301.0,VPG
2023-02-24 15:12:00,43.54,43.54,43.41,43.515,633.0,VPG
2023-02-24 15:11:00,43.55,43.55,43.55,43.55,171.0,VPG
2023-02-24 15:10:00,43.62,43.62,43.62,43.62,105.0,VPG
2023-02-24 15:07:00,43.69,43.69,43.69,43.69,768.0,VPG
2023-02-24 15:00:00,43.765,43.765,43.755,43.755,1281.0,VPG
2023-02-24 14:59:00,43.805,43.805,43.75,43.775,1449.0,VPG
2023-02-24 14:58:00,43.7,43.78,43.7,43.78,631.0,VPG
2023-02-24 14:57:00,43.78,43.8,43.78,43.8,200.0,VPG
2023-02-24 14:55:00,43.715,43.715,43.715,43.715,179.0,VPG
2023-02-24 14:48:00,43.78,43.78,43.78,43.78,120.0,VPG
2023-02-24 14:38:00,43.7223,43.86,43.7223,43.86,1213.0,VPG
2023-02-24 14:36:00,43.7482,43.7482,43.7482,43.7482,190.0,VPG
2023-02-24 14:33:00,43.86,43.86,43.86,43.86,214.0,VPG
2023-02-24 14:28:00,43.89,43.89,43.89,43.89,200.0,VPG
2023-02-24 14:27:00,43.72,43.91,43.72,43.91,1021.0,VPG
2023-02-24 14:23:00,43.71,43.71,43.71,43.71,389.0,VPG
2023-02-24 14:13:00,43.635,43.635,43.635,43.635,243.0,VPG
2023-02-24 14:12:00,43.67,43.77,43.59,43.59,406.0,VPG
2023-02-24 14:00:00,43.78,43.78,43.78,43.78,193.0,VPG
2023-02-24 13:56:00,43.7,43.7,43.7,43.7,250.0,VPG
2023-02-24 13:53:00,43.63,43.63,43.63,43.63,200.0,VPG
2023-02-24 13:44:00,43.53,43.53,43.53,43.53,100.0,VPG
2023-02-24 13:42:00,43.51,43.57,43.51,43.57,511.0,VPG
2023-02-24 13:36:00,43.49,43.49,43.49,43.49,100.0,VPG
2023-02-24 13:20:00,43.4,43.44,43.4,43.44,792.0,VPG
2023-02-24 13:15:00,43.39,43.39,43.39,43.39,200.0,VPG
2023-02-24 13:14:00,43.29,43.29,43.29,43.29,159.0,VPG
2023-02-24 13:12:00,43.32,43.32,43.32,43.32,112.0,VPG
2023-02-24 13:06:00,43.31,43.31,43.31,43.31,110.0,VPG
2023-02-24 13:03:00,43.33,43.33,43.33,43.33,109.0,VPG
2023-02-24 12:56:00,43.26,43.26,43.26,43.26,158.0,VPG
2023-02-24 12:48:00,43.17,43.275,43.17,43.275,449.0,VPG
2023-02-24 12:44:00,43.38,43.38,43.38,43.38,272.0,VPG
2023-02-24 12:41:00,43.27,43.27,43.27,43.27,120.0,VPG
2023-02-24 12:37:00,43.31,43.31,43.31,43.31,110.0,VPG
2023-02-24 12:33:00,43.38,43.38,43.38,43.38,443.0,VPG
2023-02-24 12:25:00,43.25,43.25,43.21,43.21,360.0,VPG
2023-02-24 12:22:00,43.25,43.33,43.25,43.26,1106.0,VPG
2023-02-24 12:05:00,43.3,43.3,43.3,43.3,101.0,VPG
2023-02-24 12:03:00,43.25,43.25,43.25,43.25,112.0,VPG
2023-02-24 11:59:00,43.32,43.32,43.32,43.32,100.0,VPG
2023-02-24 11:56:00,43.21,43.23,43.19,43.23,586.0,VPG
2023-02-24 11:55:00,43.23,43.23,43.23,43.23,132.0,VPG
2023-02-24 11:46:00,43.29,43.29,43.29,43.29,431.0,VPG
2023-02-24 11:36:00,43.245,43.245,43.245,43.245,116.0,VPG
2023-02-24 11:35:00,43.18,43.18,43.18,43.18,107.0,VPG
2023-02-24 11:32:00,43.165,43.18,43.165,43.18,297.0,VPG
2023-02-24 11:31:00,43.0623,43.0623,43.0623,43.0623,120.0,VPG
2023-02-24 11:21:00,43.15,43.15,43.15,43.15,189.0,VPG
2023-02-24 11:03:00,43.16,43.18,43.01,43.01,555.0,VPG
2023-02-24 10:37:00,43.23,43.23,43.23,43.23,372.0,VPG
2023-02-24 10:29:00,43.13,43.13,43.13,43.13,538.0,VPG
2023-02-24 10:28:00,43.13,43.13,43.13,43.13,114.0,VPG
2023-02-24 10:27:00,43.21,43.21,43.2,43.2,539.0,VPG
2023-02-24 10:23:00,43.365,43.365,43.365,43.365,230.0,VPG
2023-02-24 10:21:00,43.4,43.4,43.22,43.22,566.0,VPG
2023-02-24 10:18:00,43.39,43.39,43.39,43.39,123.0,VPG
2023-02-24 10:12:00,43.68,43.68,43.68,43.68,516.0,VPG
2023-02-24 10:04:00,43.735,43.735,43.735,43.735,112.0,VPG
2023-02-24 10:02:00,43.85,43.85,43.85,43.85,201.0,VPG
2023-02-24 09:35:00,43.741,43.79,43.741,43.79,370.0,VPG
2023-02-24 09:32:00,44.14,44.14,44.14,44.14,100.0,VPG
2023-02-24 09:31:00,44.1,44.1,44.1,44.1,661.0,VPG
2023-02-23 16:00:00,44.605,44.65,44.51,44.65,4632.0,VPG
2023-02-23 15:58:00,44.58,44.66,44.56,44.56,816.0,VPG
2023-02-23 15:57:00,44.63,44.63,44.63,44.63,245.0,VPG
2023-02-23 15:56:00,44.64,44.64,44.59,44.62,614.0,VPG
2023-02-23 15:55:00,44.48,44.48,44.48,44.48,140.0,VPG
2023-02-23 15:54:00,44.55,44.58,44.55,44.58,989.0,VPG
2023-02-23 15:53:00,44.49,44.49,44.49,44.49,259.0,VPG
2023-02-23 15:52:00,44.53,44.53,44.5,44.5,747.0,VPG
2023-02-23 15:51:00,44.53,44.53,44.52,44.52,605.0,VPG
2023-02-23 15:50:00,44.63,44.63,44.6,44.6,449.0,VPG
2023-02-23 15:47:00,44.6,44.6,44.6,44.6,175.0,VPG
2023-02-23 15:46:00,44.6676,44.6676,44.6676,44.6676,912.0,VPG
2023-02-23 15:41:00,44.83,44.85,44.77,44.85,1251.0,VPG
2023-02-23 15:40:00,44.79,44.79,44.79,44.79,1383.0,VPG
2023-02-23 15:33:00,44.71,44.73,44.71,44.73,401.0,VPG
2023-02-23 15:27:00,44.63,44.68,44.63,44.64,1211.0,VPG
2023-02-23 15:21:00,44.55,44.55,44.55,44.55,199.0,VPG
2023-02-23 15:20:00,44.55,44.55,44.55,44.55,129.0,VPG
2023-02-23 15:17:00,44.605,44.7,44.6,44.6,729.0,VPG
2023-02-23 15:12:00,44.605,44.605,44.605,44.605,535.0,VPG
2023-02-23 15:06:00,44.645,44.655,44.645,44.655,311.0,VPG
2023-02-23 15:05:00,44.7,44.7,44.69,44.69,664.0,VPG
2023-02-23 15:04:00,44.72,44.72,44.71,44.71,482.0,VPG
2023-02-23 15:00:00,44.86,44.89,44.86,44.86,1287.0,VPG
